run_id,mode,seed,episode,replay_buffer_size,train_updates,mean_loss,epsilon,q_value_mean_if_available,q_value_std_if_available
diag_egoistic_seed0,egoistic,0,0,42,0,,1.0,0.07010089606046677,0.030214913189411163
diag_egoistic_seed0,egoistic,0,1,62,0,,0.9762,0.06046247482299805,0.03729225695133209
diag_egoistic_seed0,egoistic,0,2,77,14,0.000544076925767253,0.9525,0.13120120763778687,0.016254747286438942
diag_egoistic_seed0,egoistic,0,3,101,24,0.00017930358808371238,0.9287,0.13103117048740387,0.012523211538791656
diag_egoistic_seed0,egoistic,0,4,107,6,0.002433280868596436,0.905,0.1424850970506668,0.014323079958558083
diag_egoistic_seed0,egoistic,0,5,120,13,0.005134004095452838,0.8812,0.14265578985214233,0.025397691875696182
diag_egoistic_seed0,egoistic,0,6,136,16,0.007441426221703296,0.8575,0.1208999827504158,0.03539135679602623
diag_egoistic_seed0,egoistic,0,7,166,30,0.00718284131338199,0.8337,0.13022947311401367,0.031658779829740524
diag_egoistic_seed0,egoistic,0,8,177,11,0.0022149971760386093,0.81,0.1284441351890564,0.06845104694366455
diag_egoistic_seed0,egoistic,0,9,194,17,0.004856907601660008,0.7863,0.07887126505374908,0.18910354375839233
diag_egoistic_seed0,egoistic,0,10,207,13,0.0014208083940992276,0.7625,0.09251055121421814,0.16497880220413208
diag_egoistic_seed0,egoistic,0,11,221,14,0.003787628491409123,0.7388,0.12746605277061462,0.03475233167409897
diag_egoistic_seed0,egoistic,0,12,233,12,0.002269481871432314,0.715,0.11429106444120407,0.12781615555286407
diag_egoistic_seed0,egoistic,0,13,251,18,0.0026087488917659763,0.6913,0.13102518022060394,0.025035059079527855
diag_egoistic_seed0,egoistic,0,14,265,14,0.002342928675976249,0.6675,0.1439247876405716,0.0326404832303524
diag_egoistic_seed0,egoistic,0,15,286,21,0.0022568361015319603,0.6438,0.08037419617176056,0.20486783981323242
diag_egoistic_seed0,egoistic,0,16,302,16,0.0019022938886337215,0.62,0.14416226744651794,0.01916998252272606
diag_egoistic_seed0,egoistic,0,17,315,13,0.0014476518537356662,0.5962,0.1322459578514099,0.11258196085691452
diag_egoistic_seed0,egoistic,0,18,325,10,0.0016493216913659125,0.5725,0.14623412489891052,0.03225865960121155
diag_egoistic_seed0,egoistic,0,19,339,14,0.005925322404696739,0.5488,0.13974697887897491,0.02568555809557438
diag_egoistic_seed0,egoistic,0,20,351,12,0.00359312961033235,0.525,0.13548697531223297,0.03687453269958496
diag_egoistic_seed0,egoistic,0,21,365,14,0.003912115340686536,0.5012,0.13643835484981537,0.029368335381150246
diag_egoistic_seed0,egoistic,0,22,372,7,0.00781354949659934,0.4775,0.13195323944091797,0.056617580354213715
diag_egoistic_seed0,egoistic,0,23,386,14,0.004745033950062602,0.4538,0.12484811246395111,0.03599029779434204
diag_egoistic_seed0,egoistic,0,24,417,31,0.006367353964672093,0.43,-0.034760937094688416,0.33406758308410645
diag_rawlsian_seed0,rawlsian,0,0,42,0,,1.0,0.07010089606046677,0.030214913189411163
