run_id,mode,seed,phase,episode,episode_objective_reward,mean_step_reward,min_step_reward,max_step_reward,collision_penalty_triggered,mean_ttc,min_ttc,mean_waiting_time,final_waiting_time
diag_rawlsian_seed0,rawlsian,0,train,6,106.0345,8.1565,6.664,10.3218,0,1.6435755218991708,1.6435755218991708,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,7,-47.9938,-1.4998,-9.0,8.4469,0,,,5.2812,10.0
diag_rawlsian_seed0,rawlsian,0,train,8,95.5773,6.8269,4.0617,9.7176,0,6.4059461116590315,5.40594611165903,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,9,129.848,8.6565,7.2677,9.0037,0,1.6682862488433994,1.6682862488433994,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,10,108.5119,8.3471,6.0415,9.9334,0,3.2280790687361947,3.2280790687361947,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,11,88.2142,9.8016,8.039,10.039,0,4.893914077238336,4.893914077238336,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,12,123.2413,9.4801,9.4801,9.4801,0,1.2185378300057736,1.2185378300057736,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,13,62.8509,8.9787,6.4751,10.2647,1,0.6541461589015591,0.6541461589015591,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,14,95.8604,7.3739,3.0161,9.5463,0,3.309809056185021,3.309809056185021,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,15,86.2472,8.6247,6.3578,10.2258,0,3.7905620880326953,3.7905620880326953,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,16,68.4604,8.5575,7.0912,9.0463,1,0.06069246285921809,0.06069246285921809,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,17,98.1383,4.6733,-14.0,9.0612,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,18,81.5202,8.152,5.3637,9.0109,0,0.9743760701340767,0.9743760701340767,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,19,75.9338,9.4917,9.2763,9.5225,1,0.44420618293550357,0.44420618293550357,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,20,91.9309,8.3574,6.6317,9.7954,0,3.9437326902564975,3.443732690256499,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,21,88.4434,8.8443,6.5782,10.2536,0,3.508391035868411,3.508391035868411,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,22,105.0612,8.7551,6.7184,10.6138,0,8.671592683460634,3.4139004373518795,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,23,125.7506,7.8594,-14.0,9.8939,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,24,54.3941,9.0657,7.399,9.399,1,0.3352635641200289,0.3352635641200289,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,0,-519.2891,-8.6548,-14.0,9.7013,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,1,-515.5446,-8.5924,-14.0,9.9934,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,2,-512.048,-8.5341,-14.0,9.7109,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,3,-510.509,-8.5085,-14.0,10.6012,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,4,-511.5794,-8.5263,-14.0,9.711,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,5,-527.5011,-8.7917,-14.0,10.3113,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,6,-519.0447,-8.6507,-14.0,9.5105,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,7,-508.2708,-8.4712,-14.0,9.9632,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,8,-525.2227,-8.7537,-14.0,10.1578,0,,,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,eval,9,-512.5176,-8.542,-14.0,10.6054,0,,,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,0,1.1274,0.0268,-0.015,1.005,0,,,8.2857,15.0
diag_egoistic_seed0,egoistic,0,train,1,1.774,0.0887,0.013,1.0265,0,2.7398943638891144,2.7398943638891144,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,2,1.4687,0.1049,0.0244,1.0441,0,29.169224768599303,9.793732832536046,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,3,1.5071,0.0793,0.0151,1.0351,0,,,0.0,0.0
