master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,block_index,evaluation_seed,controller_A_role,controller_B_role,success,collision,terminated,truncated,termination_reason,episode_length,passing_order,first_exit_controller,first_exit_step,second_exit_step,merge_entry_step_A,merge_entry_step_B,final_progress_A,final_progress_B,final_speed_A,final_speed_B,minimum_TTC,minimum_bumper_gap,mean_stakeholder_utility,minimum_stakeholder_utility,utility_A,utility_B,roles0_A,roles0_B,evaluation_guard,condition,primary_failure_label,secondary_flags_json,median_Q_margin_final50,q_margin_band,reason,flag_environment_or_exit_anomaly,flag_post_exit_survivor_stall,flag_mutual_yielding,flag_merge_zone_deadlock,flag_unilateral_stall,flag_downstream_completion_failure,flag_oscillatory_control,flag_persistent_accelerate_conflict,flag_stable_but_maladaptive,flag_low_confidence_policy,flag_other_unresolved
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_006,1,5,566012,ramp,mainline,False,False,False,True,truncation,400,,,,,,,216.00000000000156,81.06666666666655,0.0,0.0,,28.901444447076983,0.2938259143607558,0.0276749999999999,0.1088250000000007,0.0276749999999999,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,mutual_yielding,"['merge_zone_deadlock', 'stable_but_maladaptive']",0.053939819335937444,above_25th_percentile,"primary=mutual_yielding; secondary=['merge_zone_deadlock', 'stable_but_maladaptive']; q_band=above_25th_percentile",False,False,True,True,False,False,False,False,True,False,False
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_007,0,6,566013,mainline,ramp,False,False,False,True,truncation,400,,B,43.0,,,,102.6666666666668,260.90000000000055,0.0,0.0,,22.91928781615721,0.5254989904250005,0.047925,0.047925,0.9930232558139536,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.0054856687784194495,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_007,1,6,566014,ramp,mainline,False,False,False,True,truncation,400,,B,69.0,,,,94.40000000000002,260.6625000000005,0.0,0.0,,,0.6467363812497652,0.034875,0.034875,0.795652173913044,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.01330859959125515,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_008,0,7,566015,mainline,ramp,False,False,False,True,truncation,400,,B,45.0,,,,81.06666666666655,260.6000000000005,0.0,0.0,,25.72592794157771,0.5162654925183038,0.0276749999999999,0.0276749999999999,0.9933333333333334,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.0126778036355972,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_008,1,7,566016,ramp,mainline,False,False,False,True,truncation,400,,,,,,,221.6666666666684,81.06666666666655,0.0,0.0,,25.72592794157771,0.2961821591849706,0.0276749999999999,0.1130000000000007,0.0276749999999999,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,mutual_yielding,"['merge_zone_deadlock', 'stable_but_maladaptive']",0.0574748814105987,above_25th_percentile,"primary=mutual_yielding; secondary=['merge_zone_deadlock', 'stable_but_maladaptive']; q_band=above_25th_percentile",False,False,True,True,False,False,False,False,True,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_001,0,0,566002,mainline,ramp,False,False,False,True,truncation,400,,B,49.0,,,,94.66666666666676,260.43000000000126,0.0,0.0,,22.36731185532004,0.524743167739905,0.042925,0.042925,1.0,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.0267462730407714,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_001,1,0,566003,ramp,mainline,False,False,False,True,truncation,400,,,,,,,122.26666666666677,94.66666666666676,0.0,0.0,,6.527362455096636,0.291036917739905,0.042925,0.065175,0.042925,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,mutual_yielding,['merge_zone_deadlock'],0.0049077868461608505,above_25th_percentile,primary=mutual_yielding; secondary=['merge_zone_deadlock']; q_band=above_25th_percentile,False,False,True,True,False,False,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_002,0,1,566004,mainline,ramp,False,False,False,True,truncation,400,,B,56.0,,,,87.19999999999999,260.7300000000011,0.0,0.0,,25.575328685128653,0.4989939729199613,0.034875,0.034875,0.9169642857142896,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.03107178211212155,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_002,1,1,566005,ramp,mainline,False,False,False,True,truncation,400,,A,51.0,,,,261.16000000000025,87.19999999999999,0.0,0.0,,26.416847395672505,0.5138705485502125,0.034875,0.9764705882352946,0.034875,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.0190586298704147,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_003,0,2,566006,mainline,ramp,False,False,False,True,truncation,400,,B,51.0,,,,94.66666666666676,261.12,0.0,0.0,,23.274089571964552,0.51935101087716,0.042925,0.042925,0.97843137254902,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.02699255943298335,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
