endpoint,condition,master_seed,value,x_jittered,checkpoint_step
mean_stakeholder_episode_utility,baseline,61005,0.6977502009300689,-0.04696992247527696,100000
mean_stakeholder_episode_utility,mean_pbrs,61005,0.5294885054190527,0.9351899309864244,100000
mean_stakeholder_episode_utility,min_pbrs,61005,0.5677736400673197,1.9636752934110526,100000
mean_stakeholder_episode_utility,baseline,61006,0.7120555138807632,0.008169314583802904,100000
mean_stakeholder_episode_utility,mean_pbrs,61006,0.6053701163521845,0.9570789251935387,100000
mean_stakeholder_episode_utility,min_pbrs,61006,0.7405063402323512,1.9502078334312438,100000
mean_stakeholder_episode_utility,baseline,61007,0.9583772106277124,0.01126668138691846,100000
mean_stakeholder_episode_utility,mean_pbrs,61007,0.627155193085186,1.061485482859771,100000
mean_stakeholder_episode_utility,min_pbrs,61007,0.8657681206379122,2.007705516872859,100000
mean_stakeholder_episode_utility,baseline,61008,0.5003125000000002,-0.011568982063692293,100000
mean_stakeholder_episode_utility,mean_pbrs,61008,0.60657783267722,1.03950924265187,100000
mean_stakeholder_episode_utility,min_pbrs,61008,0.8588318319622118,1.9343292555618867,100000
mean_stakeholder_episode_utility,baseline,61009,0.59375,0.004363097568127117,100000
mean_stakeholder_episode_utility,mean_pbrs,61009,0.6793321437049876,0.9643150431765977,100000
mean_stakeholder_episode_utility,min_pbrs,61009,0.34375,1.9350057743897209,100000
mean_stakeholder_episode_utility,baseline,61010,0.4456674742241991,0.036712962974960205,100000
mean_stakeholder_episode_utility,mean_pbrs,61010,0.5871456803249614,1.0250651904440171,100000
mean_stakeholder_episode_utility,min_pbrs,61010,0.2656250000000001,2.0152343169821507,100000
minimum_stakeholder_episode_utility,baseline,61001,0.0456249999999998,-0.047430466219650226,100000
minimum_stakeholder_episode_utility,mean_pbrs,61001,0.3280939651928644,0.991264436336063,100000
minimum_stakeholder_episode_utility,min_pbrs,61001,0.0,1.968616220887894,100000
minimum_stakeholder_episode_utility,baseline,61002,0.0024999999999999,-0.0402595391031959,100000
minimum_stakeholder_episode_utility,mean_pbrs,61002,0.0557290487707389,1.0059871046445303,100000
minimum_stakeholder_episode_utility,min_pbrs,61002,0.1241940063173455,2.0317478032297798,100000
minimum_stakeholder_episode_utility,baseline,61003,0.3139357620767852,-0.06854050129385211,100000
minimum_stakeholder_episode_utility,mean_pbrs,61003,0.1281367026812858,0.9390181052356534,100000
minimum_stakeholder_episode_utility,min_pbrs,61003,0.9349099544599524,1.9559866280937537,100000
minimum_stakeholder_episode_utility,baseline,61004,0.8650132439164274,-0.003932672274283293,100000
minimum_stakeholder_episode_utility,mean_pbrs,61004,0.157873789450525,1.0127012870676586,100000
minimum_stakeholder_episode_utility,min_pbrs,61004,0.2547707055348889,2.0305262391154018,100000
minimum_stakeholder_episode_utility,baseline,61005,0.3798442069054357,-0.04696992247527696,100000
minimum_stakeholder_episode_utility,mean_pbrs,61005,0.1785371175836824,0.9351899309864244,100000
minimum_stakeholder_episode_utility,min_pbrs,61005,0.1435945602692785,1.9636752934110526,100000
minimum_stakeholder_episode_utility,baseline,61006,0.4032220555230525,0.008169314583802904,100000
minimum_stakeholder_episode_utility,mean_pbrs,61006,0.108980465408738,0.9570789251935387,100000
minimum_stakeholder_episode_utility,min_pbrs,61006,0.4614003609294042,1.9502078334312438,100000
minimum_stakeholder_episode_utility,baseline,61007,0.8335088425108499,0.01126668138691846,100000
minimum_stakeholder_episode_utility,mean_pbrs,61007,0.0958323454625155,1.061485482859771,100000
minimum_stakeholder_episode_utility,min_pbrs,61007,0.7130724825516489,2.007705516872859,100000
minimum_stakeholder_episode_utility,baseline,61008,0.000625,-0.011568982063692293,100000
minimum_stakeholder_episode_utility,mean_pbrs,61008,0.05131133070888,1.03950924265187,100000
minimum_stakeholder_episode_utility,min_pbrs,61008,0.6909616636684152,1.9343292555618867,100000
minimum_stakeholder_episode_utility,baseline,61009,0.0,0.004363097568127117,100000
minimum_stakeholder_episode_utility,mean_pbrs,61009,0.4034878035027208,0.9643150431765977,100000
minimum_stakeholder_episode_utility,min_pbrs,61009,0.0,1.9350057743897209,100000
minimum_stakeholder_episode_utility,baseline,61010,0.1660927080903713,0.036712962974960205,100000
minimum_stakeholder_episode_utility,mean_pbrs,61010,0.1660827212998452,1.0250651904440171,100000
minimum_stakeholder_episode_utility,min_pbrs,61010,0.0,2.0152343169821507,100000
