metric,condition,master_seed,value,endpoint_class
background_maximum_braking,min_pbrs,61007,4.158221826757003,secondary
background_maximum_braking,baseline,61008,4.289140854870057,secondary
background_maximum_braking,mean_pbrs,61008,4.0989660833060615,secondary
background_maximum_braking,min_pbrs,61008,4.145437102464551,secondary
background_maximum_braking,baseline,61009,4.101747232576836,secondary
background_maximum_braking,mean_pbrs,61009,4.072628590224154,secondary
background_maximum_braking,min_pbrs,61009,4.289140854870057,secondary
background_maximum_braking,baseline,61010,4.228732333852639,secondary
background_maximum_braking,mean_pbrs,61010,4.086918352779652,secondary
background_maximum_braking,min_pbrs,61010,4.135794191011168,secondary
