row,endpoint,raw_value,z_score
Mean-PBRS:61008,minimum_stakeholder_episode_utility,0.05131133070888,-0.7634650230084965
Mean-PBRS:61009,evaluation_success_rate,0.0625,-0.7072746190795625
Mean-PBRS:61009,stakeholder_collision_rate,0.375,3.012987965424256
Mean-PBRS:61009,mean_stakeholder_episode_utility,0.6793321437049876,0.3349936175149857
Mean-PBRS:61009,minimum_stakeholder_episode_utility,0.4034878035027208,0.4836341812850575
Mean-PBRS:61010,evaluation_success_rate,0.125,-0.5012723028427967
Mean-PBRS:61010,stakeholder_collision_rate,0.125,0.5534059528330265
Mean-PBRS:61010,mean_stakeholder_episode_utility,0.5871456803249614,-0.1752058010047213
Mean-PBRS:61010,minimum_stakeholder_episode_utility,0.1660827212998452,-0.3570457391018045
Min-PBRS:61001,evaluation_success_rate,0.0,-0.9132769353163281
Min-PBRS:61001,stakeholder_collision_rate,0.0,-0.6763850534625881
Min-PBRS:61001,mean_stakeholder_episode_utility,0.375,-1.349310965415598
Min-PBRS:61001,minimum_stakeholder_episode_utility,0.0,-0.945164610123581
Min-PBRS:61002,evaluation_success_rate,0.125,-0.5012723028427967
Min-PBRS:61002,stakeholder_collision_rate,0.0625,-0.06148955031478079
Min-PBRS:61002,mean_stakeholder_episode_utility,0.5108902236311827,-0.5972361972000709
Min-PBRS:61002,minimum_stakeholder_episode_utility,0.1241940063173455,-0.5053787117990892
Min-PBRS:61003,evaluation_success_rate,0.75,1.5587508595248607
Min-PBRS:61003,stakeholder_collision_rate,0.25,1.7831969591286412
Min-PBRS:61003,mean_stakeholder_episode_utility,0.983727488614988,2.019647983015211
Min-PBRS:61003,minimum_stakeholder_episode_utility,0.9349099544599524,2.3654638683882303
Min-PBRS:61004,evaluation_success_rate,0.3125,0.11673464586750054
Min-PBRS:61004,stakeholder_collision_rate,0.0625,-0.06148955031478079
Min-PBRS:61004,mean_stakeholder_episode_utility,0.6447355647563268,0.14352131436768506
Min-PBRS:61004,minimum_stakeholder_episode_utility,0.2547707055348889,-0.04299093103213665
Min-PBRS:61005,evaluation_success_rate,0.1875,-0.29526998660603093
Min-PBRS:61005,stakeholder_collision_rate,0.0,-0.6763850534625881
Min-PBRS:61005,mean_stakeholder_episode_utility,0.5677736400673197,-0.2824189786514799
Min-PBRS:61005,minimum_stakeholder_episode_utility,0.1435945602692785,-0.43667901927172137
Min-PBRS:61006,evaluation_success_rate,0.5,0.7347415945777978
Min-PBRS:61006,stakeholder_collision_rate,0.0,-0.6763850534625881
Min-PBRS:61006,mean_stakeholder_episode_utility,0.7405063402323512,0.6735578530037458
Min-PBRS:61006,minimum_stakeholder_episode_utility,0.4614003609294042,0.6887095053476611
Min-PBRS:61007,evaluation_success_rate,0.625,1.1467462270513293
Min-PBRS:61007,stakeholder_collision_rate,0.125,0.5534059528330265
Min-PBRS:61007,mean_stakeholder_episode_utility,0.8657681206379122,1.366810258860844
Min-PBRS:61007,minimum_stakeholder_episode_utility,0.7130724825516489,1.5799107265084547
Min-PBRS:61008,evaluation_success_rate,0.625,1.1467462270513293
Min-PBRS:61008,stakeholder_collision_rate,0.125,0.5534059528330265
Min-PBRS:61008,mean_stakeholder_episode_utility,0.8588318319622118,1.328421863002348
Min-PBRS:61008,minimum_stakeholder_episode_utility,0.6909616636684152,1.5016136602200394
Min-PBRS:61009,evaluation_success_rate,0.0,-0.9132769353163281
Min-PBRS:61009,stakeholder_collision_rate,0.0,-0.6763850534625881
Min-PBRS:61009,mean_stakeholder_episode_utility,0.34375,-1.5222618656254796
Min-PBRS:61009,minimum_stakeholder_episode_utility,0.0,-0.945164610123581
Min-PBRS:61010,evaluation_success_rate,0.0,-0.9132769353163281
Min-PBRS:61010,stakeholder_collision_rate,0.0,-0.6763850534625881
Min-PBRS:61010,mean_stakeholder_episode_utility,0.2656250000000001,-1.9546391161501837
Min-PBRS:61010,minimum_stakeholder_episode_utility,0.0,-0.945164610123581
