policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap,minimum_TTC
0,0.0,A,mainline,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,20.0,20.0,1,0,accelerate-maintain,0.7303789854049683,0.7363235950469971,0.7128244042396545,1,0.7363235950469971,0.7303789854049683,0.005944609642028809,0.02349919080734253,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
0,0.0,B,ramp,True,False,20.0,20.0,0,maintain,0.0,0.0,28.0,20.0,1,0,accelerate-maintain,0.5268605351448059,0.5241746306419373,0.5232003927230835,0,0.5268605351448059,0.5241746306419373,0.0026859045028686523,0.003660142421722412,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
0,0.0,B_front,background_mainline,True,,120.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
0,0.0,B_rear,background_mainline,True,,3.947431380829863,19.510886076666747,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
1,0.2,A,mainline,True,False,32.04,20.400000000000006,0,maintain,2.0,0.0,24.0,20.0,0,0,maintain-maintain,0.7445939779281616,0.7400999069213867,0.7370689511299133,0,0.7445939779281616,0.7400999069213867,0.004494071006774902,0.007525026798248291,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
1,0.2,B,ramp,True,False,24.0,20.0,0,maintain,0.0,0.0,32.04,20.400000000000006,0,0,maintain-maintain,0.5342662930488586,0.5338442325592041,0.5295482873916626,0,0.5342662930488586,0.5338442325592041,0.000422060489654541,0.004718005657196045,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
1,0.2,B_front,background_mainline,True,,124.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
1,0.2,B_rear,background_mainline,True,,7.815708001724483,19.185871658035957,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
2,0.4,A,mainline,True,False,36.12000000000001,20.400000000000006,0,maintain,0.0,0.0,28.0,20.0,0,1,maintain-accelerate,0.7481433153152466,0.7404829263687134,0.7438015341758728,0,0.7481433153152466,0.7438015341758728,0.004341781139373779,0.007660388946533203,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
2,0.4,B,ramp,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,36.12000000000001,20.400000000000006,0,1,maintain-accelerate,0.535987913608551,0.5361906290054321,0.5304907560348511,1,0.5361906290054321,0.535987913608551,0.00020271539688110352,0.005699872970581055,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
2,0.4,B_front,background_mainline,True,,128.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
2,0.4,B_rear,background_mainline,True,,11.626975112023333,18.936773537712153,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
3,0.6000000000000001,A,mainline,True,False,40.200000000000024,20.400000000000006,0,maintain,0.0,0.0,32.04,20.400000000000006,0,0,maintain-maintain,0.7420734763145447,0.7392195463180542,0.7334688901901245,0,0.7420734763145447,0.7392195463180542,0.0028539299964904785,0.008604586124420166,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
3,0.6000000000000001,B,ramp,True,False,32.04,20.400000000000006,0,maintain,2.0,0.0,40.200000000000024,20.400000000000006,0,0,maintain-maintain,0.5319929718971252,0.5307256579399109,0.5261490345001221,0,0.5319929718971252,0.5307256579399109,0.0012673139572143555,0.005843937397003174,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
3,0.6000000000000001,B_front,background_mainline,True,,132.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
3,0.6000000000000001,B_rear,background_mainline,True,,15.394188965290637,18.742735587006287,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
4,0.8,A,mainline,True,False,44.28000000000004,20.400000000000006,0,maintain,0.0,0.0,36.12000000000001,20.400000000000006,0,0,maintain-maintain,0.739208459854126,0.7376919388771057,0.7296103239059448,0,0.739208459854126,0.7376919388771057,0.0015165209770202637,0.009598135948181152,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
4,0.8,B,ramp,True,False,36.12000000000001,20.400000000000006,0,maintain,0.0,0.0,44.28000000000004,20.400000000000006,0,0,maintain-maintain,0.5332626104354858,0.5324600338935852,0.526694118976593,0,0.5332626104354858,0.5324600338935852,0.0008025765419006348,0.006568491458892822,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
4,0.8,B_front,background_mainline,True,,136.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
4,0.8,B_rear,background_mainline,True,,19.126895858099456,18.589933301865198,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
5,1.0,A,mainline,True,False,48.36000000000005,20.400000000000006,0,maintain,0.0,0.0,40.200000000000024,20.400000000000006,0,0,maintain-maintain,0.7360788583755493,0.7358546853065491,0.7255390286445618,0,0.7360788583755493,0.7358546853065491,0.00022417306900024414,0.010539829730987549,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
5,1.0,B,ramp,True,False,40.200000000000024,20.400000000000006,0,maintain,0.0,0.0,48.36000000000005,20.400000000000006,0,0,maintain-maintain,0.5355373620986938,0.5351854562759399,0.5282266139984131,0,0.5355373620986938,0.5351854562759399,0.00035190582275390625,0.007310748100280762,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
5,1.0,B_front,background_mainline,True,,140.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
5,1.0,B_rear,background_mainline,True,,22.832333759550945,18.468794822249528,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
6,1.2000000000000002,A,mainline,True,False,52.44000000000006,20.400000000000006,1,accelerate,0.0,2.0000000000000284,44.28000000000004,20.400000000000006,1,1,accelerate-accelerate,0.732745885848999,0.7337793111801147,0.7213038802146912,1,0.7337793111801147,0.732745885848999,0.0010334253311157227,0.012475430965423584,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
6,1.2000000000000002,B,ramp,True,False,44.28000000000004,20.400000000000006,1,accelerate,0.0,2.0000000000000284,52.44000000000006,20.400000000000006,1,1,accelerate-accelerate,0.5381838083267212,0.5382645726203918,0.5301359295845032,1,0.5382645726203918,0.5381838083267212,8.07642936706543e-05,0.008128643035888672,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
6,1.2000000000000002,B_front,background_mainline,True,,144.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
6,1.2000000000000002,B_rear,background_mainline,True,,26.51695240373784,18.386482169475283,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
7,1.4000000000000001,A,mainline,True,False,56.560000000000066,20.80000000000001,1,accelerate,2.0,2.0000000000000284,48.40000000000004,20.80000000000001,1,0,accelerate-maintain,0.7308171987533569,0.7337828278541565,0.71800696849823,1,0.7337828278541565,0.7308171987533569,0.0029656291007995605,0.015775859355926514,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
7,1.4000000000000001,B,ramp,True,False,48.40000000000004,20.80000000000001,0,maintain,2.0,0.0,56.560000000000066,20.80000000000001,1,0,accelerate-maintain,0.5377725958824158,0.5377152562141418,0.5291171073913574,0,0.5377725958824158,0.5377152562141418,5.733966827392578e-05,0.00865548849105835,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
7,1.4000000000000001,B_front,background_mainline,True,,148.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
7,1.4000000000000001,B_rear,background_mainline,True,,30.19032594388337,18.35378628719718,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
8,1.6,A,mainline,True,False,60.76000000000007,21.200000000000017,1,accelerate,2.0,2.0000000000000284,52.56000000000004,20.80000000000001,1,1,accelerate-accelerate,0.7376289963722229,0.7385936975479126,0.7270174026489258,1,0.7385936975479126,0.7376289963722229,0.0009647011756896973,0.011576294898986816,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
8,1.6,B,ramp,True,False,52.56000000000004,20.80000000000001,1,accelerate,0.0,2.0000000000000284,60.76000000000007,21.200000000000017,1,1,accelerate-accelerate,0.5433652997016907,0.5453662276268005,0.5334725379943848,1,0.5453662276268005,0.5433652997016907,0.0020009279251098633,0.011893689632415771,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
8,1.6,B_front,background_mainline,True,,152.0,20.0,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
8,1.6,B_rear,background_mainline,True,,33.8609145178826,18.356801580533833,,,,,,,,,,,,,,,,,,,,,,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
9,1.8,A,mainline,True,False,65.04000000000008,21.600000000000023,1,accelerate,2.0,2.0000000000000284,56.76000000000004,21.200000000000017,1,1,accelerate-accelerate,0.737002432346344,0.7391660213470459,0.7257015109062195,1,0.7391660213470459,0.737002432346344,0.0021635890007019043,0.013464510440826416,"[true, true, true]",False,False,False,66010,375000,2f0a94b10c868fa071cb10710f1001a9de1efd75ca1765183c13d3db4d0891af,validation_001,0,0,663979271,0,,
