policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap,minimum_TTC
0,0.0,A,mainline,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,20.0,20.0,1,1,accelerate-accelerate,0.8633545637130737,0.8866608142852783,0.835629403591156,1,0.8866608142852783,0.8633545637130737,0.02330625057220459,0.051031410694122314,"[true, true, true]",False,False,False,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
0,0.0,B,ramp,True,False,20.0,20.0,1,accelerate,0.0,2.0000000000000284,28.0,20.0,1,1,accelerate-accelerate,0.6156328916549683,0.633160412311554,0.5942760109901428,1,0.633160412311554,0.6156328916549683,0.017527520656585693,0.03888440132141113,"[true, true, true]",False,False,False,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
0,0.0,B_front,background_mainline,True,,120.0,20.0,,,,,,,,,,,,,,,,,,,,,,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
0,0.0,B_rear,background_mainline,True,,3.947431380829863,19.510886076666747,,,,,,,,,,,,,,,,,,,,,,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
1,0.2,A,mainline,True,False,32.04,20.400000000000006,1,accelerate,2.0,2.0000000000000284,24.040000000000003,20.400000000000006,1,1,accelerate-accelerate,0.8639299869537354,0.8879776000976562,0.8339024782180786,1,0.8879776000976562,0.8639299869537354,0.0240476131439209,0.05407512187957764,"[true, true, true]",False,False,False,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
1,0.2,B,ramp,True,False,24.040000000000003,20.400000000000006,1,accelerate,2.0,2.0000000000000284,32.04,20.400000000000006,1,1,accelerate-accelerate,0.6194870471954346,0.6356752514839172,0.600570023059845,1,0.6356752514839172,0.6194870471954346,0.016188204288482666,0.035105228424072266,"[true, true, true]",False,False,False,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
1,0.2,B_front,background_mainline,True,,124.0,20.0,,,,,,,,,,,,,,,,,,,,,,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
1,0.2,B_rear,background_mainline,True,,7.817030369943869,19.207819996757216,,,,,,,,,,,,,,,,,,,,,,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
2,0.4,A,mainline,True,False,36.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,28.160000000000004,20.80000000000001,1,1,accelerate-accelerate,0.86732017993927,0.892068088054657,0.8355950713157654,1,0.892068088054657,0.86732017993927,0.024747908115386963,0.0564730167388916,"[true, true, true]",False,False,False,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
2,0.4,B,ramp,True,False,28.160000000000004,20.80000000000001,1,accelerate,2.0,2.0000000000000284,36.160000000000004,20.80000000000001,1,1,accelerate-accelerate,0.623733639717102,0.6385406851768494,0.6073791980743408,1,0.6385406851768494,0.623733639717102,0.014807045459747314,0.031161487102508545,"[true, true, true]",False,False,False,66017,375000,92736be0c91eb8878727e94b3ebeaf8a3c49d7451ff8c08df18add36a94d671e,validation_001,0,0,1896716215,0,,
