scenario,mean_error,min_error,mean_sum,min_sum,mean_closed_form,min_closed_form,phi_mean_0,phi_mean_T,phi_min_0,phi_min_T,n_transitions,terminated,truncated
collision_mean_pbrs,0.0,1.1102230246251565e-16,-0.925,-0.7999999999999999,-0.925,-0.8,0.925,0.0,0.8,0.0,20.0,1.0,0.0
early_exit_mean,5.551115123125783e-17,4.440892098500626e-16,-0.1881760414165396,-0.15552267861729485,-0.18817604141653954,-0.1555226786172944,0.925,0.9279018159158667,0.8,0.8116072636634671,46.0,0.0,0.0
truncation_min,6.505213034913027e-17,1.8041124150158794e-16,-0.004041415794287027,0.06253156055000116,-0.004041415794286962,0.06253156055000098,0.925,0.9396103182406935,0.8,0.8800000000000011,4.0,0.0,1.0
