reward_condition,controller_id,policy_step,base_reward,shaping_component,learner_reward,decomposition_error
baseline,A,1,0.004984615384615388,0.0,0.004984615384615388,0.0
baseline,B,1,0.005595912159490568,0.0,0.005595912159490568,0.0
baseline,A,2,0.005107692307692313,0.0,0.005107692307692313,0.0
baseline,B,2,0.00571889923991894,0.0,0.00571889923991894,0.0
baseline,A,3,0.005230769230769239,0.0,0.005230769230769239,0.0
baseline,B,3,0.005841886320347301,0.0,0.005841886320347301,0.0
baseline,A,4,0.005353846153846165,0.0,0.005353846153846165,0.0
baseline,B,4,0.005964873400775672,0.0,0.005964873400775672,0.0
baseline,A,5,0.00547692307692308,0.0,0.00547692307692308,0.0
baseline,B,5,0.006087860481204044,0.0,0.006087860481204044,0.0
baseline,A,6,0.005600000000000005,0.0,0.005600000000000005,0.0
baseline,B,6,0.006210847561632394,0.0,0.006210847561632394,0.0
baseline,A,7,0.005723076923076931,0.0,0.005723076923076931,0.0
baseline,B,7,0.006333834642060766,0.0,0.006333834642060766,0.0
baseline,A,8,0.005846153846153857,0.0,0.005846153846153857,0.0
baseline,B,8,0.006456821722489137,0.0,0.006456821722489137,0.0
baseline,A,9,0.0059692307692307935,0.0,0.0059692307692307935,0.0
baseline,B,9,0.006579808802917498,0.0,0.006579808802917498,0.0
baseline,A,10,0.006092307692307686,0.0,0.006092307692307686,0.0
baseline,B,10,0.00670279588334588,0.0,0.00670279588334588,0.0
baseline,A,11,0.006215384615384645,0.0,0.006215384615384645,0.0
baseline,B,11,0.0068257829637742296,0.0,0.0068257829637742296,0.0
baseline,A,12,0.00633846153846156,0.0,0.00633846153846156,0.0
baseline,B,12,0.006948770044202579,0.0,0.006948770044202579,0.0
baseline,A,13,0.006461538461538497,0.0,0.006461538461538497,0.0
baseline,B,13,0.007071757124630974,0.0,0.007071757124630974,0.0
baseline,A,14,0.006584615384615389,0.0,0.006584615384615389,0.0
baseline,B,14,0.007194744205059323,0.0,0.007194744205059323,0.0
baseline,A,15,0.00670769230769237,0.0,0.00670769230769237,0.0
baseline,B,15,0.007317731285487717,0.0,0.007317731285487717,0.0
baseline,A,16,0.006830769230769263,0.0,0.006830769230769263,0.0
baseline,B,16,0.007440718365916066,0.0,0.007440718365916066,0.0
baseline,A,17,0.006953846153846178,0.0,0.006953846153846178,0.0
baseline,B,17,0.0075637054463444375,0.0,0.0075637054463444375,0.0
baseline,A,18,0.007076923076923092,0.0,0.007076923076923092,0.0
baseline,B,18,0.00768669252677281,0.0,0.00768669252677281,0.0
baseline,A,19,0.007200000000000029,0.0,0.007200000000000029,0.0
baseline,B,19,0.007809679607201159,0.0,0.007809679607201159,0.0
baseline,A,20,-0.9981807692307693,0.0,-0.9981807692307693,0.0
baseline,B,20,-0.9980283633668828,0.0,-0.9980283633668828,0.0
mean_pbrs,A,1,0.004984615384615388,-0.0009376471710677681,0.0040469682135476194,0.0
mean_pbrs,B,1,0.005595912159490568,-0.0009376471710677681,0.0046582649884228,0.0
mean_pbrs,A,2,0.005107692307692313,-0.0003242582050449805,0.004783434102647333,0.0
mean_pbrs,B,2,0.00571889923991894,-0.0003242582050449805,0.00539464103487396,0.0
mean_pbrs,A,3,0.005230769230769239,8.504719185904454e-05,0.005315816422628284,0.0
mean_pbrs,B,3,0.005841886320347301,8.504719185904454e-05,0.005926933512206346,0.0
mean_pbrs,A,4,0.005353846153846165,0.0003733747448485758,0.005727220898694741,0.0
mean_pbrs,B,4,0.005964873400775672,0.0003733747448485758,0.006338248145624248,0.0
mean_pbrs,A,5,0.00547692307692308,0.0005839193816375544,0.006060842458560634,0.0
mean_pbrs,B,5,0.006087860481204044,0.0005839193816375544,0.006671779862841599,0.0
mean_pbrs,A,6,0.005600000000000005,-0.0002536769168672626,0.005346323083132743,0.0
mean_pbrs,B,6,0.006210847561632394,-0.0002536769168672626,0.005957170644765131,0.0
mean_pbrs,A,7,0.005723076923076931,-0.00012933766383655955,0.005593739259240372,0.0
mean_pbrs,B,7,0.006333834642060766,-0.00012933766383655955,0.006204496978224206,0.0
mean_pbrs,A,8,0.005846153846153857,-3.331795861263309e-05,0.005812835887541223,0.0
mean_pbrs,B,8,0.006456821722489137,-3.331795861263309e-05,0.006423503763876503,0.0
mean_pbrs,A,9,0.0059692307692307935,4.096823188595167e-05,0.0060101990011167455,0.0
mean_pbrs,B,9,0.006579808802917498,4.096823188595167e-05,0.00662077703480345,0.0
mean_pbrs,A,10,0.006092307692307686,9.81409230284669e-05,0.006190448615336153,0.0
mean_pbrs,B,10,0.00670279588334588,9.81409230284669e-05,0.006800936806374347,0.0
mean_pbrs,A,11,0.006215384615384645,-0.000853453992603015,0.00536193062278163,0.0
mean_pbrs,B,11,0.0068257829637742296,-0.000853453992603015,0.0059723289711712145,0.0
mean_pbrs,A,12,0.00633846153846156,-0.0008163245645204765,0.005522136973941084,0.0
mean_pbrs,B,12,0.006948770044202579,-0.0008163245645204765,0.0061324454796821025,0.0
mean_pbrs,A,13,0.006461538461538497,-0.0007885674188153225,0.005672971042723175,0.0
mean_pbrs,B,13,0.007071757124630974,-0.0007885674188153225,0.006283189705815651,0.0
mean_pbrs,A,14,0.006584615384615389,-0.0007686943792921453,0.0058159210053232435,0.0
mean_pbrs,B,14,0.007194744205059323,-0.0007686943792921453,0.006426049825767178,0.0
mean_pbrs,A,15,0.00670769230769237,-0.0007555157785755329,0.005952176529116837,0.0
mean_pbrs,B,15,0.007317731285487717,-0.0007555157785755329,0.006562215506912184,0.0
mean_pbrs,A,16,0.006830769230769263,-0.0007480598678125006,0.006082709362956762,0.0
mean_pbrs,B,16,0.007440718365916066,-0.0007480598678125006,0.006692658498103566,0.0
mean_pbrs,A,17,0.006953846153846178,-0.000745515917150419,0.006208330236695758,0.0
mean_pbrs,B,17,0.0075637054463444375,-0.000745515917150419,0.006818189529194019,0.0
mean_pbrs,A,18,0.007076923076923092,-0.0007471933178261115,0.006329729759096981,0.0
mean_pbrs,B,18,0.00768669252677281,-0.0007471933178261115,0.0069394992089466985,0.0
mean_pbrs,A,19,0.007200000000000029,-0.0007527087889802165,0.006447291211019813,0.0
mean_pbrs,B,19,0.007809679607201159,-0.0007527087889802165,0.0070569708182209425,0.0
mean_pbrs,A,20,-0.9981807692307693,-0.19576938957989176,-1.1939501588106611,0.0
mean_pbrs,B,20,-0.9980283633668828,-0.19576938957989176,-1.1937977529467747,0.0
min_pbrs,A,1,0.004984615384615388,0.0031800000000000495,0.008164615384615437,0.0
min_pbrs,B,1,0.005595912159490568,0.0031800000000000495,0.008775912159490617,0.0
min_pbrs,A,2,0.005107692307692313,0.0031600000000000517,0.008267692307692365,0.0
min_pbrs,B,2,0.00571889923991894,0.0031600000000000517,0.008878899239918992,0.0
min_pbrs,A,3,0.005230769230769239,0.0031400000000000763,0.008370769230769315,0.0
min_pbrs,B,3,0.005841886320347301,0.0031400000000000763,0.008981886320347377,0.0
min_pbrs,A,4,0.005353846153846165,0.0031200000000000563,0.00847384615384622,0.0
min_pbrs,B,4,0.005964873400775672,0.0031200000000000563,0.009084873400775729,0.0
min_pbrs,A,5,0.00547692307692308,0.0009239321191045536,0.006400855196027634,0.0
min_pbrs,B,5,0.006087860481204044,0.0009239321191045536,0.007011792600308597,0.0
min_pbrs,A,6,0.005600000000000005,-0.0020947076674690647,0.0035052923325309404,0.0
min_pbrs,B,6,0.006210847561632394,-0.0020947076674690647,0.004116139894163329,0.0
min_pbrs,A,7,0.005723076923076931,-0.001577350655346388,0.004145726267730543,0.0
min_pbrs,B,7,0.006333834642060766,-0.001577350655346388,0.0047564839867143775,0.0
min_pbrs,A,8,0.005846153846153857,-0.0011732718344505733,0.004672882011703284,0.0
min_pbrs,B,8,0.006456821722489137,-0.0011732718344505733,0.005283549888038563,0.0
min_pbrs,A,9,0.0059692307692307935,-0.0008561270724563253,0.005113103696774468,0.0
min_pbrs,B,9,0.006579808802917498,-0.0008561270724563253,0.005723681730461172,0.0
min_pbrs,A,10,0.006092307692307686,-0.0006074363078855561,0.00548487138442213,0.0
