controller_id,reward_condition,policy_step,kind,terminated,truncated,controller_terminal,next_observation_is_none,target,learner_reward
A,mean_pbrs,19,ongoing,False,False,False,False,0.006447291211019813,0.006447291211019813
B,mean_pbrs,19,ongoing,False,False,False,False,0.0070569708182209425,0.0070569708182209425
A,mean_pbrs,20,controller_terminal,True,False,True,True,-1.1939501588106611,-1.1939501588106611
B,mean_pbrs,20,controller_terminal,True,False,True,True,-1.1937977529467747,-1.1937977529467747
A,min_pbrs,1,ongoing,False,False,False,False,0.008164615384615437,0.008164615384615437
B,min_pbrs,1,ongoing,False,False,False,False,0.008775912159490617,0.008775912159490617
A,min_pbrs,2,ongoing,False,False,False,False,0.008267692307692365,0.008267692307692365
B,min_pbrs,2,ongoing,False,False,False,False,0.008878899239918992,0.008878899239918992
A,min_pbrs,3,ongoing,False,False,False,False,0.008370769230769315,0.008370769230769315
B,min_pbrs,3,ongoing,False,False,False,False,0.008981886320347377,0.008981886320347377
A,min_pbrs,4,ongoing,False,False,False,False,0.00847384615384622,0.00847384615384622
B,min_pbrs,4,ongoing,False,False,False,False,0.009084873400775729,0.009084873400775729
A,min_pbrs,5,ongoing,False,False,False,False,0.006400855196027634,0.006400855196027634
B,min_pbrs,5,ongoing,False,False,False,False,0.007011792600308597,0.007011792600308597
A,min_pbrs,6,ongoing,False,False,False,False,0.0035052923325309404,0.0035052923325309404
B,min_pbrs,6,ongoing,False,False,False,False,0.004116139894163329,0.004116139894163329
A,min_pbrs,7,ongoing,False,False,False,False,0.004145726267730543,0.004145726267730543
B,min_pbrs,7,ongoing,False,False,False,False,0.0047564839867143775,0.0047564839867143775
A,min_pbrs,8,ongoing,False,False,False,False,0.004672882011703284,0.004672882011703284
B,min_pbrs,8,ongoing,False,False,False,False,0.005283549888038563,0.005283549888038563
A,min_pbrs,9,ongoing,False,False,False,False,0.005113103696774468,0.005113103696774468
B,min_pbrs,9,ongoing,False,False,False,False,0.005723681730461172,0.005723681730461172
A,min_pbrs,10,ongoing,False,False,False,False,0.00548487138442213,0.00548487138442213
B,min_pbrs,10,ongoing,False,False,False,False,0.006095359575460324,0.006095359575460324
A,min_pbrs,11,ongoing,False,False,False,False,0.005801568644972633,0.005801568644972633
B,min_pbrs,11,ongoing,False,False,False,False,0.006411966993362217,0.006411966993362217
A,min_pbrs,12,ongoing,False,False,False,False,0.006073163280379635,0.006073163280379635
B,min_pbrs,12,ongoing,False,False,False,False,0.006683471786120654,0.006683471786120654
