condition,seed,checkpoint,replay_len_A,replay_len_B,update_count_A,update_count_B,td_abs_mean,td_abs_p95,td_sample_n,replay_terminal_frac_A,replay_terminal_frac_B
double_dqn,63002,150000,20000,20000,95291,117298,0.0181767012425295,0.0424134939908981,254,0.0390625,0.0
double_dqn,63003,25000,20000,20000,20418,21644,0.0439431083500385,0.1492620229721069,250,0.00390625,0.01171875
double_dqn,63003,75000,20000,20000,46603,64969,0.0141405398173937,0.0365575253963469,252,0.0078125,0.00390625
double_dqn,63003,100000,20000,20000,66512,88515,0.0114285626581736,0.039443789422512,252,0.00390625,0.015625
double_dqn,63003,150000,20000,20000,110974,131379,0.0109577625989913,0.0407054975628852,252,0.01171875,0.015625
double_dqn,63003,200000,20000,20000,156556,177529,0.0143629314918671,0.0542701035737989,248,0.01953125,0.015625
double_dqn,63003,250000,20000,20000,202443,223471,0.0168305485698568,0.0600984320044517,251,0.01171875,0.015625
double_dqn,63003,50000,20000,20000,38252,40926,0.0062836939357666,0.0156324505805969,251,0.0078125,0.015625
double_dqn,63003,300000,20000,20000,247315,269330,0.0088692519996987,0.036126497387886,244,0.0078125,0.0234375
double_dqn,63004,0,0,0,0,0,,,0,,
double_dqn,63004,10000,8979,8147,8468,7636,0.0316360736310127,0.1170136623084545,252,0.01171875,0.01953125
double_dqn,63005,0,0,0,0,0,,,0,,
double_dqn,63004,25000,20000,20000,20346,21894,0.0326894293778498,0.0949021935462951,253,0.0078125,0.015625
double_dqn,63004,75000,20000,20000,66831,60506,0.0165111795654447,0.0485462307929992,254,0.03125,0.03515625
double_dqn,63004,50000,20000,20000,44307,38149,0.0154418632095935,0.0393574833869933,255,0.01171875,0.02734375
double_dqn,63004,100000,20000,20000,87282,83320,0.0164397468129952,0.0503782927989959,251,0.01953125,0.02734375
double_dqn,63004,150000,20000,20000,133183,124838,0.0148253479611969,0.0480198726058006,248,0.00390625,0.02734375
double_dqn,63004,250000,20000,20000,225301,202285,0.0089607214032425,0.0216645002365112,253,0.015625,0.015625
double_dqn,63004,200000,20000,20000,176806,165921,0.0124084349884929,0.0408679544925689,251,0.03515625,0.0234375
double_dqn,63005,10000,8588,8721,8077,8210,0.0449487314904182,0.1289427235722541,254,0.00390625,0.015625
double_dqn,63004,300000,20000,20000,272346,241929,0.0145805166102945,0.0563027709722518,256,0.01171875,0.01171875
double_dqn,63006,0,0,0,0,0,,,0,,
double_dqn,63005,25000,20000,20000,21447,20175,0.0375761845498345,0.110961690545082,256,0.0078125,0.02734375
double_dqn,63005,75000,20000,20000,52388,64834,0.0133748414227738,0.0532368198037147,256,0.01171875,0.01171875
double_dqn,63005,150000,20000,20000,109074,135205,0.0111291282993602,0.0290406823158264,254,0.015625,0.01953125
double_dqn,63005,200000,20000,20000,150808,179639,0.0185684381253215,0.0548483431339263,251,0.0390625,0.0078125
double_dqn,63005,100000,20000,20000,67631,88474,0.0112345765829086,0.0357711136341094,250,0.015625,0.00390625
double_dqn,63005,50000,20000,20000,33015,41634,0.0123460439481134,0.0281283229589462,254,0.01953125,0.00390625
double_dqn,63005,250000,20000,20000,197094,223271,0.0112281919939244,0.0309386253356933,253,0.01171875,0.01171875
double_dqn,63005,300000,20000,20000,240805,269183,0.0180013679057003,0.0425587892532348,251,0.01171875,0.015625
double_dqn,63007,0,0,0,0,0,,,0,,
double_dqn,63006,25000,20000,20000,20130,20343,0.0459262961043199,0.1410926938056944,253,0.015625,0.00390625
double_dqn,63006,10000,8508,8429,7997,7918,0.0368518245692153,0.1070674024522304,251,0.0390625,0.0234375
double_dqn,63006,50000,20000,20000,42107,37920,0.0124786858047757,0.036372697353363,252,0.01171875,0.01171875
double_dqn,63007,10000,8368,8394,7857,7883,0.0254626429329315,0.097184944152832,249,0.0234375,0.015625
double_dqn,63006,250000,20000,20000,200598,216541,0.0125222599126428,0.0380657911300659,251,0.015625,0.01953125
double_dqn,63006,100000,20000,20000,76753,83697,0.0136658196216044,0.0382093429565429,253,0.015625,0.03515625
double_dqn,63006,300000,20000,20000,246150,262137,0.0143602713344087,0.0552386820316314,249,0.0078125,0.0234375
double_dqn,63006,200000,20000,20000,156873,171024,0.0155162076822853,0.0550356268882751,253,0.01953125,0.0078125
double_dqn,63006,75000,20000,20000,56039,60617,0.0109820853420129,0.0340030908584594,254,0.015625,0.01171875
double_dqn,63006,150000,20000,20000,113934,129834,0.0207433726579423,0.0906372666358946,252,0.0234375,0.00390625
double_dqn,63007,25000,20000,20000,21479,20049,0.0339125505549163,0.1229801535606382,253,0.0078125,0.01171875
double_dqn,63007,50000,20000,20000,40734,43271,0.0075834005598037,0.0232138723134994,252,0.0234375,0.00390625
double_dqn,63008,10000,8866,8775,8355,8264,0.047110526811464,0.1249614119529724,253,0.0234375,0.02734375
double_dqn,63007,75000,20000,20000,62435,66293,0.0136556892018569,0.0432870388031005,247,0.00390625,0.0078125
double_dqn,63007,250000,20000,20000,217267,182917,0.0166927488692793,0.0456983089447021,249,0.0078125,0.03515625
double_dqn,63007,150000,20000,20000,132928,100474,0.0125794622396665,0.0302884519100189,252,0.0078125,0.00390625
double_dqn,63007,200000,20000,20000,171756,141962,0.0135441605500348,0.0298314154148101,254,0.0078125,0.0
double_dqn,63007,100000,20000,20000,87034,77793,0.0183952308219412,0.0430641174316405,253,0.00390625,0.00390625
