condition,checkpoint,n,mean_Q_margin,mean_abs_best_Q,max_abs_best_Q
double_dqn,0,320,0.0910103636691813,0.09793578772273956,0.3087846636772156
double_dqn,10000,320,0.046815115697943374,0.7185542525402644,4.713821887969971
double_dqn,25000,320,0.02968418653819136,0.9249448435241181,4.762085914611816
double_dqn,50000,320,0.01988415702284018,0.8645873817753861,5.712636947631836
double_dqn,75000,320,0.014246091001415353,0.754832240816999,6.066864967346191
double_dqn,100000,320,0.016539490976253988,0.7530940039778369,3.9207279682159424
double_dqn,150000,320,0.017950258841425877,0.7512929140775613,6.063070774078369
double_dqn,200000,320,0.01601537475257884,0.7318022272643655,4.297298431396484
double_dqn,250000,320,0.017041495998226953,0.7367970958313601,3.50386905670166
double_dqn,300000,320,0.023547188851221347,0.7034234594376991,5.8388872146606445
vanilla_dqn,0,320,0.0910103636691813,0.09793578772273956,0.3087846636772156
vanilla_dqn,10000,320,0.0651307151666129,1.0920541062263145,6.119832992553711
vanilla_dqn,25000,320,0.03599241034180108,1.3590920033236986,8.463213920593262
vanilla_dqn,50000,320,0.02435181188636794,1.3804254553731135,6.731252193450928
vanilla_dqn,75000,320,0.015779845229505766,1.2360683610089809,4.224106311798096
vanilla_dqn,100000,320,0.01616117478285569,1.0633019778909463,3.306964874267578
vanilla_dqn,150000,320,0.019789196523275574,0.8898053635116316,6.4462995529174805
vanilla_dqn,200000,320,0.016747422220321082,0.8839080697180256,8.203984260559082
vanilla_dqn,250000,320,0.016660588859272317,0.8567403355223533,4.9631123542785645
vanilla_dqn,300000,320,0.015011738844750214,0.8535791251350513,4.65049934387207
