condition,seed,checkpoint,n_swap_pairs_total,n_swap_pairs_role_valid,n_swap_pairs_eligible,n_swap_pairs_changed,D_swap,swap_eligibility
double_dqn,63010,75000,8,8,1,0,0.0,0.125
double_dqn,63010,100000,8,8,8,4,0.5,1.0
double_dqn,63010,150000,8,8,5,1,0.2,0.625
double_dqn,63010,200000,8,8,6,2,0.3333333333333333,0.75
double_dqn,63010,250000,8,8,8,5,0.625,1.0
double_dqn,63010,300000,8,8,0,0,,0.0
double_dqn,63011,0,8,8,0,0,,0.0
double_dqn,63011,10000,8,8,6,6,1.0,0.75
double_dqn,63011,25000,8,8,4,0,0.0,0.5
double_dqn,63011,50000,8,8,0,0,,0.0
double_dqn,63011,75000,8,8,5,1,0.2,0.625
double_dqn,63011,100000,8,8,7,2,0.2857142857142857,0.875
double_dqn,63011,150000,8,8,7,1,0.14285714285714285,0.875
double_dqn,63011,200000,8,8,8,3,0.375,1.0
double_dqn,63011,250000,8,8,8,6,0.75,1.0
double_dqn,63011,300000,8,8,8,3,0.375,1.0
double_dqn,63012,0,8,8,0,0,,0.0
double_dqn,63012,10000,8,8,0,0,,0.0
double_dqn,63012,25000,8,8,7,2,0.2857142857142857,0.875
double_dqn,63012,50000,8,8,4,1,0.25,0.5
double_dqn,63012,75000,8,8,7,3,0.42857142857142855,0.875
double_dqn,63012,100000,8,8,2,0,0.0,0.25
double_dqn,63012,150000,8,8,5,2,0.4,0.625
double_dqn,63012,200000,8,8,7,1,0.14285714285714285,0.875
double_dqn,63012,250000,8,8,2,0,0.0,0.25
double_dqn,63012,300000,8,8,8,3,0.375,1.0
double_dqn,63013,0,8,8,0,0,,0.0
double_dqn,63013,10000,8,8,4,0,0.0,0.5
double_dqn,63013,25000,8,8,8,0,0.0,1.0
double_dqn,63013,50000,8,8,0,0,,0.0
double_dqn,63013,75000,8,8,0,0,,0.0
double_dqn,63013,100000,8,8,7,7,1.0,0.875
double_dqn,63013,150000,8,8,4,4,1.0,0.5
double_dqn,63013,200000,8,8,0,0,,0.0
double_dqn,63013,250000,8,8,7,4,0.5714285714285714,0.875
double_dqn,63013,300000,8,8,5,2,0.4,0.625
double_dqn,63014,0,8,8,0,0,,0.0
double_dqn,63014,10000,8,8,0,0,,0.0
double_dqn,63014,25000,8,8,1,0,0.0,0.125
double_dqn,63014,50000,8,8,0,0,,0.0
double_dqn,63014,75000,8,8,0,0,,0.0
double_dqn,63014,100000,8,8,0,0,,0.0
double_dqn,63014,150000,8,8,5,0,0.0,0.625
double_dqn,63014,200000,8,8,6,0,0.0,0.75
double_dqn,63014,250000,8,8,8,3,0.375,1.0
double_dqn,63014,300000,8,8,8,6,0.75,1.0
double_dqn,63015,0,8,8,3,0,0.0,0.375
double_dqn,63015,10000,8,8,3,0,0.0,0.375
