block_id,assignment,block_index,episode_seed,steps,episode_length,term_reason,success,collision,terminated,truncated,convention,learner_A_utility,learner_B_utility,B_front_utility,B_rear_utility,worst_off_stakeholder_identity,discounted_base_return_A,discounted_base_return_B,discounted_learner_reward_A,discounted_learner_reward_B,collision_type,minimum_bumper_gap,minimum_TTC,hard_braking_rate,background_maximum_braking,formal_job_id,condition,master_seed,checkpoint_step,checkpoint_index,evaluation_seed_base,reconstruction_source,published_episode_payload_available,utility_A,utility_B,utility_B_front,utility_B_rear,roles_json,exit_time_json
validation_006,1,5,566012,400,400,truncation,False,False,False,True,,0.0,0.0,1.0,0.0,A,-0.040579566216522665,-0.1506364608822361,-0.040579566216522665,-0.1506364608822361,none,28.901444447076983,,0.08625,6.000000000000014,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": null, ""B_front"": 40, ""B_rear"": null}"
validation_007,0,6,566013,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.15315504227205026,0.7882356292309118,-0.15315504227205026,0.7882356292309118,none,22.91928781615721,,0.0425,2.6835283541606536,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 43, ""B_front"": 36, ""B_rear"": null}"
validation_007,1,6,566014,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,1.0,A,-0.1563987482794638,0.56295871630036,-0.1563987482794638,0.56295871630036,none,,,0.0625,2.6922434654871807,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,1.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": 69, ""B_front"": 36, ""B_rear"": 86}"
validation_008,0,7,566015,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.1506364608822361,0.7967685463783569,-0.1506364608822361,0.7967685463783569,none,25.72592794157771,,0.03375,4.976275463142841,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 45, ""B_front"": 39, ""B_rear"": null}"
validation_008,1,7,566016,400,400,truncation,False,False,False,True,,0.0,0.0,1.0,0.0,A,-0.033333164537088365,-0.1506364608822361,-0.033333164537088365,-0.1506364608822361,none,25.72592794157771,,0.0875,4.976275463142841,baseline__61001,baseline,61001,100000,5,561001,final_online_target_weights.pt,False,0.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": null, ""B_front"": 39, ""B_rear"": null}"
validation_001,0,0,566002,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.16709877563594194,0.7642669090699326,-0.16709877563594194,0.7642669090699326,none,22.36731185532004,,0.04875,2.6922434654871807,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 49, ""B_front"": 36, ""B_rear"": null}"
validation_001,1,0,566003,400,400,truncation,False,False,False,True,,0.0,0.0,1.0,0.0,A,-0.16814365814070936,-0.16709877563594194,-0.16814365814070936,-0.16709877563594194,none,6.527362455096636,,0.095,2.6922434654871807,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": null, ""B_front"": 36, ""B_rear"": null}"
validation_002,0,1,566004,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.15634089016308136,0.653552794744789,-0.15634089016308136,0.653552794744789,none,25.575328685128653,,0.05375,6.000000000000014,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 56, ""B_front"": 40, ""B_rear"": null}"
validation_002,1,1,566005,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0,B,0.7418215729746533,-0.15634089016308136,0.7418215729746533,-0.15634089016308136,none,26.416847395672505,,0.04,6.000000000000014,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 51, ""B"": null, ""B_front"": 40, ""B_rear"": null}"
validation_003,0,2,566006,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.16709877563594194,0.7461968110655964,-0.16709877563594194,0.7461968110655964,none,23.274089571964552,,0.04625,2.6922434654871807,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 51, ""B_front"": 36, ""B_rear"": null}"
