condition,seed,step,artifact_type,logical_artifact_id,size_bytes,sha256,load_validated,backup_status,storage_location
vanilla_dqn,63001,100000,full_checkpoint,vanilla_dqn/seed_63001/ckpt_step_100000_full.pt,42977247,a6fae43adbc4220b47d6ac6aea1109b2657e0e42c6fa5290881c32a42f7fc8bd,True,not_available,experiment_machine_local
vanilla_dqn,63001,100000,weights,vanilla_dqn/seed_63001/weights_step_100000.pt,106781,6bebed1d1dc5345bc7ca6c0fcb718364873a9aaffee3d40f4eda9ac3f6784be4,True,not_available,experiment_machine_local
vanilla_dqn,63001,100000,checkpoint_metadata,vanilla_dqn/seed_63001/checkpoint_metadata_100000.json,713,dbe4d1066c059dab941afcd7f029084a5a41152059844f2bfa3f3e8d48c7a410,True,not_available,experiment_machine_local
vanilla_dqn,63001,25000,full_checkpoint,vanilla_dqn/seed_63001/ckpt_step_25000_full.pt,43736028,a51ab4b893d647e7dac6cd4fa897741dc983fc557a7bb3b13b28360998801d18,True,not_available,experiment_machine_local
vanilla_dqn,63001,25000,weights,vanilla_dqn/seed_63001/weights_step_25000.pt,106687,92655b9e8c444346c083812162918b993d57d288efa1f06a13206886244cdaeb,True,not_available,experiment_machine_local
vanilla_dqn,63001,25000,checkpoint_metadata,vanilla_dqn/seed_63001/checkpoint_metadata_25000.json,710,7b706e34baa789ba3be88fd2f4f8029abe2cb88f7b2bf01b32933741ce7c2431,True,not_available,experiment_machine_local
vanilla_dqn,63002,0,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_0_full.pt,123148,e4a7993f890e5c8a4971ec56ad3396d1f47bb911462786fc3b7cc982c0ae01ca,True,not_available,experiment_machine_local
vanilla_dqn,63002,0,weights,vanilla_dqn/seed_63002/weights_step_0.pt,106567,319a212024ea2afea127bd924586fb2b5b4ca4c8cec60f1ea8bea8ac7449f1bd,True,not_available,experiment_machine_local
vanilla_dqn,63002,0,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_0.json,696,532e4e0fa3e97424afddced62584606c8afa1a4385baf67ce8e2d2467a3dae53,True,not_available,experiment_machine_local
vanilla_dqn,63002,25000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_25000_full.pt,45329692,34944b9b2b8d080fa2b7ce4258035dd582e050387dcf395d662e0edad42b8bd4,True,not_available,experiment_machine_local
