episode,epsilon,episode_reward,steps,collision,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,time_to_merge
0,1.0,115.40182305428532,13,0,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,13
1,0.9762,105.90008582888304,13,0,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,13
2,0.9525,113.67587909646771,18,0,7.7787493724702905,6.315326616470428,1.0,0.0,0,18
3,0.9287,154.82841782923572,24,0,7.764791737739166,6.451184076218155,1.0,0.0,0,24
4,0.905,65.84801001213181,7,1,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,100
5,0.8812,107.51054576435942,13,0,8.996600046266233,8.270041981873801,1.0,0.0,0,13
6,0.8575,70.258835941479,8,0,11.107903898373795,8.782354492684876,0.7168574228019039,0.08245954889370166,0,8
7,0.8337,113.60570180616176,13,0,10.843130766850058,8.73890013893552,0.31645708173312903,0.22620653450908468,0,13
8,0.81,96.9094495181296,10,0,10.454760847152855,9.690944951812961,0.177897225572828,0.3489705029347414,1,10
9,0.7863,153.91983338744484,17,1,9.993735154433622,9.054107846320285,0.032068518815507145,0.4689279168670779,1,100
