episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied,mean_rawlsian_signal,rawlsian_positive_signal_count,rawlsian_negative_signal_count,rawlsian_zero_signal_count,mean_delta_min_experience,min_delta_min_experience,max_delta_min_experience
34,0.1925,-3.4457927360531446,11,1,1,0,1,0,0,unsafe_merge,11,12.06134037917458,9.39588937034755,0.048606164692711576,0.4536468825672453,1,1,0,1,,0,0,0,,,
35,0.1688,-5.692300883201475,8,0,1,0,0,1,0,collision_without_merge,,10.293312060119119,9.571993200201048,0.2885908326638088,0.27604152897221357,1,0,0,1,,0,0,0,,,
36,0.145,-3.2425777620009657,14,1,1,0,1,0,0,unsafe_merge,14,10.929735268715072,9.627300041662945,0.4306848471856786,0.19896595463851807,0,1,0,1,,0,0,0,,,
37,0.1212,-3.2920166679432876,13,1,1,0,1,0,0,unsafe_merge,13,10.794504337090201,8.896761194224972,0.5825835016384875,0.13187819092305442,0,1,0,1,,0,0,0,,,
38,0.0975,2.5992161982588904,10,1,0,1,0,0,0,safe_merge,10,12.10176780626745,9.631738363084091,0.12541226096303193,0.27317832447756185,1,1,0,0,,0,0,0,,,
39,0.0738,-4.027654664163058,17,1,1,0,1,0,0,unsafe_merge,17,10.230933147178801,7.346563881922368,0.010731720761427274,0.48938222622186767,1,1,0,1,,0,0,0,,,
40,0.05,2.807894457773516,17,1,0,1,0,0,0,safe_merge,17,9.916806777648162,6.282310804457008,1.0,0.0,0,1,0,0,,0,0,0,,,
41,0.05,-3.0566267636306566,16,1,1,0,1,0,0,unsafe_merge,16,10.999738431480884,8.884581199833097,1.0,0.0,0,1,0,1,,0,0,0,,,
42,0.05,2.5188471444519243,17,1,0,1,0,0,0,safe_merge,17,8.33247221748583,7.089680648497995,1.0,0.0,0,1,0,0,,0,0,0,,,
43,0.05,2.880751357745646,16,1,0,1,0,0,0,safe_merge,16,10.3371247325794,6.783915658669516,1.0,0.0,0,1,0,0,,0,0,0,,,
44,0.05,-3.229716819023622,21,1,1,0,1,0,0,unsafe_merge,21,8.798275554070077,5.623956515595371,0.5110445882123056,0.16179383970600436,0,1,0,1,,0,0,0,,,
45,0.05,2.4580481981610594,13,1,0,1,0,0,0,safe_merge,13,8.633009403249883,8.013718457957772,1.0,0.0,0,1,0,0,,0,0,0,,,
46,0.05,2.5999941125476522,27,1,0,1,0,0,0,safe_merge,27,5.580301619077672,3.846754362914866,0.27103387819637137,0.2867610904431792,0,1,0,0,,0,0,0,,,
47,0.05,2.4529738797315432,12,1,0,1,0,0,0,safe_merge,12,9.227493218264184,8.330610548505215,0.8005614445006763,0.002713422396526388,0,1,0,0,,0,0,0,,,
48,0.05,2.744934155839635,22,1,0,1,0,0,0,safe_merge,22,8.287715129185644,5.9448540588105345,0.34793135927276536,0.24187753932775857,0,1,0,0,,0,0,0,,,
49,0.05,2.486823657220641,14,1,0,1,0,0,0,safe_merge,14,8.688068595957978,7.765661542231397,1.0,0.0,0,1,0,0,,0,0,0,,,
50,0.05,2.5710606338449438,20,1,0,1,0,0,0,safe_merge,20,7.656186477419425,2.468932474093079,1.0,0.0,0,1,0,0,,0,0,0,,,
51,0.05,2.4172290940829426,21,1,0,1,0,0,0,safe_merge,21,7.023145980896529,1.2851687394804199,1.0,0.0,0,1,0,0,,0,0,0,,,
52,0.05,2.5603211141567557,20,1,0,1,0,0,0,safe_merge,20,7.965982563660388,2.952818499438139,1.0,0.0,0,1,0,0,,0,0,0,,,
53,0.05,2.4694467678061716,13,1,0,1,0,0,0,safe_merge,13,9.085877297555736,8.151050222273566,1.0,0.0,0,1,0,0,,0,0,0,,,
54,0.05,1.913219038362105,29,1,0,1,0,0,0,safe_merge,29,2.4218126180848687,-1.975527678324994,0.5775864121755434,0.1338796989389428,0,1,0,0,,0,0,0,,,
55,0.05,2.811541942222564,16,1,0,1,0,0,0,safe_merge,16,10.005128849022292,5.945235492729722,1.0,0.0,0,1,0,0,,0,0,0,,,
56,0.05,2.9910140305191484,14,1,0,1,0,0,0,safe_merge,14,12.184596672210835,9.211850051290979,0.6493269791368815,0.106307913863942,0,1,0,0,,0,0,0,,,
57,0.05,2.500318722581617,16,1,0,1,0,0,0,safe_merge,16,8.198781408116837,7.204728816866583,1.0,0.0,0,1,0,0,,0,0,0,,,
58,0.05,1.9840206069760489,28,1,0,1,0,0,0,safe_merge,28,3.0675568135694853,-1.7890578939442858,1.0,0.0,0,1,0,0,,0,0,0,,,
59,0.05,1.6543633170634704,32,1,0,1,0,0,0,safe_merge,32,1.1757005014359456,-3.5542002042111145,1.0,0.0,0,1,0,0,,0,0,0,,,
60,0.05,1.7708211944072492,34,1,0,1,0,0,0,safe_merge,34,1.343619164984629,-1.7325037357544715,1.0,0.0,0,1,0,0,,0,0,0,,,
61,0.05,-8.544372507365498,100,0,0,0,0,0,1,max_steps_unmerged,,-7.042187622450972,-10.84812326829594,1.0,0.0,0,0,1,0,,0,0,0,,,
62,0.05,-3.6484809334103443,11,1,1,0,1,0,0,unsafe_merge,11,10.004491159440589,9.048701856781507,0.09238810118455029,0.41542556982782264,1,1,0,1,,0,0,0,,,
63,0.05,-5.75062602692647,7,0,1,0,0,1,0,collision_without_merge,,10.23762996648848,9.54700669916967,0.12305097738835247,0.3904315299430958,1,0,0,1,,0,0,0,,,
64,0.05,-5.954819734552173,8,0,1,0,0,1,0,collision_without_merge,,11.165472292138796,10.226082328411463,0.03179906244299715,0.4691809543151686,2,0,0,1,,0,0,0,,,
65,0.05,-8.46989456535259,100,0,0,0,0,0,1,max_steps_unmerged,,-6.639272750625193,-10.735863035175178,1.0,0.0,0,0,1,0,,0,0,0,,,
66,0.05,-5.8447687089554385,9,0,1,0,0,1,0,collision_without_merge,,10.08526930600413,8.857183769671046,0.03963679585188691,0.4618743815051216,1,0,0,1,,0,0,0,,,
67,0.05,-5.722247921435713,8,0,1,0,0,1,0,collision_without_merge,,10.18896496236334,9.572910736279736,0.1906003818501798,0.26974740633642935,2,0,0,1,,0,0,0,,,
68,0.05,-5.740865776002789,9,0,1,0,0,1,0,collision_without_merge,,9.98795594252931,8.885555003216329,0.0987705404097173,0.41010812833324906,2,0,0,1,,0,0,0,,,
69,0.05,2.344374772780469,11,1,0,1,0,0,0,safe_merge,11,9.943310520970345,9.135822782796133,0.09142689252846875,0.41623177589415694,1,1,0,0,,0,0,0,,,
70,0.05,2.4558369136766363,10,1,0,1,0,0,0,safe_merge,10,10.385449626066016,9.700850588428809,1.0,0.0,0,1,0,0,,0,0,0,,,
71,0.05,-5.735890142903953,8,0,1,0,0,1,0,collision_without_merge,,9.98026876883219,9.035847323962072,0.13758688434650512,0.3790537353764034,1,0,0,1,,0,0,0,,,
72,0.05,-5.727727441551699,8,0,1,0,0,1,0,collision_without_merge,,9.50546601802355,9.136974918809836,0.19330679546649,0.3380074627908891,1,0,0,1,,0,0,0,,,
73,0.05,-5.696557502607434,8,0,1,0,0,1,0,collision_without_merge,,10.742700693372312,9.741852131385984,0.14652013729725585,0.37220447985967864,1,0,0,1,,0,0,0,,,
74,0.05,2.3835277055187816,10,1,0,1,0,0,0,safe_merge,10,9.744442442952412,8.940613482826503,0.8132965297430429,0.015317532449419025,0,1,0,0,,0,0,0,,,
75,0.05,-5.652278901020208,8,0,1,0,0,1,0,collision_without_merge,,10.995394097444933,10.290092571469696,0.2554136873428702,0.2763153613291549,0,0,0,1,,0,0,0,,,
76,0.05,-5.8607995520744804,7,0,1,0,0,1,0,collision_without_merge,,9.216685894800033,8.148671068887737,0.06318538473041581,0.44056973916506825,1,0,0,1,,0,0,0,,,
77,0.05,-5.720645479944301,7,0,1,0,0,1,0,collision_without_merge,,11.452867901099376,9.26582618228502,0.0613576448133764,0.3995192153353686,1,0,0,1,,0,0,0,,,
78,0.05,0.8428873183382382,45,1,0,1,0,0,0,safe_merge,45,-1.793436342581313,-5.72629142283246,0.6065463383043118,0.12245325650269545,0,1,0,0,,0,0,0,,,
79,0.05,-5.728781005664709,8,0,1,0,0,1,0,collision_without_merge,,10.30413161628654,9.88063114731819,0.1310060257599559,0.38416858727880876,1,0,0,1,,0,0,0,,,
80,0.05,-1.572797793057595,77,1,0,1,0,0,0,safe_merge,77,-5.164625742630107,-9.13855445443257,1.0,0.0,0,1,0,0,,0,0,0,,,
81,0.05,-5.748347767961509,6,0,1,0,0,1,0,collision_without_merge,,11.016900147297157,9.978759099150837,0.118373394226544,0.39415574902118466,1,0,0,1,,0,0,0,,,
82,0.05,-5.79741817305537,8,0,1,0,0,1,0,collision_without_merge,,11.242186077044346,10.431596721094856,0.059207257586969333,0.43252101104485563,2,0,0,1,,0,0,0,,,
83,0.05,-5.7804249736968805,6,0,1,0,0,1,0,collision_without_merge,,10.741795201596858,9.355748431438704,0.10004665334618859,0.35152241509688054,1,0,0,1,,0,0,0,,,
84,0.05,2.617819667828808,10,1,0,1,0,0,0,safe_merge,10,11.45136768141135,8.813991504722285,0.24754868943237604,0.3015719213772665,0,1,0,0,,0,0,0,,,
85,0.05,1.8747403951433277,31,1,0,1,0,0,0,safe_merge,31,2.1371681846148842,-1.868513452901909,1.0,0.0,0,1,0,0,,0,0,0,,,
86,0.05,0.16272886931886,54,1,0,1,0,0,0,safe_merge,54,-2.9413770917165567,-6.9618416232957125,1.0,0.0,0,1,0,0,,0,0,0,,,
87,0.05,2.3630612526113577,10,1,0,1,0,0,0,safe_merge,10,10.438518269912185,9.399477695377321,0.14121790240712506,0.29817553687816334,2,1,0,0,,0,0,0,,,
88,0.05,-8.470772107082897,100,0,0,0,0,0,1,max_steps_unmerged,,-6.772049223738727,-10.752184255880794,1.0,0.0,0,0,1,0,,0,0,0,,,
89,0.05,-5.796987978578141,7,0,1,0,0,1,0,collision_without_merge,,10.837904305785019,9.930294789711914,0.06625300838116642,0.43786370790010287,1,0,0,1,,0,0,0,,,
90,0.05,-5.862452355582851,8,0,1,0,0,1,0,collision_without_merge,,9.908329107482848,9.187011202825772,0.05354981064272002,0.4491720181601553,2,0,0,1,,0,0,0,,,
91,0.05,-6.192668417311104,8,0,1,0,0,1,0,collision_without_merge,,10.339963208424267,8.888274538240296,0.017332171140697513,0.48296311506470513,1,0,0,1,,0,0,0,,,
