episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied
0,1.0,116.40182305428532,13,1,0,1,0,0,0,safe_merge,13,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,1,0,0
1,0.9762,106.90008582888304,13,1,0,1,0,0,0,safe_merge,13,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,1,0,0
2,0.9525,114.67587909646771,18,1,0,1,0,0,0,safe_merge,18,7.7787493724702905,6.315326616470428,1.0,0.0,0,1,0,0
3,0.9287,155.82841782923572,24,1,0,1,0,0,0,safe_merge,24,7.764791737739166,6.451184076218155,1.0,0.0,0,1,0,0
4,0.905,55.84801001213181,7,0,1,0,0,1,0,collision_without_merge,,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,0,0,1
5,0.8812,108.51054576435942,13,1,0,1,0,0,0,safe_merge,13,8.996600046266233,8.270041981873801,1.0,0.0,0,1,0,0
6,0.8575,71.258835941479,8,1,0,1,0,0,0,safe_merge,8,11.107903898373795,8.782354492684876,0.7168574228019039,0.08245954889370166,0,1,0,0
7,0.8337,114.60570180616176,13,1,0,1,0,0,0,safe_merge,13,10.843130766850058,8.73890013893552,0.31645708173312903,0.22620653450908468,0,1,0,0
8,0.81,97.9094495181296,10,1,0,1,0,0,0,safe_merge,10,10.454760847152855,9.690944951812961,0.177897225572828,0.3489705029347414,1,1,0,0
9,0.7863,144.91983338744484,17,1,1,0,1,0,0,unsafe_merge,17,9.993735154433622,9.054107846320285,0.032068518815507145,0.4689279168670779,1,1,0,1
10,0.7625,69.54129408634138,9,0,1,0,0,1,0,collision_without_merge,,9.807007338528942,8.837921565149042,0.04733361493153081,0.4548055994224671,1,0,0,1
11,0.7388,93.42255447833637,17,1,1,0,1,0,0,unsafe_merge,17,8.498460967447258,6.024856145784492,-1.8587969437398701,0.5,1,1,0,1
12,0.715,99.79601838598572,28,1,0,1,0,0,0,safe_merge,28,6.014712222220483,3.5284292280709186,0.1411908324528467,0.31497669641859494,1,1,0,0
13,0.6913,84.55063905516592,11,1,1,0,1,0,0,unsafe_merge,11,9.950116667408919,8.504603550469628,0.052451407662065984,0.45016263242159327,2,1,0,1
14,0.6675,107.04021399161427,13,1,0,1,0,0,0,safe_merge,13,8.666064293018135,8.156939537816482,0.5074413102362196,0.16337574352615958,0,1,0,0
15,0.6438,108.07964150219864,12,1,0,1,0,0,0,safe_merge,12,11.348789350671886,8.923303458516553,0.1863424399068134,0.34292693775546756,1,1,0,0
16,0.62,59.808778208708034,8,0,1,0,0,1,0,collision_without_merge,,10.662214581754771,8.726097276088504,0.012011169640305864,0.48174456067716065,2,0,0,1
17,0.5962,100.77171392440765,11,1,0,1,0,0,0,safe_merge,11,11.287987011318442,9.070155811309787,0.24384036802632725,0.30396168648775834,0,1,0,0
18,0.5725,120.81127644607072,18,1,1,0,1,0,0,unsafe_merge,18,10.007740435088014,7.211737580337263,0.009006127115116091,0.4901803200787689,1,1,0,1
19,0.5488,140.79261612580683,14,1,0,1,0,0,0,safe_merge,14,11.81437423148965,9.985186866129059,0.11610154304669709,0.395975824269746,1,1,0,0
20,0.525,74.51798968923927,10,1,1,0,1,0,0,unsafe_merge,10,10.16430563987745,8.351798968923926,0.11401736886192307,0.38931425765957006,1,1,0,1
21,0.5012,-74.23094474805129,29,1,0,1,0,0,0,safe_merge,29,2.9492401257347134,-2.5941705085534927,1.0,0.0,0,1,0,0
22,0.4775,104.6325192041418,19,1,0,1,0,0,0,safe_merge,19,8.790183565028075,5.454343116007463,1.0,0.0,0,1,0,0
23,0.4538,45.5288958719171,7,0,1,0,0,1,0,collision_without_merge,,10.03737543908912,7.932699410273871,0.009722180291584238,0.490371430398036,2,0,0,1
24,0.43,118.25622383710808,13,1,0,1,0,0,0,safe_merge,13,11.167282012004684,9.019709525931392,0.30025487886335694,0.26907998289856017,0,1,0,0
25,0.4062,137.10430594478495,17,1,0,1,0,0,0,safe_merge,17,10.365184949408853,8.006135643810879,0.9322903334886921,0.017520572694958325,0,1,0,0
26,0.3825,113.12027045333292,13,1,0,1,0,0,0,safe_merge,13,10.462004911381458,8.624636188717917,0.6388589219608973,0.11018064862074795,0,1,0,0
27,0.3588,59.964161346560076,20,1,0,1,0,0,0,safe_merge,20,7.9907899884060045,2.948208067328004,0.5063095587868218,0.16387416462084858,0,1,0,0
28,0.335,122.21782281707684,13,1,0,1,0,0,0,safe_merge,13,11.011400294478982,9.32444790900591,0.35669375797029484,0.23708601821539088,0,1,0,0
29,0.3113,68.51412852831064,25,1,0,1,0,0,0,safe_merge,25,6.094217834075344,2.7005651411324254,1.0,0.0,0,1,0,0
30,0.2875,92.87819823257722,11,1,1,0,1,0,0,unsafe_merge,11,10.42680385713664,9.261654384779748,0.09384629330502132,0.41420522802937176,1,1,0,1
31,0.2638,98.84155472456153,11,1,0,1,0,0,0,safe_merge,11,11.916494916613622,8.894686793141958,0.08232333420834743,0.42393831713093233,1,1,0,0
32,0.24,60.10060154238788,8,1,1,0,1,0,0,unsafe_merge,8,10.751209794463806,8.637575192798485,0.7289964425473177,0.07837018943006457,0,1,0,1
33,0.2163,151.0361115395969,22,1,1,0,1,0,0,unsafe_merge,22,8.654419431900871,7.274368706345314,1.0,0.0,0,1,0,1
34,0.1925,128.75134473429642,17,1,0,1,0,0,0,safe_merge,17,10.211766189722525,7.514784984370378,1.0,0.0,0,1,0,0
35,0.1688,-48.63475562599126,31,1,0,1,0,0,0,safe_merge,31,2.1889623935998115,-1.6011211492255246,0.5773787948667082,0.13396313127469295,0,1,0,0
36,0.145,64.80650743328432,8,1,1,0,1,0,0,unsafe_merge,8,10.879485162632122,9.22581342916054,0.16536792344748336,0.35809809921807423,2,1,0,1
37,0.1212,41.7688228671183,25,1,0,1,0,0,0,safe_merge,25,5.626280553914691,1.6307529146847322,1.0,0.0,0,1,0,0
38,0.0975,-222.5247847951329,49,1,0,1,0,0,0,safe_merge,49,-1.8391950356539977,-4.561730301941488,1.0,0.0,0,1,0,0
39,0.0738,-835.1019465411146,100,0,0,0,0,0,1,max_steps_unmerged,,-5.5706186915078755,-8.341019465411145,-1.0,0.5,0,0,1,0
40,0.05,-624.3445920454166,100,0,0,0,0,0,1,max_steps_unmerged,,-4.201952559220376,-6.233445920454166,-9.0,0.5,0,0,1,0
41,0.05,-186.40676790630582,68,1,0,1,0,0,0,safe_merge,68,-1.171018018470665,-2.7559818809750856,-5.0,0.5,0,1,0,0
42,0.05,-660.8515066964751,95,1,0,1,0,0,0,safe_merge,95,-4.517785296738296,-6.966857965226054,-21.0,0.5,0,1,0,0
43,0.05,-709.0866176221375,82,1,0,1,0,0,0,safe_merge,82,-5.207503683230026,-8.659592897830946,-31.0,0.5,0,1,0,0
44,0.05,123.94316886402346,28,1,0,1,0,0,0,safe_merge,28,5.799261747179195,4.390827459429409,0.7518737104989084,0.07081740196627218,0,1,0,0
45,0.05,89.15612471701559,36,1,0,1,0,0,0,safe_merge,36,4.1342992105123955,2.448781242139322,-1.0,0.5,0,1,0,0
46,0.05,73.2360522407275,35,1,0,1,0,0,0,safe_merge,35,3.278948511791514,2.063887206877929,-2.0,0.5,0,1,0,0
47,0.05,160.453316616907,25,1,0,1,0,0,0,safe_merge,25,7.815384196706666,6.378132664676279,1.0,0.0,0,1,0,0
48,0.05,78.81372592215551,35,1,0,1,0,0,0,safe_merge,35,3.90803146977442,2.223249312061586,0.0,0.5,0,1,0,0
49,0.05,87.3528092248929,29,1,1,0,1,0,0,unsafe_merge,29,5.508541731848679,3.3225106629273413,1.0,0.0,0,1,0,1
50,0.05,90.09596118760548,28,1,0,1,0,0,0,safe_merge,28,5.69187537694077,3.181998613843053,-1.0,0.5,0,1,0,0
51,0.05,143.28884205434167,25,1,0,1,0,0,0,safe_merge,25,7.161700184904473,5.691553682173667,1.0,0.0,0,1,0,0
52,0.05,81.13887161307926,30,1,1,0,1,0,0,unsafe_merge,30,5.098999356690124,3.004629053769309,0.336663417086435,0.2481314945984905,0,1,0,1
53,0.05,101.5339727629825,31,1,0,1,0,0,0,safe_merge,31,4.836086097209246,3.2430313794510486,0.0,0.5,0,1,0,0
54,0.05,106.89504180368482,24,1,1,0,1,0,0,unsafe_merge,24,7.352030032950846,4.828960075153534,0.8661580819210188,0.03586028412480591,0,1,0,1
55,0.05,102.26875543296441,28,1,0,1,0,0,0,safe_merge,28,5.572745288249972,3.616741265463015,1.0,0.0,0,1,0,0
56,0.05,101.04872906543474,28,1,1,0,1,0,0,unsafe_merge,28,5.970514232638003,3.930311752336955,0.48339429326350436,0.17412959894835178,0,1,0,1
57,0.05,114.19368225370442,25,1,1,0,1,0,0,unsafe_merge,25,7.034679925246403,4.927747290148177,1.0,0.0,0,1,0,1
58,0.05,106.19679151020841,13,1,1,0,1,0,0,unsafe_merge,13,10.123704078185959,8.861291654631417,0.9298215815396293,0.018182618313445698,0,1,0,1
59,0.05,126.91865249366293,27,1,0,1,0,0,0,safe_merge,27,6.156361624965185,4.66365379606159,1.0,0.0,0,1,0,0
60,0.05,165.83162672535502,20,1,1,0,1,0,0,unsafe_merge,20,9.973736583167563,8.741581336267751,0.1750290859208801,0.35104276309576776,1,1,0,1
61,0.05,106.28409184847473,23,1,1,0,1,0,0,unsafe_merge,23,7.633389491583077,5.0123518194989005,0.4859438366925053,0.1729729450783648,0,1,0,1
62,0.05,85.90499865627368,20,1,1,0,1,0,0,unsafe_merge,20,8.880577281280745,4.7452499328136835,1.0,0.0,0,1,0,1
63,0.05,146.5439634348284,26,1,0,1,0,0,0,safe_merge,26,7.491310812275823,5.597844747493401,-1.0,0.5,0,1,0,0
64,0.05,162.62542430226918,22,1,0,1,0,0,0,safe_merge,22,8.937325304992697,7.34661019555769,1.0,0.0,0,1,0,0
65,0.05,133.43821381396333,24,1,0,1,0,0,0,safe_merge,24,7.558993677626219,5.518258908915139,-3.0,0.5,0,1,0,0
66,0.05,168.8550661452307,22,1,0,1,0,0,0,safe_merge,22,9.256506668646075,7.629775733874123,1.0,0.0,0,1,0,0
67,0.05,80.64830305611758,9,1,1,0,1,0,0,unsafe_merge,9,11.279342187562785,9.960922561790843,0.10181623135075817,0.39452967035653996,1,1,0,1
68,0.05,140.82281598077063,25,1,0,1,0,0,0,safe_merge,25,7.47425622102256,5.592912639230825,-2.0,0.5,0,1,0,0
69,0.05,166.4370028959229,21,1,0,1,0,0,0,safe_merge,21,9.527008554264011,7.877952518853471,1.0,0.0,0,1,0,0
70,0.05,153.0395380227184,23,1,0,1,0,0,0,safe_merge,23,8.282286527626848,6.61041469663993,-1.0,0.5,0,1,0,0
71,0.05,153.3809571036606,23,1,0,1,0,0,0,safe_merge,23,8.270904892710089,6.625259004506982,-1.0,0.5,0,1,0,0
72,0.05,141.17507197313546,26,1,0,1,0,0,0,safe_merge,26,7.182630171916476,5.391348922043671,-2.0,0.5,0,1,0,0
73,0.05,157.49983956484996,24,1,0,1,0,0,0,safe_merge,24,8.459385513075384,6.520826648535415,-1.0,0.5,0,1,0,0
74,0.05,66.8717290381344,9,1,1,0,1,0,0,unsafe_merge,9,10.471830860081537,8.430192115348268,0.25756457554369655,0.2951877934917648,0,1,0,1
75,0.05,146.7926648037586,24,1,0,1,0,0,0,safe_merge,24,7.7443744837995965,6.074694366823276,-1.0,0.5,0,1,0,0
76,0.05,150.41135991752887,18,1,1,0,1,0,0,unsafe_merge,18,10.14782179932961,8.856186662084937,0.1939736816729908,0.33753939919245446,1,1,0,1
77,0.05,143.99439205966308,26,1,0,1,0,0,0,safe_merge,26,7.166480736903244,5.499784309987041,-2.0,0.5,0,1,0,0
78,0.05,158.78217653437358,22,1,0,1,0,0,0,safe_merge,22,8.968576766351752,7.171917115198799,0.553901441232656,0.1435414585925956,0,1,0,0
79,0.05,138.36876197604232,14,1,0,1,0,0,0,safe_merge,14,11.119419696668286,9.812054426860167,1.0,0.0,0,1,0,0
80,0.05,132.623158834443,20,1,0,1,0,0,0,safe_merge,20,9.594709185839964,6.581157941722149,-1.0,0.5,0,1,0,0
81,0.05,154.75847491287794,24,1,0,1,0,0,0,safe_merge,24,8.114348906264164,6.406603121369915,-1.0,0.5,0,1,0,0
82,0.05,137.57454174784243,22,1,1,0,1,0,0,unsafe_merge,22,8.701348986668432,6.662479170356474,0.008180447275668122,0.4918859294506517,1,1,0,1
83,0.05,141.96551965891604,23,1,1,0,1,0,0,unsafe_merge,23,8.764605996076194,6.563718246039827,0.05349795885595786,0.4492187351610497,1,1,0,1
84,0.05,143.94613707172752,23,1,0,1,0,0,0,safe_merge,23,8.159492880970948,6.215049437901197,1.0,0.0,0,1,0,0
85,0.05,147.80856683559045,21,1,0,1,0,0,0,safe_merge,21,9.187386188200213,6.990884135028117,0.763588180231048,0.06702580069967934,0,1,0,0
86,0.05,145.24778217965422,20,1,1,0,1,0,0,unsafe_merge,20,10.063376676203927,7.712389108982711,0.4699984511307262,0.18027282561474633,0,1,0,1
87,0.05,148.8913602750821,27,1,0,1,0,0,0,safe_merge,27,6.887772197132533,5.477457787966004,-1.0,0.5,0,1,0,0
88,0.05,101.38113213485636,30,1,0,1,0,0,0,safe_merge,30,5.649511419783106,3.3460377378285453,-3.0,0.5,0,1,0,0
89,0.05,121.55806548275422,26,1,0,1,0,0,0,safe_merge,26,6.875996461302658,4.636848672413624,-1.0,0.5,0,1,0,0
90,0.05,111.8213773038001,12,1,0,1,0,0,0,safe_merge,12,11.391497552079258,9.235114775316676,0.2479972317895102,0.30128382862363745,0,1,0,0
91,0.05,128.85084438882933,26,1,0,1,0,0,0,safe_merge,26,6.695351808525198,4.917340168801128,-5.0,0.5,0,1,0,0
92,0.05,139.7981855684503,26,1,0,1,0,0,0,safe_merge,26,7.267376501342511,5.338391752632703,-1.0,0.5,0,1,0,0
93,0.05,85.02398431449734,9,1,0,1,0,0,0,safe_merge,9,10.292479197107692,9.335998257166372,0.4343430874785237,0.19718326719023072,0,1,0,0
94,0.05,126.15330473865646,27,1,0,1,0,0,0,safe_merge,27,6.800605177569886,4.635307582913202,-1.0,0.5,0,1,0,0
95,0.05,140.6975222060672,26,1,0,1,0,0,0,safe_merge,26,7.214072041013295,5.3729816233102765,-2.0,0.5,0,1,0,0
96,0.05,82.689067066474,10,1,1,0,1,0,0,unsafe_merge,10,11.023721489420153,9.1689067066474,0.4007496906976389,0.15320818889359322,0,1,0,1
97,0.05,130.19272818314423,28,1,0,1,0,0,0,safe_merge,28,6.444678331364345,4.614026006540866,-5.0,0.5,0,1,0,0
98,0.05,152.67596343894164,16,1,0,1,0,0,0,safe_merge,16,10.822319291902037,9.479747714933852,0.6322618620126021,0.11264679600305438,0,1,0,0
99,0.05,142.1861672724964,27,1,0,1,0,0,0,safe_merge,27,6.85380430751461,5.229117306388755,-4.0,0.5,0,1,0,0
