episode,epsilon,episode_reward,steps,collision,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,time_to_merge
0,1.0,-0.281659150765073,14,1,6.370717408664768,5.700406909018574,0.002662759767625408,0.0,2,60
1,0.9762,-0.8891539757837661,2,1,6.549721103682764,6.019871061986503,0.07453986913464608,0.0,1,60
2,0.9525,-0.8431303507764389,2,1,7.277162412226835,5.583160393596225,0.022627662732833537,0.0,1,60
3,0.9287,-0.6620387394467288,6,1,6.86570150511686,6.201408364566327,0.025136761698362143,0.0,2,60
4,0.905,0.7297544497807226,29,0,3.1947967223710774,1.048059167339587,1.0,0.0,0,29
5,0.8812,0.5445072193556437,52,0,-5.82055186150809,-9.749211574626647,-20.0,0.5,0,52
6,0.8575,-0.716706893652041,5,1,6.571085900277889,5.970890854744544,0.04928922290638426,0.0,2,60
7,0.8337,0.7990509504354701,23,0,3.6754688086915372,1.5212121966972798,-1.0,0.5,0,23
