episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied
40,0.05,1.8796731530641826,20,1,0,1,0,0,0,safe_merge,20,9.38156228260824,5.8194713182511135,-1.0,0.5,0,1,0,0
41,0.05,1.8174951330281017,22,1,0,1,0,0,0,safe_merge,22,8.590372397044817,5.262419759812081,-1.0,0.5,0,1,0,0
42,0.05,1.4809037609701596,16,1,0,1,0,0,0,safe_merge,16,8.218902804084284,6.973935442681314,1.0,0.0,0,1,0,0
43,0.05,0.8490573357195924,40,1,0,1,0,0,0,safe_merge,40,0.7276456167475989,-2.242986348411962,-4.0,0.5,0,1,0,0
44,0.05,1.6469202234150377,25,1,0,1,0,0,0,safe_merge,25,6.325404172161038,2.21802915351345,-2.0,0.5,0,1,0,0
45,0.05,1.8077791705904889,23,1,0,1,0,0,0,safe_merge,23,8.244660267035956,4.912505069564304,-1.0,0.5,0,1,0,0
46,0.05,1.5149692481547925,15,1,0,1,0,0,0,safe_merge,15,8.746162127971752,7.827672021461595,1.0,0.0,0,1,0,0
47,0.05,1.2726048683312055,32,1,0,1,0,0,0,safe_merge,32,3.123323968518869,-1.097044180342018,-5.0,0.5,0,1,0,0
48,0.05,-9.516323989853149,12,1,1,0,1,0,0,unsafe_merge,12,9.65346486975556,8.054094165187138,0.0938222038302852,0.414225361761954,1,1,0,1
49,0.05,1.4656244899364124,18,1,0,1,0,0,0,safe_merge,18,7.490797145879617,5.72373883378464,0.0,0.5,0,1,0,0
50,0.05,1.1788451640717992,36,1,0,1,0,0,0,safe_merge,36,1.9567544353162079,-1.4194677513476934,-5.0,0.5,0,1,0,0
51,0.05,1.4934355897843896,14,1,0,1,0,0,0,safe_merge,14,9.017341711932831,7.857262487745176,1.0,0.0,0,1,0,0
52,0.05,1.2954303830857354,27,1,0,1,0,0,0,safe_merge,27,4.59688549338713,-0.9005379495393799,1.0,0.0,0,1,0,0
53,0.05,1.4410255053658765,28,1,0,1,0,0,0,safe_merge,28,4.600619041379796,-0.4059085719321898,-3.0,0.5,0,1,0,0
54,0.05,1.5196921968468426,14,1,0,1,0,0,0,safe_merge,14,9.016580725748694,8.389934059165212,1.0,0.0,0,1,0,0
55,0.05,1.6169315723121755,25,1,0,1,0,0,0,safe_merge,25,5.986562351975349,1.6172895953936957,-2.0,0.5,0,1,0,0
56,0.05,1.4101509448195377,17,1,0,1,0,0,0,safe_merge,17,6.329137841083603,3.7015197704962044,-4.0,0.5,0,1,0,0
