episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied
0,1.0,6.770091152714265,13,1,0,1,0,0,0,safe_merge,13,9.458151034655263,8.8770633118681,0.37406817716230556,0.22776592648057492,0,1,0,0
1,0.9762,6.295004291444152,13,1,0,1,0,0,0,safe_merge,13,9.091548706614466,8.146160448375618,0.9593042666683427,0.010385251036292065,0,1,0,0
2,0.9525,6.683793954823386,18,1,0,1,0,0,0,safe_merge,18,7.7787493724702905,6.315326616470428,1.0,0.0,0,1,0,0
3,0.9287,8.741420891461786,24,1,0,1,0,0,0,safe_merge,24,7.764791737739166,6.451184076218155,1.0,0.0,0,1,0,0
4,0.905,-6.70759949939341,7,0,1,0,0,1,0,collision_without_merge,,10.50521024112049,9.406858573161687,0.09746334864065885,0.41119216075746046,1,0,0,1
5,0.8812,6.375527288217972,13,1,0,1,0,0,0,safe_merge,13,8.996600046266233,8.270041981873801,1.0,0.0,0,1,0,0
6,0.8575,4.512941797073951,8,1,0,1,0,0,0,safe_merge,8,11.107903898373795,8.782354492684876,0.7168574228019039,0.08245954889370166,0,1,0,0
7,0.8337,5.525730136824199,11,1,0,1,0,0,0,safe_merge,11,9.5132320938119,8.228600248771272,0.5923442458375743,0.1280049069879352,0,1,0,0
8,0.81,6.132389115052707,11,1,0,1,0,0,0,safe_merge,11,10.091490917920234,9.331616572823103,0.8939064368899918,0.028009188057944945,0,1,0,0
9,0.7863,6.247549785203346,13,1,0,1,0,0,0,safe_merge,13,8.958855311120043,8.073153515697456,1.0,0.0,0,1,0,0
10,0.7625,5.704168024965204,12,1,0,1,0,0,0,safe_merge,12,8.687090025659636,7.840280041608673,1.0,0.0,0,1,0,0
11,0.7388,5.786318624039636,25,1,0,1,0,0,0,safe_merge,25,5.8626559974856995,3.829054899231709,-2.0,0.5,0,1,0,0
12,0.715,6.717057066728797,15,1,0,1,0,0,0,safe_merge,15,8.264631361025561,7.622742755638395,0.6426125460904323,0.10878629131385331,0,1,0,0
13,0.6913,-4.235213900468906,11,1,1,0,1,0,0,unsafe_merge,11,9.930683752629928,8.663247453692899,0.06716953121889183,0.4370582374646954,1,1,0,1
14,0.6675,-6.78017468344109,7,0,1,0,0,1,0,collision_without_merge,,10.387451543682896,9.199500904454027,0.11789665434691746,0.3945370720196013,1,0,0,1
15,0.6438,6.726595639456241,15,1,0,1,0,0,0,safe_merge,15,8.35010128692636,7.635460852608322,1.0,0.0,0,1,0,0
16,0.62,5.888567357031787,11,1,0,1,0,0,0,safe_merge,11,9.640623023686048,8.888304285512339,1.0,0.0,0,1,0,0
17,0.5962,-7.020116959981722,7,0,1,0,0,1,0,collision_without_merge,,10.101359777323532,8.513951542909364,0.19794036141423693,0.33476609705298066,2,0,0,1
18,0.5725,-5.875537734589506,9,0,1,0,0,1,0,collision_without_merge,,10.226566151841991,9.16547170091221,0.07559625962564501,0.42971688126550767,1,0,0,1
19,0.5488,5.966612790856617,10,1,0,1,0,0,0,safe_merge,10,10.305767599891652,9.933225581713234,1.0,0.0,0,1,0,0
20,0.525,-6.373051800721601,8,0,1,0,0,1,0,collision_without_merge,,10.210105393533663,9.067370498195999,0.20318359116311582,0.31889804157806534,1,0,0,1
21,0.5012,-5.639087270359517,10,0,1,0,0,1,0,collision_without_merge,,9.621991339579067,8.721825459280966,0.3692689956541614,0.23031668954298867,0,0,0,1
22,0.4775,5.6512233032825465,12,1,0,1,0,0,0,safe_merge,12,8.734286732672965,7.752038838804243,1.0,0.0,0,1,0,0
23,0.4538,5.610178522083391,11,1,0,1,0,0,0,safe_merge,11,9.2458379699053,8.382142767424348,1.0,0.0,0,1,0,0
24,0.43,-7.263790268466123,6,0,1,0,0,1,0,collision_without_merge,,10.62774458094101,9.12069910511292,0.06061357290128007,0.44285046462730726,1,0,0,1
25,0.4062,-6.454133761175476,7,0,1,0,0,1,0,collision_without_merge,,11.361536763926003,10.131046396641494,0.16280126545239398,0.350071014157727,1,0,0,1
26,0.3825,-7.851533260512829,5,0,1,0,0,1,0,collision_without_merge,,10.609283460494769,8.593866957948682,0.026192768810384015,0.47447578115294275,1,0,0,1
27,0.3588,-7.32454490231841,5,0,1,0,0,1,0,collision_without_merge,,11.942284795961601,10.701820390726358,0.10853271305122854,0.3531302748418905,1,0,0,1
28,0.335,6.053347554103558,12,1,0,1,0,0,0,safe_merge,12,9.253468579118584,8.422245923505931,1.0,0.0,0,1,0,0
29,0.3113,-7.176677666669681,6,0,1,0,0,1,0,collision_without_merge,,11.030803491369767,9.411074444434398,0.016560885331378516,0.4837089095494953,1,0,0,1
30,0.2875,-7.221503684566075,6,0,1,0,0,1,0,collision_without_merge,,10.860969429912315,9.261654384779746,0.2611757605653732,0.29291089415777316,0,0,0,1
31,0.2638,-6.823637402258142,7,0,1,0,0,1,0,collision_without_merge,,10.743115292478752,9.07532170783388,0.20809445308823812,0.3277498480716565,0,0,0,1
