run_id,scenario_id,step,controller,progress_component,exit_component,collision_component,hard_braking_component,base_total,delta_rho,rho_t,rho_t1,hard_braking_cost,mean_F_t,min_F_t,scaled_mean_shaping,scaled_min_shaping,baseline_total,mean_pbrs_total,min_pbrs_total,raw_mean_t1,actual_mean_t1,raw_min_t1,actual_min_t1
20260729T173124Z_a7010e04,nominal_forward,1,A,0.007280000000000001,0.0,-0.0,-0.0,0.007280000000000001,0.0182,0.05068480843660727,0.06888480843660727,0.0,-0.028938756468052218,-0.09768773337220893,-0.014469378234026109,-0.048843866686104465,0.007280000000000001,-0.007189378234026108,-0.04156386668610446,0.837749993499445,0.837749993499445,0.70584147399778,0.70584147399778
20260729T173124Z_a7010e04,nominal_forward,1,B,0.0061714285714285725,0.0,-0.0,-0.0,0.0061714285714285725,0.01542857142857143,0.024461722320578354,0.039890293749149784,0.0,-0.028938756468052218,-0.09768773337220893,-0.014469378234026109,-0.048843866686104465,0.0061714285714285725,-0.008297949662597537,-0.042672438114675894,0.837749993499445,0.837749993499445,0.70584147399778,0.70584147399778
20260729T173124Z_a7010e04,nominal_forward,2,A,0.007440000000000002,0.0,-0.0,-0.0,0.007440000000000002,0.018600000000000005,0.06888480843660727,0.08748480843660728,0.0,0.008772557168472916,0.0036097558644595518,0.004386278584236458,0.0018048779322297759,0.007440000000000002,0.01182627858423646,0.009244877932229778,0.8507764328320784,0.8507764328320784,0.7130163114193362,0.7130163114193362
20260729T173124Z_a7010e04,nominal_forward,2,B,0.006323809523809523,0.0,-0.0,-0.0,0.006323809523809523,0.015809523809523808,0.039890293749149784,0.05569981755867359,0.0,0.008772557168472916,0.0036097558644595518,0.004386278584236458,0.0018048779322297759,0.006323809523809523,0.010710088108045981,0.008128687456039299,0.8507764328320784,0.8507764328320784,0.7130163114193362,0.7130163114193362
20260729T173124Z_a7010e04,nominal_forward,3,A,0.007600000000000002,0.0,-0.0,-0.0,0.007600000000000002,0.019000000000000003,0.08748480843660728,0.10648480843660728,0.0,0.009249541577340814,0.00596244977088467,0.004624770788670407,0.002981224885442335,0.007600000000000002,0.01222477078867041,0.010581224885442338,0.8643477129742907,0.8643477129742907,0.7225917197891667,0.7225917197891667
20260729T173124Z_a7010e04,nominal_forward,3,B,0.006476190476190475,0.0,-0.0,-0.0,0.006476190476190475,0.016190476190476186,0.05569981755867359,0.07189029374914978,0.0,0.009249541577340814,0.00596244977088467,0.004624770788670407,0.002981224885442335,0.006476190476190475,0.011100961264860883,0.00945741536163281,0.8643477129742907,0.8643477129742907,0.7225917197891667,0.7225917197891667
20260729T173124Z_a7010e04,nominal_forward,4,A,0.007759999999999995,0.0,-0.0,-0.0,0.007759999999999995,0.019399999999999987,0.10648480843660728,0.12588480843660727,0.0,0.009338298071379425,0.006754619093590319,0.0046691490356897125,0.0033773095467951597,0.007759999999999995,0.012429149035689709,0.011137309546795156,0.8780763930107237,0.8780763930107237,0.7330113958620673,0.7330113958620673
20260729T173124Z_a7010e04,nominal_forward,4,B,0.006628571428571428,0.0,-0.0,-0.0,0.006628571428571428,0.01657142857142857,0.07189029374914978,0.08846172232057835,0.0,0.009338298071379425,0.006754619093590319,0.0046691490356897125,0.0033773095467951597,0.006628571428571428,0.01129772046426114,0.010005880975366588,0.8780763930107237,0.8780763930107237,0.7330113958620673,0.7330113958620673
20260729T173124Z_a7010e04,nominal_forward,5,A,0.007919999999999995,0.0,-0.0,-0.0,0.007919999999999995,0.019799999999999984,0.12588480843660727,0.14568480843660725,0.0,0.009260331165394153,0.006872186104010192,0.004630165582697077,0.003436093052005096,0.007919999999999995,0.012550165582697071,0.01135609305200509,0.8917957026895657,0.8917957026895657,0.7436015899156558,0.7436015899156558
20260729T173124Z_a7010e04,nominal_forward,5,B,0.006780952380952382,0.0,-0.0,-0.0,0.006780952380952382,0.016952380952380955,0.08846172232057835,0.1054141032729593,0.0,0.009260331165394153,0.006872186104010192,0.004630165582697077,0.003436093052005096,0.006780952380952382,0.011411117963649459,0.010217045432957478,0.8917957026895657,0.8917957026895657,0.7436015899156558,0.7436015899156558
