metric,baseline_mean,baseline_std,rawlsian_mean,rawlsian_std,difference_rawlsian_minus_baseline
total_reward,10.093748300862167,3.862228058444676,9.233748300862167,4.017492563681486,-0.8599999999999994
mean_reward,0.8664321187665689,0.03179703266849265,0.774632118766569,0.0885289077271255,-0.09179999999999988
mean_min_experience,0.45815489767831835,0.0943818903103359,0.45815489767831835,0.0943818903103359,0.0
final_min_experience,-0.04690206384718338,0.5712321853432385,-0.04690206384718338,0.5712321853432385,0.0
mean_vehicle_experience,0.6477223316494682,0.015076594987395874,0.6477223316494682,0.015076594987395874,0.0
mean_gini_experience,0.08652321500427516,0.03731468659513142,0.08652321500427516,0.03731468659513142,0.0
final_gini_experience,0.1958358877574299,0.15724366458860214,0.1958358877574299,0.15724366458860214,0.0
total_collision_count,0.88,1.002853072844814,0.88,1.002853072844814,0.0
final_collision_count,0.88,1.002853072844814,0.88,1.002853072844814,0.0
mean_n_vehicles,5.0,0.0,5.0,0.0,0.0
steps,11.58,4.300403398258715,11.58,4.300403398258715,0.0
mean_original_reward,0.0,0.0,0.8664321187665689,0.03179703266849265,0.8664321187665689
mean_rawlsian_reward,0.0,0.0,-0.09180000000000002,0.0623253478096339,-0.09180000000000002
rawlsian_reward_sum,0.0,0.0,-0.86,0.603729903117584,-0.86
