seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,recv_opp_worse,recv_yield_worse,priority_pairs,priority_to_worse_off,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,worst_off_samples,recovery_n_k10,recovery_sum_k10,gapclosure_sum_k10,recovery_n_k25,recovery_sum_k25,gapclosure_sum_k25,recovery_n_k50,recovery_sum_k50,gapclosure_sum_k50
900101,mean,original,mainline-fast,0.0,35897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35897.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,mean,original,mainline-slow,0.0,35575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35575.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,mean,original,ramp-fast,0.0,35891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35891.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,mean,original,ramp-slow,0.0,36135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36135.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,mean,wsc,ALL,6807.0,123163.0,443.0,0,6807.0,443.0,0,0,6807.0,123163.0,348.0,804.0,3780.0,3732.0,-0.06377410992949106,3.565112189196455,2568.0,2.059136937960255,8.60339137111827,563.0,-0.5058240501770204,3.574857480183024
900101,mean,wsc,mainline-fast,1749.0,30607.0,122.0,0.0,3588.0,287.0,0.0,0.0,1749.0,30607.0,126.0,303.0,2065.0,2030.0,-0.22873967812659535,1.3526160770431213,1534.0,1.8390291869822888,6.3120610025871295,330.0,0.07429394580487703,2.576839804816723
900101,mean,wsc,mainline-slow,1460.0,30836.0,35.0,0.0,0.0,0.0,0.0,0.0,1460.0,30836.0,4.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,mean,wsc,ramp-fast,2137.0,30254.0,236.0,0.0,3219.0,156.0,0.0,0.0,2137.0,30254.0,213.0,199.0,1715.0,1702.0,0.16496556819710428,2.2124961121533335,1034.0,0.22010775097796587,2.291330368531141,233.0,-0.5801179959818974,0.998017675366301
900101,mean,wsc,ramp-slow,1461.0,31466.0,50.0,0.0,0.0,0.0,0.0,0.0,1461.0,31466.0,5.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,ggi,original,ALL,20331.0,106446.0,614.0,0,20331.0,614.0,120.0,0,20331.0,106446.0,457.0,1084.0,5260.0,5250.0,31.075749009727563,25.890139438136224,3713.0,51.050782293991524,42.058456869676384,459.0,14.288053292913123,13.188250666397229
