master_seed,validation_block_id,assignment,controller,success,maintain_frac,accelerate_frac,decelerate_frac,action_switch_rate
61003,validation_003,1,A,False,0.9775,0.0225,0.0,0.005012531328320802
61003,validation_003,1,B,False,0.1075,0.4075,0.485,0.8045112781954887
61003,validation_004,0,A,True,0.6576576576576577,0.11711711711711711,0.22522522522522523,0.08181818181818182
61003,validation_004,0,B,True,0.27927927927927926,0.27927927927927926,0.44144144144144143,0.17272727272727273
61003,validation_004,1,A,True,0.9725085910652921,0.027491408934707903,0.0,0.006896551724137931
61003,validation_004,1,B,True,0.22336769759450173,0.38144329896907214,0.3951890034364261,0.6241379310344828
61003,validation_005,0,A,True,0.7951807228915663,0.07228915662650602,0.13253012048192772,0.036585365853658534
61003,validation_005,0,B,True,0.42168674698795183,0.30120481927710846,0.27710843373493976,0.0975609756097561
61003,validation_005,1,A,False,0.915,0.0,0.085,0.05012531328320802
61003,validation_005,1,B,False,0.41,0.0,0.59,0.015037593984962405
61003,validation_006,0,A,True,0.8021978021978022,0.054945054945054944,0.14285714285714285,0.03333333333333333
61003,validation_006,0,B,True,0.5274725274725275,0.27472527472527475,0.1978021978021978,0.1111111111111111
61003,validation_006,1,A,False,0.9275,0.0,0.0725,0.02506265664160401
61003,validation_006,1,B,False,0.9,0.0,0.1,0.002506265664160401
61003,validation_007,0,A,True,0.7428571428571429,0.02857142857142857,0.22857142857142856,0.07246376811594203
61003,validation_007,0,B,True,0.38571428571428573,0.35714285714285715,0.2571428571428571,0.21739130434782608
61003,validation_007,1,A,True,0.9725274725274725,0.027472527472527472,0.0,0.005509641873278237
61003,validation_007,1,B,True,0.17032967032967034,0.4010989010989011,0.42857142857142855,0.7134986225895317
61003,validation_008,0,A,True,0.7788461538461539,0.057692307692307696,0.16346153846153846,0.02912621359223301
61003,validation_008,0,B,True,0.5576923076923077,0.23076923076923078,0.21153846153846154,0.05825242718446602
61003,validation_008,1,A,False,0.9275,0.0,0.0725,0.020050125313283207
61003,validation_008,1,B,False,0.9025,0.0,0.0975,0.002506265664160401
61004,validation_001,0,A,False,0.8,0.1325,0.0675,0.040100250626566414
61004,validation_001,0,B,False,0.77,0.0875,0.1425,0.08270676691729323
61004,validation_001,1,A,True,0.515625,0.3125,0.171875,0.1746031746031746
61004,validation_001,1,B,True,0.46875,0.421875,0.109375,0.1111111111111111
