policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap,minimum_TTC
0,0.0,A,mainline,True,False,28.0,20.0,1,accelerate,0.0,2.0000000000000284,20.0,20.0,1,0,accelerate-maintain,0.8794084191322327,0.8812500834465027,0.8172276616096497,1,0.8812500834465027,0.8794084191322327,0.0018416643142700195,0.06402242183685303,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
0,0.0,B,ramp,True,False,20.0,20.0,0,maintain,0.0,0.0,28.0,20.0,1,0,accelerate-maintain,0.570175290107727,0.5681263208389282,0.5464709997177124,0,0.570175290107727,0.5681263208389282,0.002048969268798828,0.02370429039001465,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
0,0.0,B_front,background_mainline,True,,120.0,20.0,,,,,,,,,,,,,,,,,,,,,,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
0,0.0,B_rear,background_mainline,True,,3.947431380829863,19.510886076666747,,,,,,,,,,,,,,,,,,,,,,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
1,0.2,A,mainline,True,False,32.04,20.400000000000006,1,accelerate,2.0,2.0000000000000284,24.0,20.0,1,0,accelerate-maintain,0.9229491949081421,0.9233611226081848,0.8577964901924133,1,0.9233611226081848,0.9229491949081421,0.0004119277000427246,0.06556463241577148,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
1,0.2,B,ramp,True,False,24.0,20.0,0,maintain,0.0,0.0,32.04,20.400000000000006,1,0,accelerate-maintain,0.5578229427337646,0.5557136535644531,0.5326812267303467,0,0.5578229427337646,0.5557136535644531,0.0021092891693115234,0.02514171600341797,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
1,0.2,B_front,background_mainline,True,,124.0,20.0,,,,,,,,,,,,,,,,,,,,,,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
1,0.2,B_rear,background_mainline,True,,7.817030369943869,19.207819996757216,,,,,,,,,,,,,,,,,,,,,,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
2,0.4,A,mainline,True,False,36.160000000000004,20.80000000000001,0,maintain,2.0,0.0,28.0,20.0,0,0,maintain-maintain,0.9529984593391418,0.9523559212684631,0.8857895731925964,0,0.9529984593391418,0.9523559212684631,0.0006425380706787109,0.06720888614654541,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
2,0.4,B,ramp,True,False,28.0,20.0,0,maintain,0.0,0.0,36.160000000000004,20.80000000000001,0,0,maintain-maintain,0.5435228943824768,0.5410864353179932,0.5173742771148682,0,0.5435228943824768,0.5410864353179932,0.0024364590644836426,0.026148617267608643,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
2,0.4,B_front,background_mainline,True,,128.0,20.0,,,,,,,,,,,,,,,,,,,,,,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
2,0.4,B_rear,background_mainline,True,,11.637604431608558,19.005722908407726,,,,,,,,,,,,,,,,,,,,,,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
3,0.6000000000000001,A,mainline,True,False,40.32,20.80000000000001,0,maintain,0.0,0.0,32.0,20.0,0,0,maintain-maintain,0.9489772915840149,0.9482753872871399,0.8815760016441345,0,0.9489772915840149,0.9482753872871399,0.000701904296875,0.06740128993988037,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
3,0.6000000000000001,B,ramp,True,False,32.0,20.0,0,maintain,0.0,0.0,40.32,20.80000000000001,0,0,maintain-maintain,0.539645254611969,0.5373884439468384,0.5124034285545349,0,0.539645254611969,0.5373884439468384,0.0022568106651306152,0.027241826057434082,"[true, true, true]",False,False,False,67002,350000,2c358f1ee1cb7ba4fdddae4c858a9dbb5e0d5f4252a0be7160bed88363593f56,validation_001,0,0,2072986561,0,,
