episode,total_reward,mean_reward,mean_original_reward,mean_rawlsian_reward,rawlsian_reward_sum,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,steps,terminated,truncated
25,3.779259259259259,0.7558518518518518,0.8358518518518517,-0.08,-0.4,0.45119029726015103,-0.4090721615270225,0.6763227138551299,0.1256733006328003,0.3377344444363495,2,2,5.0,5,True,False
26,3.3178754337039686,0.6635750867407937,0.8235750867407937,-0.16,-0.8,0.32055398459209405,-0.7756610182094092,0.6270503583974296,0.1474051926933381,0.36604025619017144,2,2,5.0,5,True,False
27,8.731060096448843,0.7275883413707369,0.8109216747040701,-0.08333333333333333,-1.0,0.4733764331627701,-0.7844983403867856,0.632839822155094,0.07227782593022004,0.3820486329840973,2,2,5.0,12,True,False
28,10.953316730253464,0.7302211153502309,0.8235544486835641,-0.09333333333333332,-1.4,0.430933803666659,0.3100234733457965,0.6498336705221665,0.09368243475675646,0.1027091615380511,0,0,5.0,15,True,False
29,4.615769019779655,0.7692948366299425,0.835961503296609,-0.06666666666666667,-0.4,0.42700907573130437,-0.742623960126862,0.6553829570818325,0.1249724902514574,0.38114190170253814,2,2,5.0,6,True,False
30,8.673085545787755,0.7227571288156462,0.822757128815646,-0.09999999999999999,-1.2,0.4778431235704656,-0.6824079496790105,0.6232365248908501,0.06920607087791937,0.3916429955285976,2,2,5.0,12,True,False
31,4.690646069985398,0.7817743449975664,0.8484410116642329,-0.06666666666666667,-0.4,0.4483506623817795,-0.611838323443666,0.6637564305496378,0.12455288020823689,0.37571540725653296,2,2,5.0,6,True,False
32,4.5456532114817465,0.7576088685802911,0.8576088685802912,-0.10000000000000002,-0.6000000000000001,0.4359318699733297,-0.7045779891717883,0.6628172100513259,0.12344344582680152,0.37613344956632133,2,2,5.0,6,True,False
33,6.209856068027476,0.7762320085034345,0.8512320085034346,-0.07500000000000001,-0.6000000000000001,0.47764210598897267,-0.6868677481589729,0.6641931162984596,0.11245404571840609,0.40819753490201127,2,2,5.0,8,True,False
34,5.3201098976177015,0.7600156996596716,0.8171585568025289,-0.057142857142857155,-0.4000000000000001,0.3838131878251752,-0.759616696508234,0.6160811013667332,0.10772468551701476,0.4007076252379005,2,2,5.0,7,True,False
35,3.998382679701452,0.7996765359402904,0.8796765359402905,-0.08,-0.4,0.46721584029283025,-0.32318935710452734,0.6766948181442631,0.12939866969640312,0.355857016520998,2,2,5.0,5,True,False
36,10.933200279526089,0.7288800186350726,0.7955466853017396,-0.06666666666666667,-1.0,0.4549337478709083,-0.728098789756783,0.636019906218572,0.08469483092523587,0.4001318057666372,2,2,5.0,15,True,False
37,3.8195727748268298,0.763914554965366,0.8439145549653659,-0.08,-0.4,0.4060175321413303,-0.6341265476969555,0.6512837291356806,0.1329425579987157,0.37842177414258704,2,2,5.0,5,True,False
38,2.6903703703703705,0.6725925925925926,0.8225925925925925,-0.15000000000000002,-0.6000000000000001,0.29245631616222134,-0.6046650236588962,0.6360866558867053,0.14814563215007026,0.3132318540564729,2,2,5.0,4,True,False
39,3.9953958420341613,0.6658993070056936,0.7658993070056935,-0.10000000000000002,-0.6000000000000001,0.349006723954878,-0.7040904570234896,0.6125224698941006,0.12033418254497967,0.38424905288871924,2,2,5.0,6,True,False
40,7.299844821531121,0.6636222565028291,0.8090768019573747,-0.14545454545454545,-1.5999999999999999,0.4431853556866653,-0.7766777257856219,0.6374721338954424,0.08686627275142376,0.3624615099941666,2,2,5.0,11,True,False
41,5.366388738109638,0.7666269625870912,0.8523412483013769,-0.08571428571428573,-0.6000000000000001,0.46734014687969433,-0.6394130359060566,0.6523382588675253,0.107236757264119,0.38547627984053734,2,2,5.0,7,True,False
42,3.3800860543927884,0.6760172108785577,0.8360172108785578,-0.16,-0.8,0.3060410452192226,-0.8021036682507255,0.625234145831099,0.1494818762826275,0.3703771502254718,2,2,5.0,5,True,False
43,5.191907673467612,0.7417010962096589,0.8559868104953733,-0.1142857142857143,-0.8,0.49879625443868153,-0.4919108903080296,0.6855520477171273,0.11423233362386728,0.3566761029492205,2,2,5.0,7,True,False
44,6.428796594222368,0.803599574277796,0.8535995742777961,-0.05,-0.4,0.47970239188542335,-0.6406398213599248,0.664519804933875,0.10953706209969571,0.38295687553235,2,2,5.0,8,True,False
45,2.6555555555555554,0.6638888888888889,0.8138888888888889,-0.15000000000000002,-0.6000000000000001,0.3291064752368816,-0.5134172244538331,0.6424393820942901,0.1441812230657229,0.31219532272706907,2,2,5.0,4,True,False
46,5.061191716579444,0.7230273880827777,0.8373131023684921,-0.1142857142857143,-0.8,0.5194547679852952,-0.33018685708341033,0.6770822592191837,0.103342998267657,0.3700038757769426,2,2,5.0,7,True,False
47,2.720167204321904,0.680041801080476,0.830041801080476,-0.15000000000000002,-0.6000000000000001,0.3313759251203805,-0.5514882142466145,0.6398741476796266,0.1506611947214973,0.3491991308182212,2,2,5.0,4,True,False
48,5.930920496331655,0.6589911662590728,0.7923244995924061,-0.13333333333333333,-1.2,0.48276365481157124,-0.6158675167554268,0.6466179979592014,0.09843743294664928,0.43122766375801946,2,2,5.0,9,True,False
49,3.7166666666666663,0.7433333333333333,0.8233333333333335,-0.08,-0.4,0.45901117200281016,-0.36677661558001917,0.6841935823295704,0.12437220457410744,0.3313403413267386,2,2,5.0,5,True,False
50,5.691818513611944,0.813116930515992,0.8416883590874206,-0.028571428571428574,-0.2,0.4858753629424396,-0.49163492206752757,0.6600049786873369,0.09765864091927957,0.355100980756782,2,2,5.0,7,True,False
51,10.172374630638975,0.726598187902784,0.8123124736170697,-0.08571428571428572,-1.2,0.4421465305810771,-0.7263461878285861,0.6190693390051267,0.0767454901140905,0.3860870569177066,2,2,5.0,14,True,False
52,2.5249707544581614,0.6312426886145404,0.7812426886145404,-0.15000000000000002,-0.6000000000000001,0.31606217157829863,-0.606517890782121,0.6344438803523055,0.14878246412482288,0.3411802447788108,2,2,5.0,4,True,False
53,6.968974765665712,0.7743305295184125,0.8409971961850791,-0.06666666666666668,-0.6000000000000001,0.4765708933089601,-0.7457769542735062,0.6615110838059023,0.1120345490881559,0.3988773722031411,2,2,5.0,9,True,False
54,5.561185039722757,0.7944550056746795,0.8515978628175367,-0.057142857142857155,-0.4000000000000001,0.44587556793638755,-0.3308315748140731,0.6742789372116843,0.13033256659475362,0.3289367180207097,2,2,5.0,7,True,False
55,6.2191230296866244,0.6910136699651805,0.8243470032985138,-0.13333333333333333,-1.2,0.47041956792706646,-0.8050795101809789,0.6451383108444518,0.09086155302626366,0.3886273825435518,2,2,5.0,9,True,False
56,11.722618526506102,0.7815079017670734,0.874841235100407,-0.09333333333333332,-1.4,0.5878818978600662,0.5375801931672842,0.6758309451576375,0.04608894382346171,0.0710524950133471,0,0,5.0,15,True,False
57,3.447133860614945,0.689426772122989,0.8494267721229889,-0.16,-0.8,0.3111562386141731,-0.7212152959980636,0.6290568418819591,0.1422720784990553,0.3489612407356102,2,2,5.0,5,True,False
58,2.780338850723562,0.6950847126808904,0.8450847126808905,-0.15000000000000002,-0.6000000000000001,0.3420821373262789,-0.5092724453393719,0.648145265858265,0.1484832419056203,0.3370168625519243,2,2,5.0,4,True,False
59,6.108285201199988,0.7635356501499985,0.8385356501499985,-0.07500000000000001,-0.6000000000000001,0.49937692059658334,-0.5266020879120326,0.673246236155671,0.1054608618307463,0.36357980663544387,2,2,5.0,8,True,False
60,7.019288418211632,0.877411052276454,0.902411052276454,-0.02500000000000001,-0.20000000000000007,0.4280639920819426,-0.5983249942401678,0.6586150818713962,0.12870305967200776,0.36006280468268237,2,2,5.0,8,True,False
61,6.329902096009826,0.7912377620012282,0.8662377620012282,-0.07500000000000001,-0.6000000000000001,0.47207006836218934,-0.7450432671299125,0.6518094122495485,0.10770819736804207,0.4024910910086721,2,2,5.0,8,True,False
62,3.3390535439231517,0.6678107087846303,0.8278107087846303,-0.16,-0.8,0.33035013262006163,-0.7308949547420158,0.6180653529587529,0.13760995415095917,0.3789465113686794,2,2,5.0,5,True,False
63,11.299625711456136,0.8071161222468668,0.878544693675438,-0.07142857142857142,-1.0,0.5030863673836522,-0.7096535616757409,0.6522573148259333,0.08247897062917067,0.3977069360580634,2,2,5.0,14,True,False
64,2.7944444444444443,0.6986111111111111,0.8486111111111111,-0.15000000000000002,-0.6000000000000001,0.30922932042331985,-0.5746823169554298,0.6441392839460428,0.14472410675461006,0.306582176182953,2,2,5.0,4,True,False
65,5.813591176096809,0.7266988970121011,0.8516988970121011,-0.125,-1.0,0.49966408533734535,-0.525386441464017,0.6650555364535418,0.09509702392743749,0.3728472897131423,2,2,5.0,8,True,False
66,5.580636032874159,0.6975795041092698,0.8475795041092697,-0.15,-1.2,0.506572610644154,-0.4930030060876708,0.6767072320209233,0.10593426420134622,0.3634344017906175,2,2,5.0,8,True,False
67,4.630199983075574,0.7716999971792623,0.8050333305125955,-0.03333333333333333,-0.2,0.3815873867406279,-0.7503647993337096,0.6224727461740187,0.12242701681320634,0.3746721657476064,2,2,5.0,6,True,False
68,3.2044390070397593,0.6408878014079519,0.8008878014079519,-0.16,-0.8,0.33511845165162013,-0.6549993551039308,0.6197295296562294,0.1392334218316469,0.375451271213209,2,2,5.0,5,True,False
69,2.5666666666666664,0.6416666666666666,0.7916666666666666,-0.15000000000000002,-0.6000000000000001,0.31716290984872514,-0.5329691273424648,0.6511983420175544,0.1434509998518237,0.2988585618769872,2,2,5.0,4,True,False
70,2.5370097411979877,0.6342524352994969,0.784252435299497,-0.15000000000000002,-0.6000000000000001,0.3209134224202968,-0.5994007620633492,0.6243366294803472,0.1512369568606481,0.3534353674377484,2,2,5.0,4,True,False
71,12.69512304928579,0.9067945035204136,0.8925087892346992,0.014285714285714287,0.2,0.5810601856891461,0.5953266920690865,0.6806257464489498,0.054419493485432166,0.01768168870570408,0,0,5.0,14,True,False
72,6.602644376324451,0.7336271529249391,0.8669604862582724,-0.13333333333333333,-1.2,0.4840986364033248,-0.6454900735205502,0.6509182486904819,0.0865247017288971,0.3726889922637011,2,2,5.0,9,True,False
73,2.655555555555556,0.663888888888889,0.8138888888888888,-0.15000000000000002,-0.6000000000000001,0.31358090844245023,-0.5265888829398366,0.6395280390888826,0.14662895926838332,0.3110264740321116,2,2,5.0,4,True,False
74,7.0500309581308604,0.8812538697663576,0.9062538697663575,-0.02500000000000001,-0.20000000000000007,0.4301977622508509,-0.5358068154785177,0.6565056155864247,0.13147817976908147,0.36865031281115956,2,2,5.0,8,True,False
75,7.2155204801168065,0.7215520480116806,0.8615520480116807,-0.13999999999999999,-1.4,0.4975832166512846,-0.5676152776175778,0.6481261124569639,0.07169985085826716,0.3484172597932298,2,2,5.0,10,True,False
76,3.8039382352570077,0.7607876470514016,0.8407876470514015,-0.08,-0.4,0.46807774898155197,-0.32273096698685644,0.6801289885759819,0.12987974643061756,0.35582150930419054,2,2,5.0,5,True,False
77,4.384700318635734,0.7307833864392891,0.8307833864392892,-0.10000000000000002,-0.6000000000000001,0.4473766950355529,-0.6370568043617004,0.6616196187145589,0.11722743364955857,0.36810687404985676,2,2,5.0,6,True,False
78,5.030399529322743,0.7186285041889633,0.8329142184746777,-0.1142857142857143,-0.8,0.4890405448545011,-0.5573223866294029,0.6743059482545629,0.112135841525935,0.36923690543172794,2,2,5.0,7,True,False
79,4.664676867504674,0.7774461445841124,0.8774461445841123,-0.10000000000000002,-0.6000000000000001,0.47599660492902557,-0.45267543338093374,0.6737691482989884,0.11661742806159814,0.3662457211572885,2,2,5.0,6,True,False
80,2.7821234567901234,0.6955308641975309,0.8455308641975309,-0.15000000000000002,-0.6000000000000001,0.3090726863102552,-0.5974256373969086,0.6378511589640394,0.14718229957536322,0.32431425551058424,2,2,5.0,4,True,False
81,5.184542100370636,0.7406488714815194,0.8263631571958052,-0.08571428571428573,-0.6000000000000001,0.4659958490318346,-0.7070192454187686,0.6661553765212119,0.11832078485540347,0.38035376683879907,2,2,5.0,7,True,False
82,6.511969855606819,0.8139962319508524,0.8389962319508524,-0.025,-0.2,0.46449807292644296,-0.7076399184791693,0.6652765411319622,0.12117536816644145,0.3898133999561364,2,2,5.0,8,True,False
83,3.8921849714800336,0.7784369942960068,0.8584369942960068,-0.08,-0.4,0.427098493546395,-0.5193724169349745,0.661520426450656,0.13292511897218523,0.37174059537475235,2,2,5.0,5,True,False
84,12.150678839895278,0.8679056314210912,0.8964770599925196,-0.028571428571428577,-0.4000000000000001,0.5883561312658477,0.5725192855717479,0.6840980230190347,0.056261699622707585,0.02582193008197442,0,0,5.0,14,True,False
85,14.206234445604402,0.8878896528502751,0.8503896528502751,0.0375,0.6,0.555539136525221,0.5799021074205873,0.6558560360578717,0.043473933296561074,0.027997562625001526,0,0,5.0,16,True,False
86,6.105259159823764,0.6783621288693071,0.7672510177581962,-0.08888888888888889,-0.8,0.40659466329736493,-0.6917694392966005,0.592858515993633,0.1010397844591716,0.4143125808603998,2,2,5.0,9,True,False
87,5.670417003142967,0.8100595718775667,0.8672024290204238,-0.05714285714285715,-0.4,0.48358413154574315,-0.5570390989653018,0.6791301120357364,0.11661686483002424,0.3653446644292666,2,2,5.0,7,True,False
88,7.27577449821983,0.727577449821983,0.867577449821983,-0.13999999999999999,-1.4,0.4515122326449113,-0.7808786368116272,0.6388016186504556,0.0872647110687935,0.35382351352184416,2,2,5.0,10,True,False
89,4.381520916655339,0.7302534861092232,0.8302534861092231,-0.10000000000000002,-0.6000000000000001,0.44185007794285486,-0.6376639168521496,0.6521185163669702,0.11532452403811115,0.378158317543106,2,2,5.0,6,True,False
90,4.355653536229233,0.7259422560382055,0.8259422560382056,-0.10000000000000002,-0.6000000000000001,0.4572688348264826,-0.583698418644925,0.6747322321969348,0.1209160823298611,0.36100155691650637,2,2,5.0,6,True,False
91,3.2364355939433898,0.647287118788678,0.8072871187886779,-0.16,-0.8,0.3459800786133382,-0.5879295534950916,0.6244767113137882,0.13977552314148295,0.36914490503166286,2,2,5.0,5,True,False
92,3.376023321143121,0.6752046642286242,0.8352046642286242,-0.16,-0.8,0.3197876033444341,-0.6901485455439544,0.625238561359857,0.1366760955749148,0.35182787566992757,2,2,5.0,5,True,False
93,4.766672798918459,0.7944454664864099,0.8944454664864098,-0.10000000000000002,-0.6000000000000001,0.48791832576687955,-0.3725895483393974,0.6827223735861018,0.11115377841519065,0.33044725631603344,2,2,5.0,6,True,False
94,6.265623994749505,0.696180443861056,0.8295137771943895,-0.13333333333333333,-1.2,0.4699624896234518,-0.7587575930581382,0.6384359094418195,0.08950002800562877,0.3703553744932424,2,2,5.0,9,True,False
95,5.014521122988909,0.8357535204981515,0.8690868538314849,-0.03333333333333333,-0.2,0.43133651372820814,-0.7241878957918001,0.6576985997625242,0.12484500024282608,0.38172890625725664,2,2,5.0,6,True,False
96,3.3005014567463156,0.6601002913492631,0.8201002913492632,-0.16,-0.8,0.3103451760313787,-0.7698398670268904,0.6294062241109712,0.1486420946199934,0.36071655142277637,2,2,5.0,5,True,False
97,6.872723678968539,0.8590904598710674,0.8840904598710673,-0.02500000000000001,-0.20000000000000007,0.411627628405575,-0.7208122019344472,0.6572029078072492,0.13294289649898045,0.37083947674515105,2,2,5.0,8,True,False
98,9.418452862076386,0.7244963740058759,0.7860348355443373,-0.06153846153846154,-0.8,0.38889614927798194,-0.5886393783937693,0.6193827300522592,0.12579930012775245,0.42369936003723985,2,2,5.0,13,True,False
99,12.339567778654235,0.8226378519102824,0.8626378519102823,-0.04000000000000001,-0.6000000000000001,0.5689198122183164,0.5683339888876336,0.6751586339456438,0.04952208115542332,0.02495647733389572,0,0,5.0,15,True,False
