seed,condition,C_mean_success,C_max_success,burden_range_success,burden_gini_success
900101,mean,0.0,0.0,0.0,
900102,mean,0.12922128200263552,0.2500421902667201,0.2290510113341012,0.5538399056540434
900103,mean,0.0011042400489856459,0.0044169601959425835,0.0044169601959425835,0.75
900104,mean,0.0,0.0,0.0,
910101,mean,0.0004294768121889793,0.0017179072487559172,0.0017179072487559172,0.75
910102,mean,0.0,0.0,0.0,
920101,mean,0.0,0.0,0.0,
920102,mean,0.0021884377851851163,0.008725079030036774,0.008725079030036774,0.7481129079612842
920103,mean,0.0,0.0,0.0,
920104,mean,0.0035163430670995107,0.014065372268398043,0.014065372268398043,0.75
920105,mean,0.004049702634970037,0.011725091179615824,0.011725091179615824,0.7257640090099512
920106,mean,0.0172646598139998,0.03904828214521261,0.03904828214521261,0.5455561944461206
900101,ggi,0.0558855369109142,0.11483056962777459,0.10659430079761921,0.4342998531692489
900102,ggi,0.0030901462663581163,0.012360585065432465,0.012360585065432465,0.75
900103,ggi,0.006412874721708669,0.025649708572936965,0.025649708572936965,0.7499412037689106
900104,ggi,3.1633602865924344e-05,0.00012653441146369737,0.00012653441146369737,0.75
910101,ggi,0.006336171595280924,0.02508527052717972,0.02508527052717972,0.7489483393035574
910102,ggi,0.00471669570070729,0.01843195191088756,0.01843195191088756,0.7382159163947113
920101,ggi,0.01370608666108551,0.040844595347703856,0.040844595347703856,0.735734896273744
920102,ggi,0.0037543581154207734,0.014599277763906005,0.014599277763906005,0.7430325241073125
920103,ggi,0.0,0.0,0.0,
920104,ggi,0.004424090333053801,0.00992740125721291,0.00992740125721291,0.5261381888885451
920105,ggi,0.00034999897982903694,0.0013999959193161477,0.0013999959193161477,0.75
920106,ggi,0.0,0.0,0.0,
900101,maximin,0.0024217628734510568,0.008139945485584213,0.008139945485584213,0.7014315939485295
900102,maximin,0.037470721506852156,0.11428606099255605,0.11413977092194774,0.6319715127239148
900103,maximin,0.1381119161389048,0.3779935052322152,0.37717193707556207,0.6129595507967264
900104,maximin,0.07591198438435515,0.3035139896181175,0.3035139896181175,0.7497792555244323
910101,maximin,0.0013691170221197244,0.004236365900541157,0.004236365900541157,0.7253151390446951
910102,maximin,0.7223932669426429,2.4901154646001435,2.4901154646001435,0.6551724474951467
920101,maximin,0.015876975735209835,0.043320772104450726,0.043320772104450726,0.6301972475764576
920102,maximin,0.0005329636719638409,0.0021318546878553637,0.0021318546878553637,0.75
920103,maximin,0.005471987397837099,0.019759366642744254,0.019759366642744254,0.7359171793051044
920104,maximin,0.008637540202803043,0.030145548512493514,0.030145548512493514,0.7316133094863286
920105,maximin,0.11652265421983363,0.2978512159658554,0.294452722672584,0.6200561558116572
920106,maximin,3.491675795850529e-07,1.3966703183402116e-06,1.3966703183402116e-06,0.75
