episode,total_reward,mean_reward,mean_original_reward,mean_rawlsian_reward,rawlsian_reward_sum,rawlsian_scope,ego_neighbourhood_radius,experience_mode,mean_scoped_vehicle_count,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,mean_mobility_score,mean_risk_penalty,mean_low_speed_penalty,mean_collision_penalty,reason_collision_steps,reason_low_mobility_steps,reason_low_speed_steps,reason_risk_steps,reason_none_steps,reason_combined_steps,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,steps,terminated,truncated
10,2.9576412183387344,0.5915282436677469,0.791528243667747,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.6,-0.12596793932597086,-2.078049020290709,0.251589739283678,0.18547506565727062,0.4564321273073013,2,2,5.0,0.7118677959076963,0.5205561132480365,0.0,0.1,1,3,0,1,0,0,0,5,0.0,17.575758637902332,1,5,True,False
11,11.670242477800127,0.7780161651866752,0.7913494985200085,-0.01333333333333333,-0.19999999999999996,ego_neighbourhood,50.0,safety_mobility,3.533333333333333,0.21148723351451265,0.21750181325751483,0.4272790575825374,0.15306481645594955,0.19105110123402191,0,0,5.0,0.6723677673410869,0.4801774195170993,0.016666666666666666,0.0,0,12,0,3,0,0,1,14,0.06666666666666667,15.210066259403739,0,15,True,False
12,7.585937496410306,0.7585937496410307,0.8385937496410307,-0.08,-0.8,ego_neighbourhood,50.0,safety_mobility,3.7,0.029909719244585898,-2.1778639148495884,0.2865956327398903,0.20123161016399144,0.4875573053932789,2,2,5.0,0.6941654031496792,0.6151395408195779,0.0,0.05,1,5,0,4,0,0,0,10,0.0,17.775294251478247,1,10,True,False
13,5.893196775015839,0.7366495968769798,0.8366495968769797,-0.1,-0.8,ego_neighbourhood,50.0,safety_mobility,3.875,-0.04980143340112225,-2.2013563981749114,0.27217058253028176,0.2493587245650324,0.5036620406694603,2,2,5.0,0.7164875096752371,0.6386338542899108,0.0,0.0625,1,4,0,3,0,0,0,8,0.0,17.252289740552985,1,8,True,False
14,11.33468627789646,0.8096204484211756,0.8381918769926043,-0.028571428571428577,-0.4000000000000001,ego_neighbourhood,50.0,safety_mobility,3.5,0.12407987224233587,-2.0916768325918733,0.3427330241965481,0.20520903324485662,0.482699031991916,2,2,5.0,0.6820772976053074,0.5358314039603757,0.0,0.03571428571428571,1,10,0,3,0,0,2,12,0.14285714285714285,17.366832948666723,1,14,True,False
15,5.104345679012345,0.7291922398589065,0.8720493827160495,-0.14285714285714285,-1.0,ego_neighbourhood,50.0,safety_mobility,3.857142857142857,0.048024840766881835,-1.9055274242869198,0.2987430112131642,0.1853239191608361,0.46526713432066735,2,2,5.0,0.7696196559936909,0.6560390038467677,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,20.816129713687587,1,7,True,False
16,3.7115628010965067,0.6185938001827511,0.8185938001827511,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,3.6666666666666665,-0.012270441937731821,-2.1543259315791583,0.2685728648719899,0.17892571417953526,0.4887019026353694,2,2,5.0,0.7434654902251587,0.6164519173730043,0.0,0.08333333333333333,1,2,0,3,0,0,0,6,0.0,19.559634696513665,1,6,True,False
17,9.141882493252185,0.6529916066608703,0.7672773209465849,-0.11428571428571428,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,3.642857142857143,0.12258311335599023,0.2085876212280955,0.34008745814380187,0.23039619886072238,0.14262660500776514,0,0,5.0,0.6745202592531171,0.6688656022186302,0.0,0.0,0,10,0,4,0,0,0,14,0.0,15.066735799930203,0,14,True,False
18,4.084846030396066,0.6808076717326776,0.814141005066011,-0.13333333333333333,-0.8,ego_neighbourhood,50.0,safety_mobility,4.166666666666667,-0.18649579307849132,-2.2474325415776644,0.26415219489432545,0.2383943784619064,0.39374855318865953,2,2,5.0,0.6931296586262784,0.5912882607972395,0.0,0.06666666666666667,1,3,0,2,0,0,0,6,0.0,16.076006792825225,1,6,True,False
19,2.900904938620916,0.5801809877241831,0.7801809877241832,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,4.0,-0.15414753627407526,-2.1714985707772585,0.29632305728354097,0.1932292145544773,0.3899472268895414,2,2,5.0,0.7342783769019985,0.5559106392369149,0.0,0.08,1,3,0,1,0,0,0,5,0.0,16.999041077392924,1,5,True,False
20,3.0888888888888886,0.6177777777777778,0.8177777777777777,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.6,0.013168179820674909,-1.8164116141321016,0.3131922223535085,0.17510078015770145,0.4502138629098482,2,2,5.0,0.7973794418360087,0.5683744389650004,0.0,0.1,1,2,0,2,0,0,0,5,0.0,21.59245025150927,1,5,True,False
21,5.223299518080308,0.6529124397600385,0.8529124397600385,-0.19999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,3.75,0.08003087295623107,-2.0782540329523624,0.3134095754224788,0.16759237000830263,0.4745825578661298,2,2,5.0,0.7234722442743122,0.5701253377036667,0.0,0.0625,1,3,0,4,0,0,0,8,0.0,19.55900217265805,1,8,True,False
22,8.854158783478393,0.5533849239673996,0.7283849239673996,-0.17500000000000002,-2.8000000000000003,ego_neighbourhood,50.0,safety_mobility,4.25,0.09506300567393175,0.3338449367276053,0.3706000105879418,0.1771075795828682,0.10974171360160678,0,0,5.0,0.6541078382637424,0.5520156553516015,0.025,0.0,0,10,0,6,0,0,0,16,0.0,14.564337434783187,0,16,True,False
23,4.419282013134308,0.6313260018763297,0.8313260018763298,-0.19999999999999998,-1.4,ego_neighbourhood,50.0,safety_mobility,3.0,0.023474002092446242,-2.065474239983439,0.24871577172241913,0.1659854302577493,0.5950025235265985,2,2,5.0,0.6669440929561109,0.45550426151500234,0.0,0.09523809523809523,1,5,0,1,0,0,1,6,0.14285714285714285,17.13964960101342,1,7,True,False
24,2.874871565500913,0.5749743131001825,0.7749743131001825,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.6,-0.12643483239177974,-2.087257734367644,0.2465363194945144,0.2074054298100363,0.46543594927335796,2,2,5.0,0.7204208517236717,0.5477690644583146,0.0,0.1,1,3,0,1,0,0,0,5,0.0,17.16835263242353,1,5,True,False
25,10.942828744149264,0.911902395345772,0.945235728679105,-0.03333333333333334,-0.4000000000000001,ego_neighbourhood,50.0,safety_mobility,3.5,0.2855417208988662,0.4986835680106268,0.419526931771657,0.21194670948372882,0.08340520114738226,0,0,5.0,0.7355488611484776,0.6320438587536413,0.0,0.0,0,6,0,6,0,0,0,12,0.0,18.378978372407307,0,12,True,False
26,6.608133964631386,0.7342371071812651,0.8453482182923763,-0.1111111111111111,-1.0,ego_neighbourhood,50.0,safety_mobility,3.7777777777777777,-0.0028835314091832684,-2.1858305717606643,0.2829727076598226,0.22570037001454551,0.489511077168,2,2,5.0,0.717955695272319,0.6477437530027701,0.0,0.05555555555555555,1,3,0,5,0,0,0,9,0.0,17.47676891797268,1,9,True,False
27,5.888138926341701,0.6542376584824112,0.8542376584824111,-0.19999999999999998,-1.7999999999999998,ego_neighbourhood,50.0,safety_mobility,3.7777777777777777,0.07277039431823311,-1.9165669906069125,0.28558582252889153,0.18166437996057,0.45901328996326507,2,2,5.0,0.7360638367578412,0.678733806235677,0.0,0.05555555555555555,1,2,0,6,0,0,0,9,0.0,19.644085864224557,1,9,True,False
28,10.983051176093243,0.7322034117395495,0.8255367450728827,-0.09333333333333332,-1.4,ego_neighbourhood,50.0,safety_mobility,3.7333333333333334,0.16181971195980524,0.22309024161626834,0.3187859764304347,0.1882469078422152,0.06885523868987509,0,0,5.0,0.6691836452314015,0.7007953376019338,0.0,0.0,0,7,0,8,0,0,2,13,0.13333333333333333,15.3102029954627,0,15,True,False
29,5.256687828859409,0.6570859786074261,0.8570859786074261,-0.19999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,3.875,0.0646748737599373,-1.8779317431550915,0.30280546502461403,0.19968702176053565,0.46519532957640797,2,2,5.0,0.7487407101898989,0.6418704903305698,0.0,0.0625,1,2,0,5,0,0,0,8,0.0,20.155221525659698,1,8,True,False
30,5.081738610516204,0.6352173263145255,0.8352173263145255,-0.19999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,4.0,0.0626504448162247,-1.9810411379261657,0.2888731580491041,0.16348966166253437,0.4690988487945005,2,2,5.0,0.717113390609456,0.6064804651207036,0.0,0.0625,1,1,0,6,0,0,0,8,0.0,19.87460193854877,1,8,True,False
31,5.6210272144824875,0.624558579386943,0.8245585793869431,-0.19999999999999998,-1.7999999999999998,ego_neighbourhood,50.0,safety_mobility,4.0,0.011907662906867808,-2.1237093663688498,0.25073453936816636,0.21171017814504633,0.494704057490698,2,2,5.0,0.7142609076938223,0.7048305144290897,0.0,0.05555555555555555,1,2,0,6,0,0,0,9,0.0,18.83360463788693,1,9,True,False
32,4.001208767037302,0.6668681278395504,0.8668681278395504,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,3.8333333333333335,-0.02866334212750099,-2.154577989171788,0.28137987307333207,0.20055633007160223,0.47941253113974525,2,2,5.0,0.7510440539203082,0.605995028360619,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,19.670098263782574,1,6,True,False
33,3.7847026360041323,0.6307837726673554,0.8307837726673554,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,4.0,-0.04597289211183556,-2.086881205646558,0.2689779153987963,0.21373859787807425,0.4737996575066523,2,2,5.0,0.7566397468221878,0.6419903295134495,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,20.160966971324758,1,6,True,False
34,6.0527983053134955,0.6725331450348329,0.8280887005903883,-0.15555555555555556,-1.4,ego_neighbourhood,50.0,safety_mobility,3.888888888888889,-0.02292266670647325,-2.1150236720707616,0.2688282442690173,0.2557284253587622,0.5014019242459256,2,2,5.0,0.7077313313628463,0.6555839519654358,0.0,0.05555555555555555,1,4,0,4,0,0,0,9,0.0,17.25740397917838,1,9,True,False
35,4.604770412666656,0.6578243446666651,0.8578243446666649,-0.19999999999999998,-1.4,ego_neighbourhood,50.0,safety_mobility,4.0,0.0013071302767896523,-2.194253200883649,0.25938619171165217,0.17271981597788666,0.4946418699484716,2,2,5.0,0.7196547013031224,0.6348227334686546,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,19.301763055564436,1,7,True,False
36,4.339386300598793,0.6199123286569704,0.8199123286569705,-0.19999999999999998,-1.4,ego_neighbourhood,50.0,safety_mobility,3.857142857142857,0.021927415739034117,-2.113347946654382,0.29351525327696454,0.19979792086283266,0.47971701156203483,2,2,5.0,0.7370858945333517,0.6014269967984888,0.0,0.07142857142857142,1,1,0,5,0,0,0,7,0.0,19.63314171917708,1,7,True,False
37,6.4470577043515025,0.7163397449279447,0.8274508560390558,-0.1111111111111111,-1.0,ego_neighbourhood,50.0,safety_mobility,3.888888888888889,0.045214288993686104,-2.1373054468469546,0.2618595597015043,0.1633367899998633,0.48977005507436777,2,2,5.0,0.7190704968947067,0.6921996521641829,0.0,0.05555555555555555,1,1,0,7,0,0,0,9,0.0,19.424610257718843,1,9,True,False
38,6.1697975810104655,0.6855330645567184,0.7966441756678295,-0.1111111111111111,-1.0,ego_neighbourhood,50.0,safety_mobility,3.7777777777777777,-0.04331846913205527,-2.092320244120052,0.265303859911813,0.24012503406305305,0.4938701943337078,2,2,5.0,0.6388969366770872,0.5249639313083261,0.0,0.05555555555555555,1,5,0,3,0,0,1,8,0.1111111111111111,16.550602871562262,1,9,True,False
39,6.061773598447391,0.7577216998059239,0.8577216998059238,-0.1,-0.8,ego_neighbourhood,50.0,safety_mobility,3.875,-0.04039711251324468,-2.006869829022483,0.2721279990898664,0.23505641475940559,0.49787905834430357,2,2,5.0,0.710947885701603,0.6276397732234734,0.0,0.0625,1,6,0,1,0,0,0,8,0.0,16.897777971400586,1,8,True,False
40,5.382992790691681,0.6728740988364601,0.8728740988364598,-0.19999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,3.875,0.07834677988901642,-1.790457202738316,0.32159331314667133,0.21031430931896714,0.4550056460194938,2,2,5.0,0.7587457996782039,0.6243049730630654,0.0,0.0625,1,1,0,6,0,0,0,8,0.0,20.515573408821183,1,8,True,False
41,7.366593250697433,0.6696902955179485,0.8333266591543121,-0.1636363636363636,-1.7999999999999998,ego_neighbourhood,50.0,safety_mobility,3.909090909090909,0.029983448744489983,-2.099416595497239,0.2695118718665708,0.20186267125963317,0.46734866596492064,2,2,5.0,0.6738191252496789,0.6267963249480345,0.0,0.045454545454545456,1,5,0,5,0,0,0,11,0.0,17.513165560912306,1,11,True,False
42,5.971861013760609,0.6635401126400677,0.8190956681956232,-0.15555555555555556,-1.4,ego_neighbourhood,50.0,safety_mobility,3.888888888888889,-0.016493903317542833,-1.943424056508949,0.2756812995954616,0.26261542120175624,0.48907311851930446,2,2,5.0,0.7048465704060547,0.6361083193989641,0.0,0.05555555555555555,1,6,0,2,0,0,0,9,0.0,17.041940114232435,1,9,True,False
43,3.847854456322243,0.6413090760537071,0.8413090760537071,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,3.8333333333333335,-0.04184562587002775,-2.1738070216971344,0.2686043068551936,0.20469158277899713,0.4829721854013409,2,2,5.0,0.748587447969395,0.6266329488950698,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,19.526546030534664,1,6,True,False
44,9.829375674270175,0.7561058210977057,0.8330288980207826,-0.07692307692307693,-1.0,ego_neighbourhood,50.0,safety_mobility,3.5384615384615383,0.13686935544278808,0.1492870945691691,0.34223925894983737,0.24251379580147608,0.16536131987618674,0,0,5.0,0.6720713963041185,0.6596642747085623,0.0,0.0,0,11,0,2,0,0,0,13,0.0,15.218610887054801,0,13,True,False
45,3.1235121705403124,0.6247024341080625,0.8247024341080624,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.8,-0.1495586465547504,-2.1732881270416304,0.2423700593510134,0.21330073671775182,0.462850085375907,2,2,5.0,0.7231879330979243,0.5616357474938216,0.0,0.1,1,3,0,1,0,0,0,5,0.0,16.900597351201377,1,5,True,False
46,4.79505232509807,0.68500747501401,0.8278646178711531,-0.14285714285714285,-1.0,ego_neighbourhood,50.0,safety_mobility,3.5714285714285716,0.05557123752763309,-2.1132086405281165,0.3179278484918419,0.18510102945042098,0.4796224473137338,2,2,5.0,0.7397215016893766,0.5578730206807833,0.0,0.07142857142857142,1,2,0,4,0,0,0,7,0.0,19.600560503898787,1,7,True,False
47,5.8837183544608465,0.6537464838289829,0.8093020393845385,-0.15555555555555556,-1.4,ego_neighbourhood,50.0,safety_mobility,3.7777777777777777,-0.002955401093053404,-2.007629280941642,0.27867026337469786,0.2447546060045813,0.49547845456288386,2,2,5.0,0.7032919540012799,0.6270211590309417,0.0,0.05555555555555555,1,5,0,3,0,0,0,9,0.0,17.357316690868274,1,9,True,False
48,5.38858088317479,0.6735726103968488,0.8735726103968486,-0.19999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,3.875,0.06998642575349384,-1.835804784637482,0.30225097605295514,0.1925309432664086,0.46197265829508005,2,2,5.0,0.7582219499282625,0.6619419477506149,0.0,0.0625,1,1,0,6,0,0,0,8,0.0,20.515693506800133,1,8,True,False
49,3.194444444444444,0.6388888888888888,0.8388888888888889,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.6,0.024654555780456545,-1.7713619388125448,0.31941106428855204,0.1800935949064975,0.44468689711276066,2,2,5.0,0.8040323035634949,0.5692424785498856,0.0,0.1,1,2,0,2,0,0,0,5,0.0,21.851202315315227,1,5,True,False
50,3.2414499618346726,0.6482899923669345,0.8482899923669345,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.8,-0.028021505045293927,-1.8184669385423144,0.29445099459637103,0.20028232392240972,0.47075781959580154,2,2,5.0,0.778529942277598,0.5681578953624541,0.0,0.1,1,1,0,3,0,0,0,5,0.0,21.3289552514991,1,5,True,False
51,3.5662096647216472,0.5943682774536079,0.7943682774536077,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,4.0,-0.10999042797509924,-2.1260625252771033,0.23894631827281976,0.22104495525513254,0.46656754325780225,2,2,5.0,0.7008373455862574,0.5904487212935422,0.0,0.08333333333333333,1,4,0,1,0,0,0,6,0.0,16.96934844281292,1,6,True,False
52,14.095123326201112,0.9396748884134074,0.8996748884134074,0.04,0.6,ego_neighbourhood,50.0,safety_mobility,3.8,0.23197438359254866,0.2117117270230366,0.3347004882196146,0.14476941968549314,0.16363667592278652,0,0,5.0,0.6751711773175805,0.6809413781959317,0.0,0.0,0,4,0,11,0,0,0,15,0.0,19.111205345351134,0,15,True,False
53,4.015903654435385,0.6693172757392308,0.8693172757392307,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,3.6666666666666665,0.04710988174056437,-1.9028723470286126,0.3047216979581474,0.15703044821512713,0.46217963425781283,2,2,5.0,0.7666225939562766,0.5904684586629253,0.0,0.08333333333333333,1,2,0,3,0,0,0,6,0.0,20.93065042727734,1,6,True,False
54,6.392512294548299,0.6392512294548298,0.7992512294548301,-0.15999999999999998,-1.5999999999999999,ego_neighbourhood,50.0,safety_mobility,3.6,-0.01814046244466283,-2.1942082957293216,0.28372700475417073,0.24945367109998168,0.506564132999394,2,2,5.0,0.6813469073591756,0.5952398052100095,0.0,0.05,1,7,0,2,0,0,1,9,0.1,15.91807471469705,1,10,True,False
55,12.450678881715316,0.8300452587810211,0.8700452587810211,-0.04000000000000001,-0.6000000000000001,ego_neighbourhood,50.0,safety_mobility,3.933333333333333,0.23786951351502778,0.21054462571048654,0.33052091103742426,0.14568185559879526,0.1357335258755077,0,0,5.0,0.6856496454403864,0.7102574688059244,0.0,0.0,0,5,0,10,0,0,0,15,0.0,18.83246342121448,0,15,True,False
56,7.230196631319465,0.6572906028472242,0.820926966483588,-0.1636363636363636,-1.7999999999999998,ego_neighbourhood,50.0,safety_mobility,3.909090909090909,0.05895051528957513,-2.2390991107629157,0.24680618350517775,0.15003686802241814,0.4911728397797053,2,2,5.0,0.6766745671299956,0.6779185854314538,0.0,0.045454545454545456,1,4,0,6,0,0,0,11,0.0,18.19369506115259,1,11,True,False
57,3.870075409986145,0.6450125683310242,0.8450125683310241,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,4.0,-0.11722224827717309,-2.2614828961778692,0.3153981288713774,0.20912255942915411,0.39937443992341803,2,2,5.0,0.7021563795325574,0.5068498346556932,0.0,0.06666666666666667,1,4,0,1,0,0,0,6,0.0,15.736679216663633,1,6,True,False
58,2.5821234567901237,0.6455308641975309,0.8455308641975309,-0.2,-0.8,ego_neighbourhood,50.0,safety_mobility,4.0,-0.20813558943573496,-2.021750921796288,0.29908559926386413,0.19141073011825394,0.3780468404942432,2,2,5.0,0.7735180218009352,0.5488648450741421,0.0,0.1,1,2,0,1,0,0,0,4,0.0,18.87404523700923,1,4,True,False
59,4.061201196558775,0.6768668660931292,0.8768668660931292,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,3.8333333333333335,-0.001781492586323467,-2.034230282649155,0.2910140887298676,0.18117386596750806,0.4694915622396276,2,2,5.0,0.7516607147268872,0.587959918660706,0.0,0.08333333333333333,1,1,0,4,0,0,0,6,0.0,20.106462729389534,1,6,True,False
60,3.07796653063903,0.615593306127806,0.8155933061278061,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,3.8,-0.17103747697771948,-2.1804029002577443,0.23239292683428348,0.22405421723036886,0.4750912512937717,2,2,5.0,0.7198193321416864,0.5748528106148056,0.0,0.1,1,3,0,1,0,0,0,5,0.0,17.1182974644402,1,5,True,False
61,4.695813747115243,0.6708305353021775,0.8708305353021776,-0.19999999999999998,-1.4,ego_neighbourhood,50.0,safety_mobility,3.857142857142857,-0.011931769927875242,-2.089888881001221,0.27552264846804425,0.2206240060873314,0.47402881094634797,2,2,5.0,0.7540812407017917,0.671402898753209,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,20.004916206187776,1,7,True,False
62,2.5194151989026063,0.6298537997256516,0.8298537997256517,-0.2,-0.8,ego_neighbourhood,50.0,safety_mobility,3.75,-0.2250770208353292,-2.068583840143864,0.2962385392972595,0.19372986641999568,0.3847597879118898,2,2,5.0,0.7613256862886231,0.5301742939827273,0.0,0.1,1,2,0,1,0,0,0,4,0.0,18.054501071739132,1,4,True,False
63,3.7833851128976668,0.6305641854829445,0.8305641854829444,-0.19999999999999998,-1.2,ego_neighbourhood,50.0,safety_mobility,3.8333333333333335,0.0014424138703964158,-2.033012985330658,0.29077780779261525,0.18038604280384915,0.4692372379909415,2,2,5.0,0.7519906094194005,0.5890922699202373,0.0,0.08333333333333333,1,2,0,3,0,0,0,6,0.0,20.008777020139096,1,6,True,False
64,3.1448599248499374,0.6289719849699875,0.8289719849699875,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,4.2,-0.2350066322689457,-2.2496029491207676,0.2871295150491716,0.2463771087860685,0.3931669785377436,2,2,5.0,0.7180567960297959,0.5418545619612483,0.0,0.08,1,2,0,2,0,0,0,5,0.0,15.817765348794135,1,5,True,False
65,4.676570186890771,0.6680814552701102,0.8680814552701104,-0.19999999999999998,-1.4,ego_neighbourhood,50.0,safety_mobility,3.5714285714285716,0.06561122103120812,-1.9051813969759077,0.32470773184313756,0.18107868647613906,0.4599010162353394,2,2,5.0,0.7480161311459427,0.5609025128913243,0.0,0.07142857142857142,1,2,0,4,0,0,1,6,0.14285714285714285,20.238074218119632,1,7,True,False
66,12.71701586843096,0.8478010578953974,0.8878010578953975,-0.04000000000000001,-0.6000000000000001,ego_neighbourhood,50.0,safety_mobility,4.0,0.2557880343463489,0.2075774191478827,0.35201921957191523,0.15080433706056035,0.18023012163301244,0,0,5.0,0.696405706989093,0.6887729748343558,0.0,0.0,0,7,0,8,0,0,0,15,0.0,19.2768377137845,0,15,True,False
67,3.139551376225169,0.6279102752450338,0.8279102752450338,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,4.0,-0.1241838806474537,-2.0942783983276914,0.31701320267487665,0.20247214215465528,0.4017171209561521,2,2,5.0,0.7335437758369017,0.5130611463240499,0.0,0.08,1,3,0,1,0,0,0,5,0.0,17.64982805399925,1,5,True,False
68,2.5543456790123455,0.6385864197530864,0.8385864197530865,-0.2,-0.8,ego_neighbourhood,50.0,safety_mobility,3.75,-0.21214168852338083,-2.028438947115099,0.24421267638817282,0.21916559809645159,0.4422861123379056,2,2,5.0,0.7620551329875698,0.535684913198794,0.0,0.125,1,2,0,1,0,0,0,4,0.0,18.229000939558475,1,4,True,False
69,3.1117735984473915,0.6223547196894783,0.8223547196894782,-0.2,-1.0,ego_neighbourhood,50.0,safety_mobility,4.2,-0.20126818874833957,-2.134045923757733,0.27509676524769616,0.22302619409421073,0.38932007887573605,2,2,5.0,0.7159872316972075,0.5617809328990229,0.0,0.08,1,2,0,2,0,0,0,5,0.0,16.788025104497375,1,5,True,False
