master_seed,checkpoint_step,condition,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,rich_log
67006,200000,min_pbrs,0.5,0.0,0.5,0.0,64,False
67006,225000,min_pbrs,0.875,0.0,0.125,0.0,64,False
67006,250000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67006,275000,min_pbrs,0.8125,0.0,0.1875,0.125,64,False
67006,300000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67006,325000,min_pbrs,0.875,0.0625,0.0625,0.0,64,False
67006,350000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67006,375000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67006,400000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67007,0,min_pbrs,0.1875,0.3125,0.5,0.0,16,True
67007,25000,min_pbrs,0.75,0.0,0.25,0.5,16,False
67007,50000,min_pbrs,0.4375,0.0,0.5625,0.0,16,False
67007,75000,min_pbrs,0.4375,0.0625,0.5,0.0,16,False
67007,100000,min_pbrs,0.8125,0.0625,0.125,0.5,16,False
67007,125000,min_pbrs,1.0,0.0,0.0,0.625,16,False
67007,150000,min_pbrs,1.0,0.0,0.0,0.375,16,False
67007,175000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67007,200000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67007,225000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67007,250000,min_pbrs,0.875,0.0625,0.0625,0.125,64,False
67007,275000,min_pbrs,1.0,0.0,0.0,0.375,64,False
67007,300000,min_pbrs,0.875,0.0625,0.0625,0.125,64,False
67007,325000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67007,350000,min_pbrs,0.8125,0.1875,0.0,0.0,64,True
67007,375000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67007,400000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67008,0,min_pbrs,0.375,0.625,0.0,0.0,16,True
67008,25000,min_pbrs,0.5,0.125,0.375,0.0,16,False
67008,50000,min_pbrs,0.0,0.0,1.0,0.0,16,False
67008,75000,min_pbrs,0.0,0.0625,0.9375,0.0,16,False
67008,100000,min_pbrs,0.125,0.1875,0.6875,0.0,16,False
67008,125000,min_pbrs,0.6875,0.0,0.3125,0.0,16,False
67008,150000,min_pbrs,0.5,0.0,0.5,0.125,16,False
67008,175000,min_pbrs,0.6875,0.25,0.0625,0.125,16,False
67008,200000,min_pbrs,0.9375,0.0625,0.0,0.5,64,False
67008,225000,min_pbrs,1.0,0.0,0.0,0.875,64,False
67008,250000,min_pbrs,1.0,0.0,0.0,0.75,64,False
67008,275000,min_pbrs,0.6875,0.3125,0.0,0.25,64,False
67008,300000,min_pbrs,0.9375,0.0625,0.0,0.75,64,False
67008,325000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67008,350000,min_pbrs,0.9375,0.0625,0.0,0.25,64,True
67008,375000,min_pbrs,0.875,0.0,0.125,0.25,64,True
67008,400000,min_pbrs,1.0,0.0,0.0,0.25,64,True
67009,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67009,25000,min_pbrs,0.5,0.0,0.5,0.0,16,False
67009,50000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67009,75000,min_pbrs,0.9375,0.0625,0.0,0.0,16,False
67009,100000,min_pbrs,0.9375,0.0625,0.0,0.125,16,False
67009,125000,min_pbrs,0.75,0.125,0.125,0.0,16,False
67009,150000,min_pbrs,0.875,0.125,0.0,0.25,16,False
67009,175000,min_pbrs,0.9375,0.0625,0.0,0.125,16,False
67009,200000,min_pbrs,0.9375,0.0625,0.0,0.0,64,False
67009,225000,min_pbrs,0.8125,0.1875,0.0,0.0,64,False
67009,250000,min_pbrs,0.9375,0.0625,0.0,0.375,64,False
67009,275000,min_pbrs,0.9375,0.0625,0.0,0.0,64,False
67009,300000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67009,325000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67009,350000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67009,375000,min_pbrs,0.9375,0.0625,0.0,0.25,64,True
67009,400000,min_pbrs,0.9375,0.0625,0.0,0.0,64,True
67010,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67010,25000,min_pbrs,0.6875,0.0,0.3125,0.125,16,False
67010,50000,min_pbrs,0.75,0.0,0.25,0.25,16,False
67010,75000,min_pbrs,1.0,0.0,0.0,0.625,16,False
67010,100000,min_pbrs,0.5625,0.0,0.4375,0.125,16,False
67010,125000,min_pbrs,0.625,0.0625,0.3125,0.0,16,False
67010,150000,min_pbrs,0.875,0.0,0.125,0.125,16,False
67010,175000,min_pbrs,0.625,0.25,0.125,0.125,16,False
67010,200000,min_pbrs,0.9375,0.0625,0.0,0.25,64,False
67010,225000,min_pbrs,0.8125,0.125,0.0625,0.125,64,False
