seed,c64_completion,c64_collision,c64_timeout,c64_umin,c64_gini,c64_mean_U
900101,0.98046875,0.01953125,0.0,0.9801916702272808,0.009818936458553446,0.9901612431152985
900102,1.0,0.0,0.0,0.9969493842007504,0.0006510761973268322,0.9988569509019903
900103,0.55859375,0.44140625,0.0,0.5089202741006883,0.2335712887615209,0.7602525158533047
900104,0.9921875,0.0078125,0.0,0.989167166864577,0.004520857145706956,0.9947927990119956
910101,0.94921875,0.05078125,0.0,0.94921875,0.025390625,0.974609375
910102,0.99609375,0.00390625,0.0,0.9886343283325636,0.003585810230229981,0.9953604580235271
920101,0.921875,0.078125,0.0,0.9204068722973167,0.03936401808384411,0.9605138900139729
920102,0.359375,0.640625,0.0,0.3593394381925432,0.32032594206131393,0.6796650708539247
920103,0.88671875,0.11328125,0.0,0.9133654169527756,0.037242153864144506,0.9612286117899697
920104,0.96875,0.03125,0.0,0.96875,0.015625,0.984375
920105,0.84765625,0.15234375,0.0,0.8473366860615743,0.07624928809436701,0.9237131543557107
920106,0.984375,0.015625,0.0,0.97143795011253,0.010504653137233826,0.9859279429147502
