metric,mean,median,ci_low,ci_high
U_mean,0.9412,0.9581,0.9025,0.9746
U_min,0.8816,0.9155,0.8053,0.9473
utility_gini,0.058,0.0418,0.0248,0.0965
utility_range,0.1179,0.0845,0.0524,0.1935
