seed,mean_burden_gini,n_nonzero_episodes,n_total_episodes
900102,0.47461700641340504,84,256
900104,0.7025246221896367,74,256
910101,0.6048952721470079,8,256
910102,0.5699915901434525,55,256
920101,0.7016478980527533,208,256
920102,0.75,14,256
920103,0.7427130460939722,249,256
920104,0.6834263337243145,47,256
920105,0.686479482424978,128,256
920106,0.7416780528244961,15,256
