measure,zero_mobility_burden,nonzero_mobility_burden
>=1 hard-brake event (share),0.5429,1.0
median hard-brake count,1.0,6.0
mean hard-brake count,2.1584,9.6553
95th pct hard-brake count,8.0,36.0
mean braking burden C_brake,0.1675,0.5149
