seed,baseline_umin,baseline_gini,baseline_completion,delta_umin_mean,delta_gini_mean,delta_completion_mean,delta_umin_ggi,delta_gini_ggi,delta_completion_ggi,delta_umin_maximin,delta_gini_maximin,delta_completion_maximin
900101,0.99609375,0.001953125,0.99609375,-0.00390625,0.001953125,-0.00390625,-0.0034865800424195292,-0.0004558899020884249,0.00390625,-0.008398602838250113,0.0040773812161625945,-0.0078125
900102,0.9637220763488543,0.014329428291206647,0.9765625,0.017357175024288685,-0.00928402468665851,0.01953125,0.03552189715083354,-0.014187449477453137,0.0234375,-0.09089223165581584,0.04749779407199417,-0.09765625
900103,0.90234375,0.048828125,0.90234375,0.07393104058923017,-0.03705538669358581,0.07421875,0.025709091576868515,-0.013338158712469503,0.02734375,0.07764529319477909,-0.0446659323124626,0.06640625
900104,0.992718952253636,0.002617159407385396,0.99609375,-0.027875202253636044,0.014960965592614605,-0.03515625,-0.102102945867102,0.05207202721881364,-0.10546875,-0.21953778631540422,0.08762067333197343,-0.33203125
910101,0.9996325391116607,8.652121585430586e-05,1.0,-0.011482714235430347,0.0057975072564402964,-0.01171875,-0.016939646094303318,0.008042930569063226,-0.015625,-0.04286721841162733,0.0214528167687783,-0.04296875
910102,0.7132841744370693,0.14293699064743742,0.71484375,-0.6781279244370693,0.3395284870010033,-0.6796875,-0.16504118274870117,0.06009594249619207,-0.1796875,-0.12256772106541736,0.04388580358136884,-0.05859375
920101,0.889071513885612,0.05262856834440324,0.8984375,0.11092848611438799,-0.05262856834440324,0.1015625,0.09674488198834363,-0.046246711286299355,0.08984375,0.09220836120703746,-0.04410617714377249,0.0859375
920102,0.8966372728309078,0.04819268771761359,0.890625,0.03636691613978693,-0.014865799625225357,0.04296875,-0.05380349572450116,0.030105942239955427,-0.046875,0.08757456151513643,-0.040349587392782355,0.09375
920103,0.9879541967701562,0.0022907295077878556,1.0,0.012045803229843832,-0.0022907295077878556,0.0,0.00032705322984383223,0.0035686454922121444,-0.01171875,0.010715232168383437,-0.002030402276585689,0.0
920104,0.6523351444780991,0.17549693148074633,0.6484375,0.34666939092963767,-0.17531018101306453,0.3515625,0.13228244199053485,-0.06794718074558738,0.13671875,0.0963627443567483,-0.050069953250311466,0.1015625
920105,0.6564026834620033,0.17070065493481507,0.66015625,0.3156061376719562,-0.15685198896339334,0.3125,0.34350522172941667,-0.17068338161745186,0.33984375,0.21798367668069296,-0.11373045672744711,0.23046875
920106,0.9286237884290597,0.03536538500334832,0.9296875,0.04905304719451886,-0.024926263203615847,0.05078125,-0.13174878842905968,0.06815023999665168,-0.1328125,-0.19034260452748974,0.09549400239015973,-0.19140625
