metric,baseline_mean,baseline_std,rawlsian_mean,rawlsian_std,difference_rawlsian_minus_baseline
total_reward,10.093748300862167,3.862228058444676,11.834295888647462,1.7585690030834706,1.7405475877852954
mean_reward,0.8664321187665689,0.03179703266849265,0.7347441950559772,0.10778672801129088,-0.13168792371059168
mean_min_experience,0.06888069733584838,0.15110176685260035,0.1573592248743514,0.07544669976020832,0.08847852753850301
final_min_experience,-0.7799335580023969,1.2014732868596827,-0.36166917173716806,1.121196628830534,0.4182643862652289
mean_vehicle_experience,0.30429595282270155,0.02891019489847286,0.34701216325986345,0.05873397030956389,0.042716210437161894
mean_gini_experience,0.16925960141515875,0.031849343402828044,0.14672041304718428,0.027960987705830942,-0.022539188367974472
final_gini_experience,0.22908282427456036,0.18875123533781032,0.23392708375688137,0.22944117718351448,0.004844259482321006
total_collision_count,0.88,1.002853072844814,0.56,0.9071147352221454,-0.31999999999999995
final_collision_count,0.88,1.002853072844814,0.56,0.9071147352221454,-0.31999999999999995
mean_n_vehicles,5.0,0.0,5.0,0.0,0.0
mean_scoped_vehicle_count,3.921444444444445,0.10303415348846427,3.6002156862745096,0.4338520416880004,-0.32122875816993535
steps,11.58,4.300403398258715,16.12,0.7989789402348322,4.540000000000001
least_advantaged_ego_steps,0.14,0.3505098327538656,1.44,1.774651446087947,1.2999999999999998
least_advantaged_non_ego_steps,11.44,4.199902817145819,14.68,1.8564833993992238,3.24
least_advantaged_ego_ratio,0.009333333333333332,0.02336732218359104,0.0889950980392157,0.11035659439412104,0.07966176470588236
mean_least_advantaged_speed,17.097898511436828,1.8484504057994597,16.035563257591264,2.1073470576851734,-1.0623352538455642
least_advantaged_crash_steps,0.44,0.501426536422407,0.28,0.4535573676110727,-0.15999999999999998
mean_mobility_score,0.6882930883491476,0.03566235440302761,0.6428354567202973,0.021936790007425135,-0.045457631628850304
mean_risk_penalty,0.6467498266084476,0.0691186228123179,0.5390755084894953,0.11372110982500211,-0.10767431811895234
mean_low_speed_penalty,0.0,0.0,0.01783088235294118,0.018858808815941104,0.01783088235294118
mean_collision_penalty,0.03031111111111111,0.03745698128808465,0.01046813725490196,0.017172470641708855,-0.019842973856209152
reason_collision_steps,0.44,0.501426536422407,0.28,0.4535573676110727,-0.15999999999999998
reason_low_mobility_steps,5.2,2.702983989774929,11.04,3.7523326078587433,5.839999999999999
reason_low_speed_steps,0.0,0.0,0.0,0.0,0.0
reason_risk_steps,5.94,2.8955278677044474,4.8,3.5167238928831916,-1.1400000000000006
reason_none_steps,0.0,0.0,0.0,0.0,0.0
reason_combined_steps,0.0,0.0,0.0,0.0,0.0
mean_original_reward,0.0,0.0,0.8171520381932323,0.06486708094715186,0.8171520381932323
mean_rawlsian_reward,0.0,0.0,-0.0824078431372549,0.06879190596726532,-0.0824078431372549
rawlsian_reward_sum,0.0,0.0,-1.32,1.0924602453888663,-1.32
