formal_job_id,condition,master_seed,checkpoint,step,size_bytes,sha256,published,reason_not_published
baseline__61006,baseline,61006,ckpt_step_075000.pt,75000,43231568,214290ec747a489f1b4305bcd36cc55d464e92b3569d715536df5249db94a9f1,False,local_only_intermediate_or_replay_checkpoint
baseline__61006,baseline,61006,ckpt_step_100000.pt,100000,43145936,ab6c93a0bdc7d4f7e26f842ddfbf07e0f878cf579596801b704e92eaeba5adb9,False,local_only_intermediate_or_replay_checkpoint
baseline__61006,baseline,61006,final_online_target_weights.pt,100000,106765,1b427c4c02839683d57c1fb7d6108496b99a5c5b79a51a217c003cae5adf9e39,True,
baseline__61007,baseline,61007,ckpt_step_010000.pt,10000,18654928,91c6e8a9bde8c63e85d3549c9e805cfa953c31f0b9bac8c3f97747a871c55b35,False,local_only_intermediate_or_replay_checkpoint
baseline__61007,baseline,61007,ckpt_step_025000.pt,25000,45389456,a812f0cc71d04d7c1d967e0660f08c135e11389b82d29b2c24bec7cbea025c2d,False,local_only_intermediate_or_replay_checkpoint
baseline__61007,baseline,61007,ckpt_step_050000.pt,50000,44934544,3436a2cbcdbf8638014e388b67b74047708b48dc0a814531e749594e6ae64bd3,False,local_only_intermediate_or_replay_checkpoint
baseline__61007,baseline,61007,ckpt_step_075000.pt,75000,44390288,6e41b0e1d2d78734e70adbbe4668088be378b864f69db7bf829315e5dd084871,False,local_only_intermediate_or_replay_checkpoint
baseline__61007,baseline,61007,ckpt_step_100000.pt,100000,46459984,fa4be1111941feb9ef6380fb5b3df36ff213e1a2f69e3850de69170e29410b56,False,local_only_intermediate_or_replay_checkpoint
baseline__61007,baseline,61007,final_online_target_weights.pt,100000,106765,d8a23c1923e38e4291ef5f720e3af2a104b41d30b80de8fbdbaa89ba9c3c59b7,True,
baseline__61008,baseline,61008,ckpt_step_010000.pt,10000,20692816,51f61446d0446c4b629afd6b18a1fa6918c38ea92ec58c57b41e404974a680e9,False,local_only_intermediate_or_replay_checkpoint
baseline__61008,baseline,61008,ckpt_step_025000.pt,25000,46504912,9db6dc9cd0c5f65590cc460c8309087c1b44e75bc5c1d571bc035c4e0db06260,False,local_only_intermediate_or_replay_checkpoint
baseline__61008,baseline,61008,ckpt_step_050000.pt,50000,43719248,e5f14a2c3c1301453c9b3e584cb2905052648492260dbf87ee16195e5b768ead,False,local_only_intermediate_or_replay_checkpoint
baseline__61008,baseline,61008,ckpt_step_075000.pt,75000,43433168,72a604fb0eb1b450ad877d9b7cb908b7c0dd8e7f6102f3ce56919b33bde1c436,False,local_only_intermediate_or_replay_checkpoint
baseline__61008,baseline,61008,ckpt_step_100000.pt,100000,42607376,1fbcb763df62140a7a94fd176aca5628fb42063caae512f22a7def62a8d85462,False,local_only_intermediate_or_replay_checkpoint
baseline__61008,baseline,61008,final_online_target_weights.pt,100000,106765,036db8b02fd5fd487c629aa16d2b7e6df51779df63eb7458c92332112bae328b,True,
baseline__61009,baseline,61009,ckpt_step_010000.pt,10000,20062608,11f51e40b03267eb76e8d84b4c7895c6dabd7b8420d262f26783aa65cf2d0b44,False,local_only_intermediate_or_replay_checkpoint
baseline__61009,baseline,61009,ckpt_step_025000.pt,25000,46218576,4a1594a3525b075c5909a755b722fbd426fb6b4ef1b8709c9faf2cb032fd2d41,False,local_only_intermediate_or_replay_checkpoint
baseline__61009,baseline,61009,ckpt_step_050000.pt,50000,43463760,96f013a047678bc6de446e4989e2789cd0d0b3131f36f6b6db10c98668eff56c,False,local_only_intermediate_or_replay_checkpoint
baseline__61009,baseline,61009,ckpt_step_075000.pt,75000,41691344,505d6b330349d5a9ec6cbd406ffd128e26b56a48e243bff58d3cc8fcd2139fb0,False,local_only_intermediate_or_replay_checkpoint
baseline__61009,baseline,61009,ckpt_step_100000.pt,100000,40761104,6b5a4dbc436a1e53a8dadd49b2a13f18a52b2ed326df4aeb9b2325e5971c807f,False,local_only_intermediate_or_replay_checkpoint
baseline__61009,baseline,61009,final_online_target_weights.pt,100000,106765,5ea8fa385ae64a753b24a44a9de43968a425e4d490c46988a86edfdbd6c5540c,True,
baseline__61010,baseline,61010,ckpt_step_010000.pt,10000,19474064,0cc77dbf37c0d56b7c1f0833fd85ff6753f83e9db0a063a22e8bdb43465925c3,False,local_only_intermediate_or_replay_checkpoint
baseline__61010,baseline,61010,ckpt_step_025000.pt,25000,46340752,c25f40bc425f3e49cedfc1b764e66d6208444ca29504fd1cca60109866a5b45f,False,local_only_intermediate_or_replay_checkpoint
baseline__61010,baseline,61010,ckpt_step_050000.pt,50000,43297360,e7f92a9e09880d667c5e8fe488598c1472cedbb4447193aee7756999582bd739,False,local_only_intermediate_or_replay_checkpoint
baseline__61010,baseline,61010,ckpt_step_075000.pt,75000,42927568,7d95384428213fd96025cc96c3f4ba78d744257c7abab061e7304623f1ef44f2,False,local_only_intermediate_or_replay_checkpoint
baseline__61010,baseline,61010,ckpt_step_100000.pt,100000,43900240,24f9c4d40f636a361be11b68567a18baa69fc857ee560c36606d41a07ef20d76,False,local_only_intermediate_or_replay_checkpoint
baseline__61010,baseline,61010,final_online_target_weights.pt,100000,106765,6c323fa50b01e39ff9c7e207ff6f201451407bba428ea6383ec3a42099fce385,True,
mean_pbrs__61001,mean_pbrs,61001,ckpt_step_010000.pt,10000,21396688,3fc187728a46ef116e7848542f1b8a86c38863a553531991cbcf9e794fe12799,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61001,mean_pbrs,61001,ckpt_step_025000.pt,25000,43250512,72db647d428784e11d1d29e0299ef30181915a70acd4d2310c8334296f646400,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61001,mean_pbrs,61001,ckpt_step_050000.pt,50000,45220368,3407219529496d01b131ec60e34bd47e4e83c3ca2a6842b36fa57aac3e3c85e5,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61001,mean_pbrs,61001,ckpt_step_075000.pt,75000,44230480,a080f934c07fc503c9e807c729640c81683a7aef67f525467fe98c2e02d808b0,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61001,mean_pbrs,61001,ckpt_step_100000.pt,100000,44405968,2f39ed1163e1d0a40955849bfb102b1a372c7091804f1ab39cef4fd716ada72e,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61001,mean_pbrs,61001,final_online_target_weights.pt,100000,106765,bb8b5954007d56a7c09e0315dd18bde630b95364344bbf4b1ce6be5f6c496887,True,
mean_pbrs__61002,mean_pbrs,61002,ckpt_step_010000.pt,10000,20126480,c9f86987277f1b645d7316ccf08645ca3a7eb22993c9c52a2236d21ab97d472b,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61002,mean_pbrs,61002,ckpt_step_025000.pt,25000,38785552,955dea2d5eef10a97a4d787c6cebe7c5c39bf7f36df3285d792b4485fe54ba64,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61002,mean_pbrs,61002,ckpt_step_050000.pt,50000,45446480,cba7d86a879bf0c696d16f52dd07d593d1c2792888ce60cac85ec02ffcd8231a,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61002,mean_pbrs,61002,ckpt_step_075000.pt,75000,43988048,6028a5e7f9c85d0a258ac3c61e3077a6cf8d5425dd0d2029357d19fc278866b4,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61002,mean_pbrs,61002,ckpt_step_100000.pt,100000,43176720,bfa67bbe8b4fdae485d31b4049336dff1a73c7713fa80ab36f1e3474948d9900,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61002,mean_pbrs,61002,final_online_target_weights.pt,100000,106765,4587a90a379b2f34e8093cef9955abcce6f8633a6416fe933a3633ace2836954,True,
mean_pbrs__61003,mean_pbrs,61003,ckpt_step_010000.pt,10000,20252560,f536e45f9661ea5a6b0e0f4925467a3005a3fe9b2761c4034b14d479e982f03a,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61003,mean_pbrs,61003,ckpt_step_025000.pt,25000,47503248,68c9cf27af3403e12fb3b45f29028f4153a4bbc4f804bdf5c27dbf7729009f3c,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61003,mean_pbrs,61003,ckpt_step_050000.pt,50000,45685712,5be6d4c35440c1d424eacfc938dc3eeda2401049e2f3871168bf55701b5db178,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61003,mean_pbrs,61003,ckpt_step_075000.pt,75000,43612880,d8378fd7fe2b805e2df4f3e3bc2fddd38e3c90f629846878cdc0da58fa43b011,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61003,mean_pbrs,61003,ckpt_step_100000.pt,100000,43479952,24f8780b60b882869fe201c4045ec1ada56bb535836637683972f6fcd3ee0e36,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61003,mean_pbrs,61003,final_online_target_weights.pt,100000,106765,1ee21637c893e06ffb8ded0363d9df15433bb7fabd2fcfdffc3b0e5c8b19b450,True,
mean_pbrs__61004,mean_pbrs,61004,ckpt_step_010000.pt,10000,20276368,8184408fffc42bf758f7499871cb0be8f6b8ebdec3921d0ac6b4d27648a6a408,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61004,mean_pbrs,61004,ckpt_step_025000.pt,25000,45093648,1f44a4b24958df6ee69f10b432bc830abcf1c947de1cf900112995854f214893,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61004,mean_pbrs,61004,ckpt_step_050000.pt,50000,44351376,7d009e25a4e1189f9e8c0be5d42d5c4d747724d33dc04c269094eddbd4584024,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61004,mean_pbrs,61004,ckpt_step_075000.pt,75000,43320784,98b22f4e8baa5b9eb5129664fb82520483d002d1801be764f9f4e897cc12f872,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61004,mean_pbrs,61004,ckpt_step_100000.pt,100000,43371664,63c9a5843f1318e3f4701f5c86b2131d523d62d3573df13b37b2e9864df7c8dc,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61004,mean_pbrs,61004,final_online_target_weights.pt,100000,106765,73f5efc40f6977e4c3d4efa75f7e1d5aedf6dd9454964b3825868789e2fa96c9,True,
mean_pbrs__61005,mean_pbrs,61005,ckpt_step_010000.pt,10000,19951376,75db0f8261551fbb0e7924df5f8078acfb96a157053a0ec7a8284ebf24dc4a2b,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61005,mean_pbrs,61005,ckpt_step_025000.pt,25000,42554512,03332ff645ed4d19fdb44fad72d76852181f27ff81b945430979b29e122aa9ae,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61005,mean_pbrs,61005,ckpt_step_050000.pt,50000,44737232,3d65343bfbdb0c18aadc6ee9f025f059b22a9047b535b91e75a36fa1b1f34700,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61005,mean_pbrs,61005,ckpt_step_075000.pt,75000,44508496,0e77ebd8824d4f85718879317f53fb951544d554e245e7ee407a8a4c15df9c26,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61005,mean_pbrs,61005,ckpt_step_100000.pt,100000,44242320,8cd1fded3b0a157a041b01878670ef39061beac6e7d9573ca441326a3020749e,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61005,mean_pbrs,61005,final_online_target_weights.pt,100000,106765,80407d345ebc6b609fde422abfdd2f40d475b968e912b88c1305473f799c3649,True,
mean_pbrs__61006,mean_pbrs,61006,ckpt_step_010000.pt,10000,20535504,29a79afea05585147cab76964a8ab1f9962153c03a542385ad2dffec94f29892,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61006,mean_pbrs,61006,ckpt_step_025000.pt,25000,46219856,4793c49f4915aa3717ea7a311e6825c49355d3791564aac03da17d4cfb714a03,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61006,mean_pbrs,61006,ckpt_step_050000.pt,50000,44461008,f1840f9f0952a8642bc0580e0b97acd7fcc8f09292693a391317d24df7ca0e75,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61006,mean_pbrs,61006,ckpt_step_075000.pt,75000,43828688,52bfdfb0e6b6621792c8bce664a2bdb85d1035fabde2614fbd452ffe38b8554a,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61006,mean_pbrs,61006,ckpt_step_100000.pt,100000,43845136,7ce9da17fe22ecb45437daaf0c7d7f770059a379719c04644c0fe87927eed9c8,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61006,mean_pbrs,61006,final_online_target_weights.pt,100000,106765,a1ac896e3e797ddb805b9fe299bc0f6358898c01f312d54803c1ae1252716832,True,
mean_pbrs__61007,mean_pbrs,61007,ckpt_step_010000.pt,10000,20675536,35fba92da6f5b36b60392e6d49419ad43d19ab3d5249ae37b898d34c41c9c64d,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61007,mean_pbrs,61007,ckpt_step_025000.pt,25000,47467600,14a60c524d096396a2304d499fa4749eaf5c71a21fcc4ce88d5f865d109038be,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61007,mean_pbrs,61007,ckpt_step_050000.pt,50000,44963472,0c5a66d8f3e1f1abf32b6cea77c5e207820cbdea9b18eb2dd2aefc9dd1e0cb01,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61007,mean_pbrs,61007,ckpt_step_075000.pt,75000,43464976,100e8a4b587ac4bac1b440c2123edc660e90da40e850503d5be40e85487cc93d,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61007,mean_pbrs,61007,ckpt_step_100000.pt,100000,43791312,dbb1c00488da168b5c8ae560d2161be5ad27f4dace731dcc15f6ec073f653217,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61007,mean_pbrs,61007,final_online_target_weights.pt,100000,106765,0c1e77f38615a6dc231fae237b60e1e9fd534f217b072cffdc7d68ba96e8be22,True,
mean_pbrs__61008,mean_pbrs,61008,ckpt_step_010000.pt,10000,19085392,3a833eeafa297d01b22d8ea736b72f7fce040dafdd14220087d45f45a0a19b7b,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61008,mean_pbrs,61008,ckpt_step_025000.pt,25000,40865040,9cad2461f6c90c664bc7093e7974fc96e077eb4a8f7b89422ab79c556417e8ec,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61008,mean_pbrs,61008,ckpt_step_050000.pt,50000,44778576,76ea5750bd4832846be8177eebac91ef1740aff21980f79677e23fbc591ef967,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61008,mean_pbrs,61008,ckpt_step_075000.pt,75000,44123280,1332e6556388a852595352c780cde9c182949ea3e157a872243a637d22f081f2,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61008,mean_pbrs,61008,ckpt_step_100000.pt,100000,42362000,73286ead5dc1c0367070504f30d3a719730e9e1c8b5d195cc7276b5216118d10,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61008,mean_pbrs,61008,final_online_target_weights.pt,100000,106765,deaed96a8895c76df104cdcb262a95ce4aab3e6b3057031d2c18249f90b0b8b0,True,
mean_pbrs__61009,mean_pbrs,61009,ckpt_step_010000.pt,10000,20222736,d89ce633627b14bdadd612c5e02be810213c52a32ae9e5ecd5b1f6cc5cd74cf2,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61009,mean_pbrs,61009,ckpt_step_025000.pt,25000,47593552,50310c99f69b04cfe27e0a93cc93f5d5990c381a6328df0bd3eb04b92c51a74e,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61009,mean_pbrs,61009,ckpt_step_050000.pt,50000,45001040,438c470b55047565f5ed89355f36c66ecd5ac8f306eff9d9d11ae280849f4fcb,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61009,mean_pbrs,61009,ckpt_step_075000.pt,75000,42687056,edfba41e13563757aaefb14012aea3e7ee9d4b0be0d9f9b5fca00b37fb186dac,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61009,mean_pbrs,61009,ckpt_step_100000.pt,100000,41817872,0c23a937281714c3bf910f6de49952fabbab56ffb58b2565279fb5efcf70a926,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61009,mean_pbrs,61009,final_online_target_weights.pt,100000,106765,f93b72283e36027477472024279c518981a3ff4d96a9ea4fdc24899c28a479d0,True,
mean_pbrs__61010,mean_pbrs,61010,ckpt_step_010000.pt,10000,20964048,1d1bade1cbbcc414956d1c6732ce8802b406b1b6c86ad886268c339b469ea2a8,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61010,mean_pbrs,61010,ckpt_step_025000.pt,25000,45690896,a4797bcd243ed07773f921159d13179b6a4c2ba026c68d66ab20a8ef572096c7,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61010,mean_pbrs,61010,ckpt_step_050000.pt,50000,45210128,5714ce4373cc393f68288fe6544b39587683254b0821687feae0c8accb6e0ec8,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61010,mean_pbrs,61010,ckpt_step_075000.pt,75000,43686096,3b10c4ba3008660de44c0ead3525ef39117f1023036ec3b4946f0538c34ef0d0,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61010,mean_pbrs,61010,ckpt_step_100000.pt,100000,44457616,61d9d21d4399394f660cfcbf704fdaa40a133a0d0e608033ae282d46f9681cce,False,local_only_intermediate_or_replay_checkpoint
mean_pbrs__61010,mean_pbrs,61010,final_online_target_weights.pt,100000,106765,41d59fe47acf2b8dd107deca6692637b6bc1b8cd2a50a7902f38a46c617094c2,True,
min_pbrs__61001,min_pbrs,61001,ckpt_step_010000.pt,10000,21382800,07b998db19e8f09b5b191c77da4b96e7237c253a79923b4d5c25b441f4a828d2,False,local_only_intermediate_or_replay_checkpoint
