condition,master_seed,checkpoint_step,n_episodes,success_rate,collision_rate,truncation_rate,mean_episode_length,unilateral_stall_rate,mutual_yielding_rate,convention_availability,swap_eligibility,minimum_utility,mean_utility,median_Q_margin,absolute_Q,late_collapse_flag
double_dqn,63004,10000,16,0.875,0.125,0.0,104.0625,0.0,0.0,1.0,0.75,0.469350501712528,0.7714781616810655,0.03446496480359375,0.624558279247356,False
double_dqn,63004,25000,16,1.0,0.0,0.0,72.75,0.0,0.0,1.0,1.0,0.7499488783836135,0.8528304209524896,0.018786095027976152,0.9163663958599128,False
double_dqn,63004,50000,16,0.6875,0.3125,0.0,71.0625,0.0,0.0,1.0,0.375,0.44524015758617996,0.7076314930800323,0.0146794673616698,0.7134472841569862,False
double_dqn,63004,75000,16,0.875,0.125,0.0,47.25,0.0,0.0,1.0,0.75,0.782637361273138,0.9029750472677656,0.0073239471160644505,0.6968792022243182,False
double_dqn,63004,100000,16,1.0,0.0,0.0,63.9375,0.0,0.0,1.0,1.0,0.8158272244818117,0.9176595112717318,0.0293932009532651,0.7259467817498086,False
double_dqn,63004,150000,16,1.0,0.0,0.0,66.125,0.0,0.0,1.0,1.0,0.81820314447417,0.9152811892671422,0.009344759186176249,0.676915717839266,False
double_dqn,63004,200000,16,0.9375,0.0625,0.0,61.0625,0.0,0.0,1.0,0.875,0.8049912598084052,0.911722163320762,0.0092413464852007,0.7070748805626776,False
double_dqn,63004,250000,16,0.8125,0.1875,0.0,45.0,0.0,0.0,1.0,0.625,0.7429354118738116,0.8776100517124313,0.0059017608961406,0.6461239093092908,False
double_dqn,63004,300000,16,1.0,0.0,0.0,59.5,0.0,0.0,1.0,1.0,0.814687678463047,0.9211246791464646,0.008962404199481001,0.6678832072889525,False
double_dqn,63005,0,16,1.0,0.0,0.0,63.625,0.0,0.0,1.0,1.0,0.8509649962395429,0.9371979648085151,0.0927646015369301,0.0730087260744006,False
double_dqn,63005,10000,16,0.625,0.0625,0.3125,186.6875,0.3125,0.0,1.0,0.25,0.40318362238864947,0.7388918586555795,0.0314510863911061,0.9077716942999916,False
double_dqn,63005,25000,16,0.625,0.125,0.25,149.25,0.25,0.0,1.0,0.25,0.5016267795935564,0.7351344019040751,0.0202332775211996,0.9106433727874332,False
double_dqn,63005,50000,16,0.5625,0.1875,0.25,143.75,0.1875,0.0625,1.0,0.25,0.48713686235284254,0.709965157537604,0.0056067509249613,0.7737647956400544,False
double_dqn,63005,75000,16,1.0,0.0,0.0,67.0,0.0,0.0,1.0,1.0,0.7880938529799949,0.9007907016408492,0.005845397654574249,0.6555373355722075,False
double_dqn,63005,100000,16,0.9375,0.0,0.0625,99.0625,0.0625,0.0,1.0,0.875,0.6807503795323449,0.88511892194414,0.01318699203746415,0.6460906176228001,False
double_dqn,63005,150000,16,1.0,0.0,0.0,66.5,0.0,0.0,1.0,1.0,0.8132226935507327,0.9186324647387588,0.01118485759478905,0.7195292356454178,False
