endpoint,endpoint_key,checkpoint_step,n_paired_seeds,mean_paired_difference,median_paired_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,raw_p,holm_adjusted_p,cohen_dz,rank_biserial,improved_seed_count_double_higher,unchanged_seed_count,degraded_seed_count_double_lower,wilcoxon_defined,wilcoxon_reason,multiplicity_family
minimum_utility,minimum_utility,50000,20,0.3248180471815807,0.3272789690229151,0.21995373208501726,0.4305280058451977,4.0,1.33514404296875e-05,,1.315528383263752,0.8,18,0,2,True,,exploratory
mean_utility,mean_utility,50000,20,0.20644404816619372,0.21236442102570036,0.13082602805704396,0.2795083981310381,11.0,0.0001049041748046875,,1.1837614898142765,0.7,17,0,3,True,,exploratory
swap_eligibility,swap_eligibility,50000,20,0.41875,0.375,0.23125,0.60625,2.5,0.0015867462300119628,,0.9575543545209145,0.8571428571428571,13,6,1,True,,exploratory
success,success_rate,75000,20,0.534375,0.5625,0.39375,0.665625,3.5,0.00014850018182527703,,1.6819933833168133,0.8,18,0,2,True,,exploratory
collision,collision_rate,75000,20,0.034375,0.03125,-0.0125,0.08125,32.5,0.20374197457955456,,0.31224650447835006,0.42857142857142855,10,6,4,True,,exploratory
truncation,truncation_rate,75000,20,-0.56875,-0.5625,-0.696875,-0.434375,1.5,0.00010898460038149086,,-1.8786598795481257,-0.9,1,0,19,True,,exploratory
episode_length,mean_episode_length,75000,20,-197.18125,-194.65625,-242.63757812499998,-149.7,1.0,3.814697265625e-06,,-1.833411297346782,-0.9,1,0,19,True,,exploratory
unilateral_stall,unilateral_stall_rate,75000,20,-0.36875,-0.34375,-0.49375,-0.246875,4.5,0.00026522801215385133,,-1.2551845791656027,-0.7894736842105263,2,1,17,True,,exploratory
mutual_yielding,mutual_yielding_rate,75000,20,-0.209375,-0.09375,-0.340625,-0.096875,0.0,0.003268029866075025,,-0.7332847116154765,-1.0,0,9,11,True,,exploratory
Q_margin,median_Q_margin,75000,20,-0.0016494605359812676,-0.00024174645120547504,-0.00496021927503739,0.0012193779173845318,97.0,0.7841262817382812,,-0.2273139865901398,0.0,10,0,10,True,,exploratory
minimum_utility,minimum_utility,75000,20,0.43421644675649135,0.43679992123357014,0.325207995040997,0.5394802088286073,1.0,3.814697265625e-06,,1.7411056987087319,0.9,19,0,1,True,,exploratory
mean_utility,mean_utility,75000,20,0.2769139743163027,0.26814457006002207,0.20453058030354673,0.34939032175091883,0.0,1.9073486328125e-06,,1.6311143513305173,1.0,20,0,0,True,,exploratory
swap_eligibility,swap_eligibility,75000,20,0.5375,0.625,0.36875,0.7,0.0,0.000617784266432169,,1.3519746994412434,1.0,15,5,0,True,,exploratory
success,success_rate,100000,20,0.55625,0.625,0.421875,0.6875,0.0,0.00012998103331744964,,1.7936458556032704,1.0,19,1,0,True,,exploratory
collision,collision_rate,100000,20,0.00625,0.0,-0.040625,0.053125,40.5,0.7230087105700101,,0.05835253140307586,0.07692307692307693,7,7,6,True,,exploratory
truncation,truncation_rate,100000,20,-0.5625,-0.59375,-0.703125,-0.415625,1.5,0.00010989418413414259,,-1.675826411232363,-0.9,1,0,19,True,,exploratory
episode_length,mean_episode_length,100000,20,-190.465625,-202.625,-238.448828125,-140.13640625,1.0,3.814697265625e-06,,-1.6377421638498217,-0.9,1,0,19,True,,exploratory
unilateral_stall,unilateral_stall_rate,100000,20,-0.315625,-0.3125,-0.428125,-0.2125,6.0,0.00021005656309913362,,-1.290502938655894,-0.7,3,0,17,True,,exploratory
mutual_yielding,mutual_yielding_rate,100000,20,-0.20625,-0.125,-0.31875,-0.09375,5.5,0.004966787611570957,,-0.7821750141809625,-0.8461538461538461,1,7,12,True,,exploratory
Q_margin,median_Q_margin,100000,20,0.0009784090620648445,-0.00190490020985995,-0.0032882983346417655,0.005839670184794195,99.0,0.8408222198486328,,0.09212480326167591,-0.2,8,0,12,True,,exploratory
minimum_utility,minimum_utility,100000,20,0.4327334867513365,0.47022646499304,0.3236219867582991,0.5405444234315093,1.0,3.814697265625e-06,,1.7164924667512889,0.9,19,0,1,True,,exploratory
mean_utility,mean_utility,100000,20,0.2788122657176408,0.28122489915464655,0.20750810651686052,0.3491721326185454,0.0,1.9073486328125e-06,,1.6713550184286257,1.0,20,0,0,True,,exploratory
swap_eligibility,swap_eligibility,100000,20,0.5625,0.6875,0.4,0.7125,0.0,0.0004103109109569644,,1.5270292013639366,1.0,16,4,0,True,,exploratory
success,success_rate,150000,20,0.378125,0.40625,0.225,0.528125,11.0,0.0007043107025458422,,1.072191684285925,0.6842105263157895,16,1,3,True,,exploratory
collision,collision_rate,150000,20,0.0,0.0,-0.0375,0.0375,35.5,0.7755966140885658,,0.0,-0.16666666666666666,5,8,7,True,,exploratory
truncation,truncation_rate,150000,20,-0.378125,-0.40625,-0.534375,-0.21875,12.0,0.0008253054692195714,,-1.0416458770060506,-0.6842105263157895,3,1,16,True,,exploratory
episode_length,mean_episode_length,150000,20,-134.375,-136.125,-184.10664062499998,-84.56867187499999,10.0,0.000389773883251227,,-1.1687967478840013,-0.8,2,0,18,True,,exploratory
