condition,checkpoint_step,endpoint,n_seeds,mean,sd,median,q25,q75,minimum,maximum,ci_low,ci_high
vanilla_dqn,0,success_rate,20,0.24375,0.34166532947962547,0.09375,0.0,0.375,0.0,1.0,0.109375,0.39695312499999885
vanilla_dqn,0,collision_rate,20,0.215625,0.33716784337368705,0.0,0.0,0.4375,0.0,0.8125,0.08125,0.365625
vanilla_dqn,0,truncation_rate,20,0.540625,0.47307217861993384,0.625,0.0,1.0,0.0,1.0,0.340625,0.74375
vanilla_dqn,0,unilateral_stall_rate,20,0.415625,0.4704574166925766,0.09375,0.0,1.0,0.0,1.0,0.221875,0.61875
vanilla_dqn,0,mutual_yielding_rate,20,0.121875,0.31050349074230693,0.0,0.0,0.0,0.0,1.0,0.0,0.26875
vanilla_dqn,0,median_Q_margin,20,0.089696484809099,0.03365494031143257,0.09222930566174906,0.07155716020264657,0.11227974304763502,0.0190886078832729,0.1698155937308911,0.075173438307794,0.10425431041519409
vanilla_dqn,0,minimum_utility,20,0.22843962490905972,0.27767705945089616,0.12335986600229279,0.035643749999999974,0.25295666057065536,0.02995937499999999,0.8509649962395429,0.11937939196825148,0.356306495819644
vanilla_dqn,0,mean_utility,20,0.6114343053806828,0.17753289756383814,0.6008078366980878,0.5718886503271094,0.6586848700928805,0.2798866497421122,0.9371979648085151,0.5348617784851942,0.6870964365025579
vanilla_dqn,0,swap_eligibility,20,0.1875,0.3331962437394895,0.0,0.0,0.15625,0.0,1.0,0.05625,0.34375
vanilla_dqn,10000,success_rate,20,0.45,0.28648275414246605,0.40625,0.28125,0.578125,0.0,1.0,0.33117187500000006,0.571875
vanilla_dqn,10000,collision_rate,20,0.153125,0.1665672675085449,0.125,0.0,0.265625,0.0,0.625,0.0875,0.228125
vanilla_dqn,10000,truncation_rate,20,0.396875,0.3056990210114655,0.375,0.109375,0.625,0.0,1.0,0.26875,0.53125
vanilla_dqn,10000,unilateral_stall_rate,20,0.384375,0.3116930370446303,0.34375,0.0625,0.625,0.0,1.0,0.25625,0.521875
vanilla_dqn,10000,mutual_yielding_rate,20,0.009375,0.022896721783282704,0.0,0.0,0.0,0.0,0.0625,0.0,0.01875
vanilla_dqn,10000,median_Q_margin,20,0.06252504988168515,0.0415072822718583,0.048333732698830824,0.03787675727275126,0.07384299267290215,0.02272223070922265,0.2057414879999123,0.04719359633656322,0.08245065835021768
vanilla_dqn,10000,minimum_utility,20,0.32368057563276253,0.1970936500932389,0.29808171395662014,0.1717212588415783,0.41895942909570943,0.047017187499999974,0.7463219836886532,0.24117372524878453,0.409978482748466
vanilla_dqn,10000,mean_utility,20,0.7094767337911153,0.08149734376443762,0.6923227740691801,0.6377506272519241,0.7781200579469205,0.587552811864052,0.89466893494791,0.6756507895149703,0.74503612539836
vanilla_dqn,10000,swap_eligibility,20,0.24375,0.31012253520520766,0.125,0.0,0.375,0.0,1.0,0.11875,0.38125
vanilla_dqn,25000,success_rate,20,0.509375,0.3182206647082625,0.4375,0.25,0.828125,0.0,1.0,0.375,0.65
vanilla_dqn,25000,collision_rate,20,0.059375,0.0716206885356165,0.0,0.0,0.125,0.0,0.1875,0.03125,0.090625
vanilla_dqn,25000,truncation_rate,20,0.43125,0.3040975648494549,0.46875,0.109375,0.625,0.0,0.875,0.296875,0.5625
vanilla_dqn,25000,unilateral_stall_rate,20,0.30625,0.23551804601770968,0.34375,0.109375,0.4375,0.0,0.875,0.209375,0.4125
vanilla_dqn,25000,mutual_yielding_rate,20,0.06875,0.15024650797238095,0.0,0.0,0.0,0.0,0.5,0.009375,0.1375
vanilla_dqn,25000,median_Q_margin,20,0.03400422545525831,0.02207757083591778,0.028929908418325725,0.019530471295583947,0.03760916063179087,0.013119615465402551,0.11111456269591015,0.025989520088189257,0.04452054175813356
