episode,total_reward,mean_reward,experience_mode,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,mean_mobility_score,mean_risk_penalty,mean_low_speed_penalty,mean_collision_penalty,reason_collision_steps,reason_low_mobility_steps,reason_low_speed_steps,reason_risk_steps,reason_none_steps,reason_combined_steps,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,mean_neighbourhood_min_experience,final_neighbourhood_min_experience,mean_neighbourhood_gini_experience,mean_neighbourhood_vehicle_count,neighbourhood_least_advantaged_ego_ratio,steps,terminated,truncated
18,7.8026087513172335,0.866956527924137,safety_mobility,-0.08291967359067273,-2.195937145905861,0.2942212528034481,0.24500141745088871,0.40448793431913166,2,2,5.0,0.7049056360667099,0.652606592536833,0.0,0.05555555555555555,1,5,0,3,0,0,0,9,0.0,16.449582175534562,1,-0.05590804273680293,-2.195937145905861,0.2521047015105356,4.0,0.0,9,True,False
19,13.328456667577584,0.8885637778385056,safety_mobility,0.19251721370929217,0.21020718073777017,0.354183402735681,0.2108476247800257,0.16566552885764807,0,0,5.0,0.6751311987167999,0.6661604878978105,0.0,0.0,0,6,0,9,0,0,0,15,0.0,18.108350455091987,0,0.2169499607202954,0.21020718073777017,0.1726957699665585,3.933333333333333,0.0,15,True,False
20,4.2555555555555555,0.8511111111111112,safety_mobility,-0.10627024699531643,-1.8170987755588799,0.31281264160910816,0.2128659688882492,0.387977754994951,2,2,5.0,0.7972906469944019,0.5705344682389045,0.0,0.1,1,2,0,2,0,0,0,5,0.0,19.797406918344524,1,0.011023039798668676,-1.8170987755588799,0.1754186317554038,3.6,0.0,5,True,False
21,6.719276330716298,0.8399095413395372,safety_mobility,-0.03877795500939907,-2.1943519324832135,0.26064328255831015,0.25452669569452335,0.5734955646817765,3,3,5.0,0.7338616641880752,0.6581783374428252,0.0,0.09375,1,2,0,5,0,0,0,8,0.0,18.27747877335338,1,0.03740186935029993,-2.1943519324832135,0.2192394387542613,3.75,0.0,8,True,False
22,11.785056898911744,0.7856704599274497,safety_mobility,-0.04567034842712099,-0.7197188093305416,0.32210222601254007,0.21694737845353027,0.25153490814456747,0,0,5.0,0.6582639219466445,0.5086224864933752,0.016666666666666666,0.0,0,11,0,4,0,0,0,15,0.0,11.445404060416077,0,0.1644008381709607,0.20677077803494853,0.20222151646729813,3.2,0.06666666666666667,15,True,False
23,3.985982676612024,0.7971965353224049,safety_mobility,-0.1853018265757836,-2.0318225415879403,0.2642021183674318,0.2269979429074609,0.3996903974649695,2,2,5.0,0.7245912781087609,0.5469225693302799,0.0,0.1,1,3,0,1,0,0,0,5,0.0,17.059565262232777,1,-0.13329932036085007,-2.0318225415879403,0.2204840068496292,4.0,0.0,5,True,False
24,11.602603520033947,0.8925079630795344,safety_mobility,0.11111377267007791,0.005087280249227277,0.390859981254357,0.29578632235421487,0.36901468680216,0,0,5.0,0.703646896132504,0.6141303327463695,0.0,0.0,0,10,0,3,0,0,0,13,0.0,15.367661337126465,0,0.20925340817260832,0.4202997814394042,0.2271178162978512,3.4615384615384617,0.0,13,True,False
25,6.164017219271274,0.8805738884673249,safety_mobility,-0.03648512164882473,-2.0897724955304287,0.3152574006244632,0.21907678037455766,0.4103228672805357,2,2,5.0,0.7501701382741954,0.6580466797518508,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,18.757475012055515,1,0.008891289961900282,-2.0897724955304287,0.19712383697319252,3.857142857142857,0.0,7,True,False
26,7.124970740702333,0.8906213425877916,safety_mobility,-0.06643260446158919,-2.026581069395246,0.3208515622351566,0.2560082449050656,0.39392842549369256,2,2,5.0,0.7292845529352218,0.6134666378859226,0.0,0.0625,1,5,0,2,0,0,0,8,0.0,16.73424355857243,1,-0.0034512295555362005,-2.026581069395246,0.2424526493041763,3.75,0.0,8,True,False
27,5.015912114080115,0.8359853523466859,safety_mobility,-0.08861832663816487,-2.111307621031889,0.30249745800592315,0.2176998434958193,0.4063967298185087,2,2,5.0,0.754934408204944,0.593531417191106,0.0,0.08333333333333333,1,1,0,4,0,0,0,6,0.0,18.412483044604148,1,-0.007389157976057215,-2.111307621031889,0.191127103275564,3.6666666666666665,0.0,6,True,False
28,6.133407261944979,0.8762010374207112,safety_mobility,-0.025064991004844606,-1.8254547749570775,0.3285498186465678,0.2433962493284781,0.39563380266664705,2,2,5.0,0.7769509361804676,0.6182505508248084,0.0,0.07142857142857142,1,1,0,5,0,0,0,7,0.0,19.84491069270887,1,0.06376541176632666,-1.8254547749570775,0.20216834143912266,3.7142857142857144,0.0,7,True,False
29,10.418844517347278,0.7442031798105199,safety_mobility,-0.09691325944888088,-2.113180298689404,0.2563544687104179,0.28188959526404284,0.4532906575847302,2,2,5.0,0.6638010840493099,0.7234708469534868,0.0,0.047619047619047616,1,7,0,6,0,0,0,14,0.0,13.66731324764204,1,-0.005453191268233816,-2.113180298689404,0.22829322576955965,3.7142857142857144,0.0,14,True,False
30,6.1637207751607415,0.8805315393086773,safety_mobility,-0.047903648692970514,-2.1764817855845844,0.30681426327670974,0.2125714150282957,0.4074985606099788,2,2,5.0,0.742155234404053,0.6664230688204318,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,18.462350440076285,1,-0.015423341768168048,-2.1764817855845844,0.1960917222300591,3.857142857142857,0.0,7,True,False
31,5.95868389575893,0.8512405565369899,safety_mobility,-0.04009604658280847,-2.064223104719278,0.3014614861277894,0.22890751592170858,0.4062442325018103,2,2,5.0,0.7484511898596881,0.6615488965413482,0.0,0.07142857142857142,1,0,0,6,0,0,0,7,0.0,19.051841217849507,1,-0.010758478599780677,-2.064223104719278,0.2155155285753398,4.0,0.0,7,True,False
32,4.933834790079648,0.822305798346608,safety_mobility,-0.09068002188335718,-2.1333689562566756,0.3105792529632124,0.22160594085627605,0.4040495866173992,2,2,5.0,0.7525863969588752,0.6044145232264778,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,18.3017678888553,1,-0.024912049910525536,-2.1333689562566756,0.2008280710208611,3.8333333333333335,0.0,6,True,False
33,5.01248041378191,0.835413402296985,safety_mobility,-0.08519847875618762,-2.086881205646558,0.2894685368915292,0.21962826696566498,0.4011405978292011,2,2,5.0,0.7566397468221878,0.6419903295134495,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,18.78172717690666,1,-0.04597289211183556,-2.086881205646558,0.21373859787807425,4.0,0.0,6,True,False
34,4.031205005449562,0.8062410010899124,safety_mobility,-0.25571221192949,-2.202909628497257,0.21866168502721664,0.26148713292161646,0.40247370560586515,2,2,5.0,0.7153251758197655,0.5679494085404659,0.0,0.1,1,3,0,1,0,0,0,5,0.0,15.975323077420697,1,-0.16254359250566036,-2.202909628497257,0.22847518234807937,3.8,0.0,5,True,False
35,13.80067889000853,0.8625424306255332,safety_mobility,0.2095319178243342,0.15727966250170827,0.346931748219,0.21893282899753333,0.27009745428299636,0,0,5.0,0.6731000007953885,0.6723034203598409,0.0,0.0,0,8,0,8,0,0,0,16,0.0,18.056905438492045,0,0.2499284519236372,0.15727966250170827,0.12033987054011824,4.0,0.0,16,True,False
36,8.467920659058933,0.7698109690053575,safety_mobility,-0.054559533358506496,-2.1247491913139056,0.2794247678356199,0.2842862522281766,0.44814199901932317,2,2,5.0,0.6806753918299081,0.7085940818440872,0.0,0.045454545454545456,1,4,0,6,0,0,0,11,0.0,16.47949976278901,1,0.008568892832345703,-2.1247491913139056,0.2102705774315609,3.8181818181818183,0.0,11,True,False
37,4.206924858226355,0.8413849716452709,safety_mobility,-0.14079540518310277,-2.0841265476969557,0.28977215381588334,0.2000197245461388,0.39960715252253065,2,2,5.0,0.7549390784895598,0.5975328914113247,0.0,0.1,1,0,0,4,0,0,0,5,0.0,18.304358835221272,1,-0.07831730282097737,-2.0841265476969557,0.18840681888939187,3.8,0.0,5,True,False
38,3.2594937908125634,0.8148734477031409,safety_mobility,-0.3058708337288096,-1.9945937554036006,0.23555967401492947,0.24985533748597333,0.3738467466620967,2,2,5.0,0.7624063063608468,0.5439905434296284,0.0,0.1,1,1,0,2,0,0,0,4,0.0,16.72379468431512,1,-0.24855363432736455,-1.9945937554036006,0.23116120406727864,4.0,0.0,4,True,False
39,6.960183067269974,0.8700228834087468,safety_mobility,-0.09314734349551881,-2.1923101842239494,0.30447701101196023,0.25155094033396347,0.40782020629586757,2,2,5.0,0.7051582752714222,0.6342452271976713,0.0,0.0625,1,6,0,1,0,0,0,8,0.0,15.69003518697607,1,-0.06570399352667741,-2.1923101842239494,0.24376351258109982,3.875,0.0,8,True,False
40,10.880752155210692,0.7771965825150494,safety_mobility,0.00922693655286777,-0.6362831865856893,0.34643747906499556,0.24666220991702123,0.22872276423355808,0,0,5.0,0.6724949871336909,0.4585411166033803,0.017857142857142856,0.0,0,12,0,2,0,0,0,14,0.0,12.902407887589122,0,0.24648652118913614,0.2180396087425518,0.16308959130026254,3.357142857142857,0.0,14,True,False
41,8.35405032872603,0.835405032872603,safety_mobility,0.0031924116035594086,-2.054757921175398,0.30397682962170497,0.20155838571262813,0.3821998703329039,2,2,5.0,0.6888105412078052,0.5926959859719817,0.0,0.05,1,4,0,5,0,0,0,10,0.0,17.288023084490714,1,0.04086939780707573,-2.054757921175398,0.20274930249132997,3.9,0.0,10,True,False
42,10.965080443037392,0.783220031645528,safety_mobility,-0.019294095244166014,-0.7152713447614361,0.3076866194854488,0.24062076635239596,0.23858265782072285,0,0,5.0,0.6508694476880231,0.5802372592724881,0.017857142857142856,0.0,0,12,0,2,0,0,0,14,0.0,12.654876060770844,0,0.09840909882845672,0.3118096416076721,0.21675163080896503,3.5714285714285716,0.0,14,True,False
43,4.9137207751607415,0.8189534625267902,safety_mobility,-0.1138498782905345,-2.1738330246080744,0.29622380054640446,0.2297587842102894,0.4062231712457114,2,2,5.0,0.7494164624816485,0.6272067752008382,0.0,0.08333333333333333,1,0,0,5,0,0,0,6,0.0,18.104550827018937,1,-0.04185006262833768,-2.1738330246080744,0.20429316022274016,3.8333333333333335,0.0,6,True,False
44,6.828253339504391,0.8535316674380489,safety_mobility,-0.01834510163682923,-2.090639821359925,0.3034604888956557,0.21885110792983964,0.4146499837179358,2,2,5.0,0.7319621196581865,0.698266016184405,0.0,0.0625,1,1,0,6,0,0,0,8,0.0,18.50476185533371,1,0.017677493679835787,-2.090639821359925,0.18461274997875365,3.875,0.0,8,True,False
45,4.173295425907462,0.8346590851814923,safety_mobility,-0.2493144231997359,-2.222052676759305,0.22907907725642832,0.24757993612341522,0.397199412105806,2,2,5.0,0.7229966088443452,0.5329706865550099,0.0,0.08,1,3,0,1,0,0,0,5,0.0,15.703396073652565,1,-0.161164576338959,-2.222052676759305,0.2018772076646401,4.0,0.0,5,True,False
46,10.668900681508998,0.8206846678083844,safety_mobility,-0.015449751957305375,-1.827700698769579,0.29941958009745334,0.2835269663605738,0.4096082045282263,2,2,5.0,0.6862337562474676,0.7121379389159833,0.0,0.038461538461538464,1,6,0,6,0,0,0,13,0.0,16.55488641345105,1,0.03822965929594488,-1.827700698769579,0.20219662178965822,3.8461538461538463,0.0,13,True,False
47,3.1973893004115226,0.7993473251028806,safety_mobility,-0.30218457543025284,-2.030773557888321,0.22329493990030636,0.2355884947150117,0.38400177824354986,2,2,5.0,0.7644582343315471,0.5338335165089748,0.0,0.1,1,2,0,1,0,0,0,4,0.0,17.403816327641486,1,-0.2062677945970567,-2.030773557888321,0.18766397070033075,3.75,0.0,4,True,False
48,10.306712313846278,0.7928240241420214,safety_mobility,-0.03975724938910131,-2.1541566086860575,0.29296537751360685,0.24613447149901718,0.4006925847455778,2,2,5.0,0.6658326741288751,0.5242818484445345,0.0,0.03076923076923077,1,10,0,2,0,0,0,13,0.0,15.785327911040914,1,0.03588722457029038,-2.1541566086860575,0.21321094029053425,4.230769230769231,0.07692307692307693,13,True,False
49,11.088328943826177,0.792023495987584,safety_mobility,-0.021274194902033337,-1.944061052288335,0.3194598768691446,0.26450232401580714,0.41691747359000075,2,2,5.0,0.6789747157451388,0.5828444708044758,0.0,0.03571428571428571,1,9,0,4,0,0,0,14,0.0,16.17145863094961,1,0.04608018602187799,-1.944061052288335,0.23364054116104568,4.285714285714286,0.0,14,True,False
50,7.6606473408335525,0.8511830378703947,safety_mobility,0.028654095201618397,-2.193675390381805,0.315616193111075,0.19701390103594865,0.40489500028344283,2,2,5.0,0.7019615553278674,0.6482339677450952,0.0,0.05555555555555555,1,2,0,6,0,0,0,9,0.0,18.192229251911172,1,0.05353485479848392,-2.193675390381805,0.14827146525251905,3.888888888888889,0.0,9,True,False
51,13.206938048591137,0.8254336280369461,safety_mobility,0.13111117380004095,0.29901872128729734,0.3570067962770227,0.21084175083074425,0.09331935853167139,0,0,5.0,0.6617423548977165,0.558459183707091,0.0,0.0,0,12,0,4,0,0,0,16,0.0,15.296210606280194,0,0.1700686514460261,0.29901872128729734,0.19838684898350345,4.25,0.0,16,True,False
52,4.013388990771998,0.8026777981543995,safety_mobility,-0.24126865034085476,-2.239297811355769,0.22979101444804462,0.22456292023907376,0.3998540151263865,2,2,5.0,0.7150098263092677,0.5493928041882821,0.0,0.08,1,2,0,2,0,0,0,5,0.0,15.993049494676702,1,-0.17183399666409338,-2.239297811355769,0.19938425521023934,4.0,0.2,5,True,False
53,6.864055904003449,0.8580069880004311,safety_mobility,-0.010179444418006695,-1.9891356608268254,0.33394359494976267,0.22620175632243278,0.39240982878999775,2,2,5.0,0.7582850862447508,0.6484293667496184,0.0,0.0625,1,2,0,5,0,0,0,8,0.0,18.959124225733056,1,0.06944227871104752,-1.9891356608268254,0.1886464076252543,3.75,0.0,8,True,False
54,10.355253820262675,0.8629378183552229,safety_mobility,0.0908133893980944,-0.14188082696565946,0.3933459394775036,0.2694399398109674,0.2835160357166271,0,0,5.0,0.7142285819168688,0.6235174433450202,0.0,0.0,0,9,0,3,0,0,0,12,0.0,14.390665852784236,0,0.21595906652010818,0.4107567341616794,0.2506408789085025,3.25,0.0,12,True,False
55,7.0174986092462355,0.8771873261557794,safety_mobility,-0.014035802170178469,-2.187827745763903,0.30425928049963613,0.22368483796974836,0.4155746630550379,2,2,5.0,0.7198315186452973,0.6613279426860212,0.0,0.0625,1,1,0,6,0,0,0,8,0.0,18.352787988012782,1,0.02119932910030814,-2.187827745763903,0.17342061665904251,3.875,0.0,8,True,False
56,6.959134752224967,0.8698918440281209,safety_mobility,0.0004015121980093239,-1.976534943602729,0.31883284468290374,0.19946556276203672,0.40133317454572603,2,2,5.0,0.7256449949554454,0.5260567479714375,0.0,0.0625,1,4,0,3,0,0,0,8,0.0,18.93181987583535,1,0.11518009934828174,-1.976534943602729,0.1527048972323467,3.625,0.0,8,True,False
57,7.020342904366522,0.7800381004851692,safety_mobility,-0.07514649424474842,-2.2141476283411667,0.22988120221306024,0.24033778197712824,0.41303994558986434,2,2,5.0,0.6463553812297669,0.4783601061030628,0.0,0.05555555555555555,1,6,0,2,0,0,0,9,0.0,15.228625276309863,1,0.018675422160433126,-2.2141476283411667,0.19408081142221348,3.2222222222222223,0.0,9,True,False
58,3.380338850723562,0.8450847126808905,safety_mobility,-0.2771448561601797,-1.9592724453393717,0.23755883202054348,0.23394415361429,0.3840918558302129,2,2,5.0,0.7763742547137966,0.5498200056838979,0.0,0.1,1,2,0,1,0,0,0,4,0.0,17.77563692223525,1,-0.19251597032150586,-1.9592724453393717,0.19292198395224636,4.0,0.0,4,True,False
59,10.548740862302212,0.8114416047924778,safety_mobility,0.09012978729968356,-1.9112493129141663,0.30099554884492546,0.1842131036614732,0.3963365040105389,2,2,5.0,0.6685854482500966,0.41008807818716264,0.0,0.03076923076923077,1,11,0,1,0,0,0,13,0.0,18.770394470275477,1,0.19660793261812085,-1.9112493129141663,0.11890393468993701,3.230769230769231,0.0,13,True,False
60,3.9541223943975945,0.7908244788795189,safety_mobility,-0.25160189227793933,-2.243192045634656,0.22588248746161727,0.23665342414679488,0.39735380436268497,2,2,5.0,0.7144775695508125,0.5460755324011544,0.0,0.08,1,3,0,1,0,0,0,5,0.0,15.608506082084556,1,-0.1867413468761625,-2.243192045634656,0.20983523742856786,4.0,0.0,5,True,False
61,13.333390525067976,0.8888927016711984,safety_mobility,0.18189163370338635,0.21758290442984812,0.3848776818427863,0.2306706780317791,0.22085696496910368,0,0,5.0,0.686615793681988,0.6067745648730942,0.0,0.0,0,5,0,10,0,0,0,15,0.0,17.643295428479846,0,0.20012014975971495,0.21758290442984812,0.2110830330920163,3.933333333333333,0.0,15,True,False
62,11.067935118255082,0.8513796244811602,safety_mobility,0.07766607465131108,-0.08566602865118128,0.373833511402287,0.2634448777241298,0.3282538581101506,0,0,5.0,0.7100245021041235,0.6143668313893247,0.0,0.0,0,12,0,1,0,0,0,13,0.0,13.972089420769997,0,0.1952386173353064,0.46736423256529847,0.24110965688779393,3.4615384615384617,0.0,13,True,False
63,4.222222222222222,0.8444444444444444,safety_mobility,-0.10045851726431425,-1.7729755916811254,0.306473275747136,0.21151292866868404,0.3843641112698588,2,2,5.0,0.7941312325403267,0.5517760880351225,0.0,0.1,1,2,0,2,0,0,0,5,0.0,20.06185937858691,1,0.00033492548067939334,-1.7729755916811254,0.18442578648290162,3.8,0.0,5,True,False
64,7.682882607450036,0.853653623050004,safety_mobility,-0.10573858830278048,-2.1916968705117306,0.28944376977191166,0.2537736271625759,0.382131900593909,2,2,5.0,0.6793757132256711,0.6003194852234226,0.0,0.05555555555555555,1,6,0,2,0,0,0,9,0.0,14.84624150116477,1,-0.07894334550892618,-2.1916968705117306,0.252805296528952,4.0,0.0,9,True,False
65,5.889406718262441,0.8413438168946344,safety_mobility,-0.030272613494445544,-2.1132775763041445,0.3081620431469498,0.20588108370973138,0.40748000656562366,2,2,5.0,0.7408673187569645,0.5922485449246215,0.0,0.07142857142857142,1,1,0,5,0,0,0,7,0.0,18.610051181624446,1,0.03892268077963568,-2.1132775763041445,0.1805355434609994,3.7142857142857144,0.0,7,True,False
66,6.150337776289965,0.8786196823271378,safety_mobility,0.01714403769517652,-1.7804485428280563,0.32195074468317897,0.19421421007164344,0.4092455129674031,2,2,5.0,0.7483244104442919,0.6005394923523715,0.0,0.07142857142857142,1,1,0,5,0,0,0,7,0.0,20.035302046424203,1,0.07699689983123092,-1.7804485428280563,0.16768480129757615,4.142857142857143,0.0,7,True,False
67,6.760792046700376,0.845099005837547,safety_mobility,-0.05924050016174873,-1.945404481698462,0.3116840706143156,0.2669018618266171,0.421047841227123,2,2,5.0,0.7343311673392539,0.6463538966088161,0.0,0.0625,1,2,0,5,0,0,0,8,0.0,17.967895577727447,1,0.0007854590882752366,-1.945404481698462,0.2363692446273435,3.75,0.0,8,True,False
68,11.183586063562059,0.7455724042374706,safety_mobility,-0.07178723191747985,-0.7211188427349892,0.3028011926131247,0.2709707379081424,0.2541454544806647,0,0,5.0,0.6230366594907236,0.5896007013546289,0.03333333333333333,0.0,0,13,0,2,0,0,0,15,0.0,10.936858254072602,0,0.03916886071531976,0.3985039613960967,0.22088285232109647,3.7333333333333334,0.06666666666666667,15,True,False
69,3.870467765587565,0.774093553117513,safety_mobility,-0.25049504741292616,-2.1570064688775554,0.23661707844656948,0.23521180111196438,0.3844876840943492,2,2,5.0,0.7261615756786676,0.5761240742452368,0.0,0.08,1,2,0,2,0,0,0,5,0.0,15.369870812977116,1,-0.2073461831556848,-2.1570064688775554,0.22355009571444256,4.2,0.0,5,True,False
70,6.840097655926192,0.855012206990774,safety_mobility,-0.07058843517697619,-2.163378042713821,0.3073228899999469,0.2378112690540382,0.4079570866681954,2,2,5.0,0.7250885635354614,0.6541340954629294,0.0,0.0625,1,3,0,4,0,0,0,8,0.0,17.367255685010512,1,-0.03563865649702927,-2.163378042713821,0.22975625559656776,3.75,0.0,8,True,False
71,5.606709943948878,0.8009585634212683,safety_mobility,-0.14609286941407834,-2.2047562390777813,0.23433714411940243,0.22104128029455491,0.40933067261760603,2,2,5.0,0.6470018628130912,0.4666800730677999,0.0,0.07142857142857142,1,5,0,1,0,0,0,7,0.0,15.04626040868844,1,-0.09622970012231612,-2.2047562390777813,0.22829248810907998,3.7142857142857144,0.0,7,True,False
