path,sha256,size_bytes,mtime_ns,label,captured_at_utc
experiments/formal/stage6b_h1/output/data/secondary_endpoints_h1.csv,4aa04871566115b163b75f25c84c1ea5468dddeb2a5ab6cd9d7e134d4cecf872,9852,1785431717985063800,formal,2026-07-30T22:42:44.210967+00:00
experiments/formal/stage6b_h1/output/diagnostics/checkpoint_integrity_after.csv,c0b83b964d0e5bab970a4a6f2b7ccd414df122f610cee32ec67fe1216cd8c128,4886,1785431714152868400,formal,2026-07-30T22:42:44.211667+00:00
experiments/formal/stage6b_h1/output/diagnostics/checkpoint_integrity_before.csv,c0b83b964d0e5bab970a4a6f2b7ccd414df122f610cee32ec67fe1216cd8c128,4886,1785431573461409400,formal,2026-07-30T22:42:44.212386+00:00
experiments/formal/stage6b_h1/output/diagnostics/controller_swap_diagnostics_h1.csv,8acc139acf42a9d230d7b1ce22f497b79c85e195926487607ed0ff52e8f95a8b,1942,1785431717989060500,formal,2026-07-30T22:42:44.213112+00:00
experiments/formal/stage6b_h1/output/diagnostics/convention_availability_h1.csv,c41628d5a2bc4970065ff13c01ff501ed3e5eb86cf7dbca19521eeb6427aa905,273,1785431717986066300,formal,2026-07-30T22:42:44.214236+00:00
experiments/formal/stage6b_h1/output/diagnostics/endpoint_only_note.csv,182eb0b93036914d3808e1deab31bc5fd498cd42d2af71e07ca01598625b0329,138,1785431717990062400,formal,2026-07-30T22:42:44.214928+00:00
experiments/formal/stage6b_h1/output/diagnostics/nonutility_mismatches.csv,058f70d94399aabc7a91305fb4429a13b9a24aa21ced6af74447946a7d2ad0fc,56,1785431783716404200,formal,2026-07-30T22:42:44.215807+00:00
experiments/formal/stage6b_h1/output/diagnostics/paper_file_integrity_after.csv,fec5daf4f85433ad4d012ab2660d7af286c9ffe20c7346574638e68b39514b1f,396,1785431719358495300,formal,2026-07-30T22:42:44.216572+00:00
experiments/formal/stage6b_h1/output/diagnostics/paper_file_integrity_before.csv,fec5daf4f85433ad4d012ab2660d7af286c9ffe20c7346574638e68b39514b1f,396,1785429880702212200,formal,2026-07-30T22:42:44.217343+00:00
experiments/formal/stage6b_h1/output/figures/data/fig_collision_endpoint_by_seed.csv,62eb96dbabc5b4ed895f5210e6a58150e7f5892aae30b3b9ade0a0e9e5c71ab6,675,1785431718704862100,formal,2026-07-30T22:42:44.218080+00:00
experiments/formal/stage6b_h1/output/figures/data/fig_mean_utility_endpoint_by_seed.csv,11634af06b931681a47b2f0d810c9812ff0f11218e0a221ae8df4264171e9c40,1092,1785431719095712400,formal,2026-07-30T22:42:44.218937+00:00
experiments/formal/stage6b_h1/output/figures/data/fig_minimum_utility_endpoint_by_seed.csv,9bd4c67ad1f04bcb50c043662487e2db7547f6dd3c24286a0c0407883dc182cb,1101,1785431719358495300,formal,2026-07-30T22:42:44.220098+00:00
experiments/formal/stage6b_h1/output/figures/data/fig_success_endpoint_by_seed.csv,707579c1e962d9bff19a8bc3107fd1c8219b1ef6e90d2ffa15a151dd3f8515fa,683,1785431718294386000,formal,2026-07-30T22:42:44.222226+00:00
experiments/formal/stage6b_h1/output/figures/fig_collision_endpoint_by_seed.png,877f7013844f066a1b7de84f44c95f52481513a0bfe423a9d9bed6ded23d2dca,96060,1785431718702874400,formal,2026-07-30T22:42:44.223575+00:00
