episode,step,min_experience,least_advantaged_index,least_advantaged_is_ego,least_advantaged_speed,least_advantaged_crashed,n_vehicles
0,0,0.6666666666666666,4,False,20.0,False,5
0,1,0.6666666666666666,4,False,20.0,False,5
0,2,0.6666666666666666,4,False,20.0,False,5
0,3,0.6564831027088717,3,False,19.69449308126615,False,5
0,4,0.6446925391430143,3,False,19.34077617429043,False,5
0,5,0.638777140979043,3,False,19.16331422937129,False,5
0,6,0.5860297629323943,4,False,17.580892887971828,False,5
0,7,0.5167356546788677,2,False,15.502069640366031,False,5
0,8,0.4798800845852693,2,False,14.39640253755808,False,5
0,9,0.4888720712236818,2,False,14.666162136710454,False,5
0,10,0.5263778256961834,2,False,15.791334770885504,False,5
0,11,0.5790065786855709,2,False,17.37019736056713,False,5
0,12,0.5751358073451409,2,False,17.254074220354227,False,5
0,13,-0.5947853934604403,2,False,12.156438196186791,True,5
1,0,0.6666666666666666,4,False,20.0,False,5
1,1,0.6666666666666666,4,False,20.0,False,5
1,2,0.665052329820658,3,False,19.95156989461974,False,5
1,3,0.6541574362630261,3,False,19.624723087890786,False,5
1,4,0.6502955471882278,3,False,19.508866415646835,False,5
1,5,0.6442873903936174,3,False,19.32862171180852,False,5
1,6,-0.7265514040488843,1,False,8.203457878533472,True,5
2,0,0.6666666666666666,4,False,20.0,False,5
2,1,0.6666666666666666,4,False,20.0,False,5
2,2,0.6552964150959723,3,False,19.65889245287917,False,5
2,3,0.6160072717852192,3,False,18.480218153556574,False,5
2,4,0.62539354706119,3,False,18.7618064118357,False,5
2,5,0.6308991979708554,3,False,18.92697593912566,False,5
2,6,0.5602661430019253,4,False,16.80798429005776,False,5
2,7,0.47847377584833384,4,False,14.354213275450014,False,5
2,8,0.3894117529271972,4,False,11.682352587815917,False,5
2,9,0.2881279683876553,4,False,8.643839051629659,False,5
2,10,0.18414893879352506,4,False,5.524468163805752,False,5
2,11,0.09611182553055701,4,False,2.8833547659167102,False,5
2,12,-0.6160562871396156,2,False,11.518311385811534,True,5
3,0,0.6666666666666666,4,False,20.0,False,5
3,1,0.634015257013383,2,False,19.02045771040149,False,5
3,2,0.5070494961344832,2,False,15.211484884034498,False,5
3,3,0.49538094486442125,2,False,14.861428345932637,False,5
3,4,0.5073767933798937,2,False,15.221303801396813,False,5
3,5,0.5245551455487063,2,False,15.73665436646119,False,5
3,6,0.5350987857963444,3,False,16.05296357389033,False,5
3,7,0.47847377584833384,4,False,14.354213275450014,False,5
3,8,0.3894117529271972,4,False,11.682352587815917,False,5
3,9,0.2881279683876553,4,False,8.643839051629659,False,5
3,10,0.18414893879352506,4,False,5.524468163805752,False,5
3,11,0.09493526046141296,4,False,2.848057813842389,False,5
3,12,0.03341116188646712,4,False,1.0023348565940136,False,5
3,13,0.0007448530482610548,4,False,0.022345591447831645,False,5
3,14,-0.011006677368760607,4,False,-0.3302003210628182,False,5
3,15,-0.0118079094667407,4,False,-0.354237284002221,False,5
4,0,0.6666666666666666,4,False,20.0,False,5
4,1,0.6666666666666666,4,False,20.0,False,5
4,2,0.6666666666666666,4,False,20.0,False,5
4,3,0.6453648290234983,3,False,19.36094487070495,False,5
4,4,0.6289284094895784,3,False,18.867852284687352,False,5
4,5,0.6265685140494439,3,False,18.797055421483318,False,5
4,6,0.5860297629323943,4,False,17.580892887971828,False,5
4,7,0.4055253459870238,1,False,12.165760379610713,False,5
4,8,0.39597984766364325,1,False,11.879395429909298,False,5
4,9,-0.7961957278912603,1,False,6.114128163262192,True,5
