episode,total_reward,mean_reward,metric_scope,experience_mode,ego_neighbourhood_radius,mean_scoped_vehicle_count,mean_min_experience,final_min_experience,mean_vehicle_experience,mean_gini_experience,final_gini_experience,total_collision_count,final_collision_count,mean_n_vehicles,mean_mobility_score,mean_risk_penalty,mean_low_speed_penalty,mean_collision_penalty,least_advantaged_ego_steps,least_advantaged_non_ego_steps,least_advantaged_ego_ratio,mean_least_advantaged_speed,least_advantaged_crash_steps,reason_collision_steps,reason_low_mobility_steps,reason_low_speed_steps,reason_risk_steps,reason_none_steps,reason_combined_steps,steps,terminated,truncated,mean_original_reward,mean_rawlsian_reward,rawlsian_reward_sum,seed,model_type
14,8.652511358552207,0.8652511358552207,ego_neighbourhood,safety_mobility,50.0,4.1,0.03934700573729377,-2.121167774449652,0.2568474104822961,0.1823788834095768,0.4784244635604793,2,2,5.0,0.691795110768225,0.6698954005718573,0.0,0.05,0,10,0.0,18.45249855852701,1,1,2,0,7,0,0,10,True,False,0.0,0.0,0.0,0,baseline
15,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.1361245447172137,0.2617616315870138,0.3082034158354831,0.17944459507087476,0.11142949261300239,0,0,5.0,0.6518160903043965,0.6872253489378265,0.0,0.0,1,14,0.06666666666666667,14.50111107926025,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
16,3.352561072945784,0.838140268236446,ego_neighbourhood,safety_mobility,50.0,4.0,-0.22068932626155519,-1.9809664492711967,0.2903176540489695,0.20630405708532112,0.3805802835145804,2,2,5.0,0.7694811824019097,0.5583270567058807,0.0,0.1,0,4,0.0,18.7560781091799,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
17,3.320167204321904,0.830041801080476,ego_neighbourhood,safety_mobility,50.0,4.0,-0.24064142142070366,-2.0412516840678765,0.2921472301571808,0.21371751439029057,0.3864172213205994,2,2,5.0,0.7561824486954747,0.5280704370765876,0.0,0.1,0,4,0.0,17.948090445329797,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
18,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.14407798837316702,0.2925991503463403,0.3194432545859148,0.17332376374298264,0.05735680727327064,0,0,5.0,0.6538417427289595,0.6687969762860896,0.0,0.0,1,14,0.06666666666666667,14.499409191659431,0,0,10,0,5,0,0,15,True,False,0.0,0.0,0.0,0,baseline
19,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.13701317796219825,0.2669366327858255,0.30959186870388167,0.18035258128319023,0.10850385662904416,0,0,5.0,0.6520889667514513,0.6849941960951391,0.0,0.0,1,14,0.06666666666666667,14.554071171756455,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
20,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.14225260698295492,0.31399157609757233,0.31770340930677465,0.1647560253241222,0.006971821421410507,0,0,5.0,0.6530970314692849,0.6707872443250203,0.0,0.0,1,14,0.06666666666666667,14.560976631000946,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
21,8.579711342015296,0.8579711342015296,ego_neighbourhood,safety_mobility,50.0,3.8,0.0481784464244094,-2.2569250062701998,0.23612005205834014,0.13146402422138265,0.4916279695575616,2,2,5.0,0.6893275047849176,0.7064149054531548,0.0,0.05,0,10,0.0,18.331741973704943,1,1,3,0,6,0,0,10,True,False,0.0,0.0,0.0,0,baseline
22,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,4.066666666666666,0.2265797568816436,0.29761462220255785,0.3349869765045426,0.1404425927046681,0.04862105846800202,0,0,5.0,0.6696828966691037,0.6693918403291225,0.0,0.0,0,15,0.0,17.930424539537057,0,0,7,0,8,0,0,15,True,False,0.0,0.0,0.0,0,baseline
23,8.585753100272196,0.8585753100272197,ego_neighbourhood,safety_mobility,50.0,3.9,0.047125619372101205,-2.244199897281631,0.23635112698777813,0.13293313662211512,0.49078750221786094,2,2,5.0,0.687641275401333,0.7025802968271101,0.0,0.05,0,10,0.0,18.273949685495822,1,1,3,0,6,0,0,10,True,False,0.0,0.0,0.0,0,baseline
24,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,4.0,0.20626055393552337,0.21100586091770018,0.3265363317799829,0.15504478627138518,0.16212500112183847,0,0,5.0,0.6753088548741661,0.6975450461883663,0.0,0.0,0,15,0.0,18.656864331582764,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
25,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,4.066666666666666,0.2439192537819864,0.32862454546187114,0.3410783562363943,0.11955588166414569,0.022992301443121255,0,0,5.0,0.6681406877271195,0.6541246629814508,0.0,0.0,0,15,0.0,18.035872814195855,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
26,8.745123000595632,0.8745123000595632,ego_neighbourhood,safety_mobility,50.0,4.0,0.012541738544902791,-2.025665806490397,0.25812228309362667,0.19843237844320927,0.4634953324575295,2,2,5.0,0.6926515542143578,0.6690585422414621,0.0,0.05,0,10,0.0,18.209705306611887,1,1,3,0,6,0,0,10,True,False,0.0,0.0,0.0,0,baseline
27,8.614555280714914,0.8614555280714914,ego_neighbourhood,safety_mobility,50.0,3.9,0.04989747633405184,-2.189351980424754,0.2534603755646227,0.14423372615069877,0.48591285346478075,2,2,5.0,0.6905014407905964,0.6740821304519472,0.0,0.05,0,10,0.0,18.312739598566555,1,1,3,0,6,0,0,10,True,False,0.0,0.0,0.0,0,baseline
28,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.13432991146222414,0.2531869105993248,0.3091036202110271,0.19455917437770642,0.13639088036768898,0,0,5.0,0.6519841896939379,0.6857611389658216,0.0,0.0,1,14,0.06666666666666667,14.593930963236108,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
29,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.14049084201697554,0.2799817749196344,0.3078127065637713,0.1673563897296799,0.06753400662450049,0,0,5.0,0.6514167275147712,0.6872080419019998,0.0,0.0,1,14,0.06666666666666667,14.504876522947153,0,0,9,0,6,0,0,15,True,False,0.0,0.0,0.0,0,baseline
30,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.20963431023298845,0.2175401861702021,0.3299198471737036,0.15616677089766554,0.15979390971247165,0,0,5.0,0.6750364338075203,0.6902331732676334,0.0,0.0,0,15,0.0,18.473510555581445,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
31,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.23628037779194855,0.30333373736164426,0.33743278475401356,0.12496302830648151,0.04105011741095521,0,0,5.0,0.6708784435845019,0.6668913176609768,0.0,0.0,0,15,0.0,17.86745420125626,0,0,7,0,8,0,0,15,True,False,0.0,0.0,0.0,0,baseline
32,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,4.0,0.13529018767130868,0.30486124034242157,0.3173447107123388,0.17911116825962783,0.032130821624047456,0,0,5.0,0.6508296999314787,0.6669699784382801,0.0,0.0,1,14,0.06666666666666667,14.528954256491007,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
33,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.14191926760582832,0.29472088016297887,0.3188389428236749,0.17505308736030986,0.05718637897405743,0,0,5.0,0.6530086363462007,0.6683393870450516,0.0,0.0,1,14,0.06666666666666667,14.498361502829887,0,0,9,0,6,0,0,15,True,False,0.0,0.0,0.0,0,baseline
34,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.2163403271224452,0.209010155986402,0.31750682769631317,0.1389495365818244,0.14402340495101296,0,0,5.0,0.6784240673594994,0.7218344793263723,0.0,0.0,0,15,0.0,18.856856001229584,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
35,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.20415116377819692,0.20611174734590398,0.3169431362597397,0.15322873918785368,0.15934820884073964,0,0,5.0,0.6759655609040587,0.7180448492886381,0.0,0.0,0,15,0.0,18.664367198023008,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
36,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,4.0,0.2113576959000107,0.20745968071535575,0.32558146225567114,0.15088775249015962,0.16032427209136024,0,0,5.0,0.6780748708339572,0.7049868171565727,0.0,0.0,0,15,0.0,18.843783421658728,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
37,8.632226017585841,0.8632226017585841,ego_neighbourhood,safety_mobility,50.0,4.0,0.03552082098521887,-2.1552746041018693,0.2452522613187877,0.1633840061253442,0.4827082917027836,2,2,5.0,0.6881900910492742,0.6858756594609731,0.0,0.05,0,10,0.0,18.26835996825442,1,1,2,0,7,0,0,10,True,False,0.0,0.0,0.0,0,baseline
38,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,4.0,0.2041117324012688,0.21696452507723424,0.3277299541340426,0.1602037908069666,0.15957129859681052,0,0,5.0,0.6746466859367394,0.6938334636053936,0.0,0.0,0,15,0.0,18.49554500479343,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
39,3.352561072945784,0.838140268236446,ego_neighbourhood,safety_mobility,50.0,3.75,-0.20107612659679197,-1.9707589114620967,0.24601427610360857,0.22280514864922385,0.45003071756275803,2,2,5.0,0.7645707806709778,0.5371130091347388,0.0,0.125,0,4,0.0,18.61757480873405,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
40,3.352561072945784,0.838140268236446,ego_neighbourhood,safety_mobility,50.0,3.75,-0.17472917003904603,-1.9402756665061835,0.32353973018545823,0.18901895655981543,0.3896213583484809,2,2,5.0,0.7768581619214776,0.5066368634720386,0.0,0.1,0,4,0.0,19.234120598931224,1,1,2,0,1,0,0,4,True,False,0.0,0.0,0.0,0,baseline
41,4.190015490717567,0.8380030981435134,ego_neighbourhood,safety_mobility,50.0,4.0,-0.14630265210274787,-2.1459841946621165,0.3178772322933969,0.21977068590558052,0.40419889697184286,2,2,5.0,0.7334916701933467,0.5112288757998996,0.0,0.08,0,5,0.0,16.86644755819504,1,1,3,0,1,0,0,5,True,False,0.0,0.0,0.0,0,baseline
42,8.623085974395467,0.8623085974395467,ego_neighbourhood,safety_mobility,50.0,4.2,0.04262033554183784,-2.172692679405242,0.28401853913132313,0.16133572675368407,0.4129081916732611,2,2,5.0,0.6925958024073017,0.657154526551957,0.0,0.04,0,10,0.0,18.45821092367031,1,1,2,0,7,0,0,10,True,False,0.0,0.0,0.0,0,baseline
43,8.716481191337333,0.8716481191337333,ego_neighbourhood,safety_mobility,50.0,4.0,0.0023453007347347564,-2.0715848344265035,0.2495552163879597,0.2037678200183592,0.4706432814974453,2,2,5.0,0.6884393925700703,0.6777683523642212,0.0,0.05,0,10,0.0,18.18553631983813,1,1,2,0,7,0,0,10,True,False,0.0,0.0,0.0,0,baseline
44,12.633051224581767,0.8422034149721178,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.1339075036505109,0.27838583251443016,0.31153781086160903,0.1800757963767838,0.05174797434425171,0,0,5.0,0.6515100732416632,0.6799445247601085,0.0,0.0,0,15,0.0,14.51721417129542,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
45,4.166847929359297,0.8333695858718594,ego_neighbourhood,safety_mobility,50.0,4.0,-0.17114301111662442,-2.2001261505396834,0.296210566273925,0.2179777568923452,0.40295573112147576,2,2,5.0,0.7262238535063801,0.5400265744649102,0.0,0.08,0,5,0.0,16.459993915786995,1,1,3,0,1,0,0,5,True,False,0.0,0.0,0.0,0,baseline
46,8.730308266780984,0.8730308266780984,ego_neighbourhood,safety_mobility,50.0,4.0,0.014873411849772112,-2.049442075125057,0.255389697577677,0.19439718102802567,0.46782615979198905,2,2,5.0,0.6930879221977246,0.6753964492400952,0.0,0.05,0,10,0.0,18.322837435011785,1,1,3,0,6,0,0,10,True,False,0.0,0.0,0.0,0,baseline
47,13.717345556668104,0.9144897037778735,ego_neighbourhood,safety_mobility,50.0,3.8666666666666667,0.24786765212611062,0.2073512061391385,0.3119029802914467,0.09941505780429935,0.08690759823097016,0,0,5.0,0.6878673557250788,0.7519287508672644,0.0,0.0,0,15,0.0,18.834573679459343,0,0,8,0,7,0,0,15,True,False,0.0,0.0,0.0,0,baseline
48,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,3.933333333333333,0.21614802864937013,0.20609394891155197,0.32708726110663194,0.14912305354793828,0.15748617119085995,0,0,5.0,0.6773177713631863,0.700461020513109,0.0,0.0,0,15,0.0,18.64401392889581,0,0,6,0,9,0,0,15,True,False,0.0,0.0,0.0,0,baseline
49,13.745123334445882,0.9163415556297255,ego_neighbourhood,safety_mobility,50.0,4.0,0.20700289954103931,0.20663866980306134,0.32011504115652706,0.152387010173595,0.158851376961044,0,0,5.0,0.6772116557581493,0.7141932292032449,0.0,0.0,0,15,0.0,18.781350709648862,0,0,5,0,10,0,0,15,True,False,0.0,0.0,0.0,0,baseline
0,3.120150572850325,0.6240301145700651,ego_neighbourhood,safety_mobility,50.0,4.2,-0.156669112978227,-2.0328916116078344,0.28045441327265574,0.2090306929059603,0.3999780417547061,2,2,5.0,0.7263760778902221,0.5718433292351326,0.0,0.08,0,5,0.0,17.81363484305505,1,1,3,0,1,0,0,5,True,False,0.824030114570065,-0.2,-1.0,0,rawlsian
1,12.895123334493118,0.8059452084058198,ego_neighbourhood,safety_mobility,50.0,4.5625,0.22716939462981214,0.1578966337846504,0.35407100536633523,0.19573645218359503,0.07617688928332278,0,0,5.0,0.674469226915299,0.6407964430979277,0.0,0.0,0,16,0.0,18.438067883112655,0,0,4,0,12,0,0,16,True,False,0.90594520840582,-0.09999999999999999,-1.5999999999999999,0,rawlsian
2,9.905258478728872,0.6190786549205545,ego_neighbourhood,safety_mobility,50.0,3.9375,0.09346604120776789,0.3636423953819873,0.3263488414405714,0.18001740918160486,0.007689534969032685,0,0,5.0,0.6419105025964947,0.6123733223118467,0.03125,0.0,0,16,0.0,14.267801211101549,0,0,11,0,5,0,0,16,True,False,0.7690786549205544,-0.15,-2.4,0,rawlsian
3,9.905258478728872,0.6190786549205545,ego_neighbourhood,safety_mobility,50.0,4.125,0.08454506697605038,0.3273349381412437,0.3299379274326835,0.20105824570316405,0.04976023793050688,0,0,5.0,0.6407599496652912,0.6028940444652153,0.03125,0.0,0,16,0.0,14.280312002958517,0,0,8,0,8,0,0,16,True,False,0.7690786549205544,-0.15,-2.4,0,rawlsian
4,3.7326583605253876,0.6221097267542313,ego_neighbourhood,safety_mobility,50.0,4.0,-0.12471496034059255,-2.1963581781398314,0.24638659119537878,0.22362367869759103,0.4959262586046205,2,2,5.0,0.6951080996544928,0.564109683584895,0.0,0.08333333333333333,0,6,0.0,16.809791893635417,1,1,4,0,1,0,0,6,True,False,0.8221097267542312,-0.19999999999999998,-1.2,0,rawlsian
5,3.7326583605253876,0.6221097267542313,ego_neighbourhood,safety_mobility,50.0,4.0,-0.12102867261445927,-2.1933856696418372,0.25630213472185914,0.2318295074433526,0.49501204448110925,2,2,5.0,0.6916064864141739,0.537275370051296,0.0,0.08333333333333333,0,6,0.0,16.750564450607044,1,1,4,0,1,0,0,6,True,False,0.8221097267542312,-0.19999999999999998,-1.2,0,rawlsian
6,8.308685385265292,0.6923904487721076,ego_neighbourhood,safety_mobility,50.0,4.666666666666667,0.07281869794831874,-2.080002005561763,0.31730285693424864,0.2106729047132169,0.4133474869509144,2,2,5.0,0.6800202345462284,0.5921014218906263,0.0,0.03333333333333333,0,12,0.0,18.04409188857163,1,1,5,0,6,0,0,12,True,False,0.8590571154387745,-0.16666666666666666,-1.9999999999999998,0,rawlsian
7,3.7753955456799932,0.6292325909466655,ego_neighbourhood,safety_mobility,50.0,4.0,-0.08157821224559558,-2.0835168422509143,0.28021363425202805,0.2256001166637391,0.48963094538236707,2,2,5.0,0.7079452232618424,0.5221298446862954,0.0,0.08333333333333333,0,6,0.0,17.439737613998116,1,1,5,0,0,0,0,6,True,False,0.8292325909466656,-0.19999999999999998,-1.2,0,rawlsian
8,9.905258478728872,0.6190786549205545,ego_neighbourhood,safety_mobility,50.0,4.375,0.08950237885043802,0.33756662011766136,0.37418507664023926,0.21228501066837674,0.06952796757868707,0,0,5.0,0.6509694236867193,0.53669369409296,0.028125,0.0,0,16,0.0,14.278803594481426,0,0,10,0,6,0,0,16,True,False,0.7690786549205544,-0.15,-2.4,0,rawlsian
9,8.319177912108023,0.6932648260090019,ego_neighbourhood,safety_mobility,50.0,4.666666666666667,0.06330377616331184,-2.057124070591374,0.30756052187141203,0.2132462171194008,0.4109326557599997,2,2,5.0,0.6803573155420364,0.6122602540079151,0.0,0.03333333333333333,0,12,0.0,18.090033131121533,1,1,5,0,6,0,0,12,True,False,0.8599314926756687,-0.16666666666666666,-1.9999999999999998,0,rawlsian
10,3.146678636286282,0.6293357272572564,ego_neighbourhood,safety_mobility,50.0,4.2,-0.1410032613291962,-1.9613502903596252,0.2830396830967308,0.20320855117042286,0.3993794381329947,2,2,5.0,0.7324976631057533,0.5789159600180454,0.0,0.08,0,5,0.0,18.267322347018407,1,1,3,0,1,0,0,5,True,False,0.8293357272572563,-0.2,-1.0,0,rawlsian
11,13.611790001160966,0.8507368750725604,ego_neighbourhood,safety_mobility,50.0,2.4375,0.22305011799652433,0.18845459419753408,0.2966007704555605,0.11305036427299457,0.06764962186531576,0,0,5.0,0.6521901233835837,0.7111787058560465,0.0,0.0,0,16,0.0,18.301829063808526,0,0,7,0,9,0,0,16,True,False,0.9007368750725604,-0.05,-0.8,0,rawlsian
12,10.305258478728872,0.6440786549205545,ego_neighbourhood,safety_mobility,50.0,4.0625,0.09282105833354017,0.3758005428522033,0.34288236536264205,0.19515744023786824,0.019116709925514508,0,0,5.0,0.6415819150806084,0.5786490994359326,0.03125,0.0,2,14,0.125,14.299615015056084,0,0,11,0,5,0,0,16,True,False,0.7690786549205544,-0.12499999999999999,-1.9999999999999998,0,rawlsian
13,10.305258478728872,0.6440786549205545,ego_neighbourhood,safety_mobility,50.0,4.0,0.09117109641793453,0.37210487067324793,0.3390383658888128,0.19627135793543565,0.028854327076687225,0,0,5.0,0.6411948597097563,0.5855629876418871,0.03125,0.0,2,14,0.125,14.27276651646148,0,0,11,0,5,0,0,16,True,False,0.7690786549205544,-0.12499999999999999,-1.9999999999999998,0,rawlsian
14,8.319177912108023,0.6932648260090019,ego_neighbourhood,safety_mobility,50.0,4.666666666666667,0.062392861738680826,-2.0576670665328796,0.3100463509664898,0.219938303347173,0.4118305707239236,2,2,5.0,0.6795705182630397,0.6057150012597664,0.0,0.03333333333333333,0,12,0.0,18.0019781509098,1,1,4,0,7,0,0,12,True,False,0.8599314926756687,-0.16666666666666666,-1.9999999999999998,0,rawlsian
15,10.277480700951093,0.6423425438094433,ego_neighbourhood,safety_mobility,50.0,4.0,0.08862272920057673,0.3571904820594384,0.33103407899532483,0.1933138068604787,0.03655367784406538,0,0,5.0,0.641044153615121,0.6012701492395924,0.03125,0.0,2,14,0.125,14.301063650874829,0,0,11,0,5,0,0,16,True,False,0.7673425438094432,-0.12499999999999999,-1.9999999999999998,0,rawlsian
16,3.7257502540955882,0.620958375682598,ego_neighbourhood,safety_mobility,50.0,4.166666666666667,-0.1526591576737777,-2.2247889110608807,0.2287886430343581,0.23196556793121326,0.4956065765787805,2,2,5.0,0.6891775467752143,0.5874444741483789,0.0,0.08333333333333333,0,6,0.0,16.360800407014164,1,1,4,0,1,0,0,6,True,False,0.820958375682598,-0.19999999999999998,-1.2,0,rawlsian
17,3.120150572850325,0.6240301145700651,ego_neighbourhood,safety_mobility,50.0,4.2,-0.16690426559552743,-2.033934535326695,0.28202333902534915,0.21890699181592094,0.40111652396617736,2,2,5.0,0.7207941129036909,0.5575415477566833,0.0,0.08,0,5,0.0,17.42316280548233,1,1,3,0,1,0,0,5,True,False,0.824030114570065,-0.2,-1.0,0,rawlsian
18,9.905258478728872,0.6190786549205545,ego_neighbourhood,safety_mobility,50.0,4.3125,0.0962271478433461,0.3752224494404597,0.3639345116270736,0.19125594766597884,0.008465060499383004,0,0,5.0,0.6484586602903701,0.550298297326593,0.03125,0.0,0,16,0.0,14.299518925850418,0,0,12,0,4,0,0,16,True,False,0.7690786549205544,-0.15,-2.4,0,rawlsian
19,10.305258478728872,0.6440786549205545,ego_neighbourhood,safety_mobility,50.0,4.3125,0.09003134175660145,0.3627410657378792,0.3575611228571965,0.19626527719976666,0.03476121080978123,0,0,5.0,0.6464349798681964,0.5589977140220002,0.03125,0.0,2,14,0.125,14.350713737590022,0,0,11,0,5,0,0,16,True,False,0.7690786549205544,-0.12499999999999999,-1.9999999999999998,0,rawlsian
20,9.905258478728872,0.6190786549205545,ego_neighbourhood,safety_mobility,50.0,4.0625,0.08785190888654373,0.3239379180582994,0.3286080269973784,0.20120117444861257,0.05524636959068352,0,0,5.0,0.6423222920459751,0.6086785300971935,0.03125,0.0,0,16,0.0,14.35723676907515,0,0,8,0,8,0,0,16,True,False,0.7690786549205544,-0.15,-2.4,0,rawlsian
21,8.26582801343889,0.6888190011199075,ego_neighbourhood,safety_mobility,50.0,4.583333333333333,0.07487176820727044,-2.190212902357049,0.3221260074651333,0.21235975634073675,0.4152197091110985,2,2,5.0,0.679219216599496,0.580853084935392,0.0,0.03333333333333333,0,12,0.0,18.20746514863313,1,1,5,0,6,0,0,12,True,False,0.8554856677865742,-0.16666666666666666,-1.9999999999999998,0,rawlsian
