policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap
6,1.2000000000000002,B,ramp,True,False,45.44000000000002,22.400000000000034,1,accelerate,2.0,2.0000000000000284,51.339999999999975,19.400000000000006,0,1,maintain-accelerate,0.7048380374908447,0.7068310976028442,0.6919581294059753,1,0.7068310976028442,0.7048380374908447,0.0019930601119995117,0.014872968196868896,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
7,1.4000000000000001,A,mainline,True,False,55.21999999999997,19.400000000000006,0,maintain,0.0,0.0,49.96000000000003,22.80000000000004,0,1,maintain-accelerate,0.5844794511795044,0.5803669691085815,0.5836243033409119,0,0.5844794511795044,0.5836243033409119,0.0008551478385925293,0.0041124820709228516,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
7,1.4000000000000001,B,ramp,True,False,49.96000000000003,22.80000000000004,1,accelerate,2.0,2.0000000000000284,55.21999999999997,19.400000000000006,0,1,maintain-accelerate,0.7056714296340942,0.7075695991516113,0.693030059337616,1,0.7075695991516113,0.7056714296340942,0.0018981695175170898,0.014539539813995361,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
8,1.6,A,mainline,True,False,59.099999999999966,19.400000000000006,0,maintain,0.0,0.0,54.56000000000004,23.200000000000045,0,1,maintain-accelerate,0.5871469974517822,0.5832204818725586,0.5864384770393372,0,0.5871469974517822,0.5864384770393372,0.0007085204124450684,0.003926515579223633,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
8,1.6,B,ramp,True,False,54.56000000000004,23.200000000000045,1,accelerate,2.0,2.0000000000000284,59.099999999999966,19.400000000000006,0,1,maintain-accelerate,0.7103711366653442,0.7124637365341187,0.6982553005218506,1,0.7124637365341187,0.7103711366653442,0.002092599868774414,0.014208436012268066,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
9,1.8,A,mainline,True,False,62.97999999999996,19.400000000000006,0,maintain,0.0,0.0,59.240000000000045,23.60000000000005,0,1,maintain-accelerate,0.5837734937667847,0.579896092414856,0.5823748707771301,0,0.5837734937667847,0.5823748707771301,0.001398622989654541,0.003877401351928711,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
9,1.8,B,ramp,True,False,59.240000000000045,23.60000000000005,1,accelerate,2.0,2.0000000000000284,62.97999999999996,19.400000000000006,0,1,maintain-accelerate,0.716597318649292,0.7190722823143005,0.7050979137420654,1,0.7190722823143005,0.716597318649292,0.002474963665008545,0.013974368572235107,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
10,2.0,A,mainline,True,False,66.85999999999996,19.400000000000006,0,maintain,0.0,0.0,64.00000000000006,24.000000000000057,0,1,maintain-accelerate,0.5746656656265259,0.5709932446479797,0.5711202025413513,0,0.5746656656265259,0.5711202025413513,0.0035454630851745605,0.0036724209785461426,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
10,2.0,B,ramp,True,False,64.00000000000006,24.000000000000057,1,accelerate,2.0,2.0000000000000284,66.85999999999996,19.400000000000006,0,1,maintain-accelerate,0.7135682106018066,0.7164216041564941,0.7022656202316284,1,0.7164216041564941,0.7135682106018066,0.0028533935546875,0.014155983924865723,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
11,2.2,A,mainline,True,False,70.73999999999995,19.400000000000006,0,maintain,0.0,0.0,68.84000000000006,24.400000000000063,0,1,maintain-accelerate,0.565192699432373,0.5618312358856201,0.5592190623283386,0,0.565192699432373,0.5618312358856201,0.0033614635467529297,0.005973637104034424,"[true, true, true]",False,False,False,67017,375000,c97c7b77a80c8006cad1ca70538c6f2c089b65b45ec0b0f83e5cb0a483ac5ae6,validation_001,0,0,729775953,0,
