policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap
0,0.0,A,mainline,True,False,28.0,20.0,2,decelerate,0.0,-2.9999999999999716,20.0,20.0,2,0,decelerate-maintain,-0.20635288953781128,-0.033384256064891815,-0.02179493010044098,2,-0.02179493010044098,-0.033384256064891815,0.011589325964450836,0.1845579594373703,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
0,0.0,B,ramp,True,False,20.0,20.0,0,maintain,0.0,0.0,28.0,20.0,2,0,decelerate-maintain,0.14348465204238892,-0.05530253052711487,-0.003123764880001545,0,0.14348465204238892,-0.003123764880001545,0.14660841692239046,0.19878718256950378,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
1,0.2,A,mainline,True,False,31.939999999999998,19.400000000000006,2,decelerate,-3.0,-2.9999999999999716,24.0,20.0,2,0,decelerate-maintain,-0.2072135955095291,-0.03394439071416855,-0.02256879210472107,2,-0.02256879210472107,-0.03394439071416855,0.01137559860944748,0.18464480340480804,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
1,0.2,B,ramp,True,False,24.0,20.0,0,maintain,0.0,0.0,31.939999999999998,19.400000000000006,2,0,decelerate-maintain,0.14413589239120483,-0.05411914736032486,-0.0037976298481225967,0,0.14413589239120483,-0.0037976298481225967,0.14793352223932743,0.1982550397515297,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
2,0.4,A,mainline,True,False,35.760000000000005,18.80000000000001,2,decelerate,-3.0,-2.9999999999999716,28.0,20.0,2,0,decelerate-maintain,-0.20745857059955597,-0.03407222032546997,-0.022779345512390137,2,-0.022779345512390137,-0.03407222032546997,0.011292874813079834,0.18467922508716583,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
2,0.4,B,ramp,True,False,28.0,20.0,0,maintain,0.0,0.0,35.760000000000005,18.80000000000001,2,0,decelerate-maintain,0.1447535902261734,-0.052595578134059906,-0.004776891320943832,0,0.1447535902261734,-0.004776891320943832,0.14953048154711723,0.1973491683602333,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
3,0.6000000000000001,A,mainline,True,False,39.46000000000001,18.200000000000017,2,decelerate,-3.0,-2.9999999999999716,32.0,20.0,2,0,decelerate-maintain,-0.20873954892158508,-0.0347367525100708,-0.022800296545028687,2,-0.022800296545028687,-0.0347367525100708,0.011936455965042114,0.1859392523765564,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
3,0.6000000000000001,B,ramp,True,False,32.0,20.0,0,maintain,0.0,0.0,39.46000000000001,18.200000000000017,2,0,decelerate-maintain,0.145370215177536,-0.05107410252094269,-0.0058257076889276505,0,0.145370215177536,-0.0058257076889276505,0.15119592286646366,0.1964443176984787,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
4,0.8,A,mainline,True,False,43.040000000000006,17.600000000000023,2,decelerate,-3.0,-2.9999999999999716,36.0,20.0,2,0,decelerate-maintain,-0.21000564098358154,-0.035436179488897324,-0.022775888442993164,2,-0.022775888442993164,-0.035436179488897324,0.01266029104590416,0.18722975254058838,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
4,0.8,B,ramp,True,False,36.0,20.0,0,maintain,0.0,0.0,43.040000000000006,17.600000000000023,2,0,decelerate-maintain,0.14606806635856628,-0.049725309014320374,-0.006977317854762077,0,0.14606806635856628,-0.006977317854762077,0.15304538421332836,0.19579337537288666,"[true, true, true]",False,False,False,67015,0,464253b404fbcf85adc7a226cae37e84244a5233feeeb764fd630a8d716f468c,validation_001,0,0,497807710,0,
