condition,pilot_seed,n_updates_logged,max_loss,max_abs_q,max_abs_target
baseline,51001,7674,0.055777985602617264,0.397389680147171,0.3965245485305786
baseline,51002,7365,0.07916707545518875,0.4764879047870636,0.48343947529792786
mean_pbrs,51001,7723,0.07156173139810562,0.3812348246574402,0.40249305963516235
mean_pbrs,51002,7256,0.11740756034851074,0.6137999892234802,0.5951629877090454
min_pbrs,51001,7658,0.08858062326908112,0.34060508012771606,0.3417232930660248
min_pbrs,51002,7750,0.09689272195100784,0.463727742433548,0.4671325087547302
