episode,step,min_experience,least_advantaged_is_ego,least_advantaged_index,least_advantaged_reason,least_advantaged_speed,least_advantaged_mobility_score,least_advantaged_collision_penalty,least_advantaged_low_speed_penalty,least_advantaged_risk_penalty,least_advantaged_nearest_distance,scoped_vehicle_count,n_vehicles
0,0,0.6026343018582404,False,2,risk,26.072128610553932,0.8690709536851311,0.0,0.0,0.5328733036537814,23.356334817310934,3,5
0,1,0.404831460675498,False,1,risk,21.969567081806048,0.7323189027268683,0.0,0.0,0.6549748841027405,17.25125579486297,4,5
0,2,0.3715157311975684,False,1,risk,20.993714065000052,0.6997904688333351,0.0,0.0,0.6565494752715333,17.172526236423334,4,5
0,3,0.3065156601271933,False,4,risk,20.0,0.6666666666666666,0.0,0.0,0.7203020130789467,13.984899346052664,5,5
0,4,0.2296072512280527,False,2,risk,20.29040854709212,0.6763469515697373,0.0,0.0,0.8934794006833693,5.3260299658315375,4,5
0,5,-2.192705660469831,False,2,collision,7.71883018590508,0.25729433953016934,1.0,0.0,0.9,5.0,4,5
1,0,0.5772197987383207,False,2,risk,25.02738439495677,0.834246146498559,0.0,0.0,0.5140526955204765,24.29736522397618,3,5
1,1,0.3147733084735685,False,1,risk,21.61771965395407,0.7205906551318023,0.0,0.0,0.8116346933164676,9.418265334176619,4,5
1,2,0.28808660848041945,False,1,risk,20.82687432759768,0.694229144253256,0.0,0.0,0.8122850715456731,9.385746422716348,4,5
1,3,0.27419955826650244,False,1,risk,20.43506273570767,0.6811687578569223,0.0,0.0,0.8139383991808398,9.303080040958012,5,5
1,4,0.26693823658429294,False,1,risk,20.232182775543016,0.6744060925181006,0.0,0.0,0.8149357118676153,9.253214406619238,4,5
1,5,0.26308908823072163,False,1,risk,20.124819438499312,0.6708273146166437,0.0,0.0,0.8154764527718441,9.226177361407792,4,5
1,6,0.17809918695387622,False,1,risk,17.686182291455268,0.5895394097151756,0.0,0.0,0.8228804455225988,8.855977723870064,4,5
1,7,-0.03853818791984115,False,1,low_mobility,12.382191716062403,0.41273972386874674,0.0,0.0,0.9025558235771758,4.872208821141209,4,5
1,8,-2.1659198589326296,False,1,collision,8.487418362560469,0.2829139454186823,1.0,0.0,0.8976676087026239,5.116619564868806,4,5
2,0,0.6172780615499441,False,2,risk,25.175923897931856,0.8391974632643951,0.0,0.0,0.44383880342890203,27.808059828554896,3,5
2,1,0.5211107168751558,False,2,low_mobility,21.563939615218665,0.7187979871739555,0.0,0.0,0.39537454059759947,30.231272970120024,3,5
2,2,0.49187449910176156,False,2,low_mobility,20.16351504565357,0.6721171681884522,0.0,0.0,0.36048533817338135,31.97573309133093,3,5
2,3,0.4760981517000468,False,2,low_mobility,19.50527675227656,0.6501758917425521,0.0,0.0,0.3481554800850105,32.59222599574947,3,5
2,4,0.472554274823736,False,2,low_mobility,19.178343279111584,0.6392781093037194,0.0,0.0,0.3334476689599668,33.32761655200166,3,5
2,5,0.4763007879506612,False,2,low_mobility,19.016837427624825,0.6338945809208275,0.0,0.0,0.3151875859403326,34.24062070298337,3,5
