CI95_high,CI95_low,condition,is_primary,mean_delta_wsc_minus_original,median_delta,metric,n_negative,n_positive,n_seeds_finite,n_seeds_total,note,raw_p_bootstrap,sd
0.5299192630852778,-1.4266234691009951,baseline,True,-0.46403419442788735,-0.4973555913185209,RY,6,2,9,12,,0.3568,1.6026090900935501
1.815516328715097,-0.10473996706969815,mean,True,0.7513212299438837,0.13061426281192418,RY,4,4,8,12,,0.101,1.5313243337845897
0.344315751789357,-0.33775516328317096,ggi,True,-0.005518850080491096,-0.22471856587535757,RY,5,4,9,12,,0.9204,0.5451421214125334
0.5656986843607401,-1.2457015374450475,maximin,True,-0.4033660569601544,-0.729277473047574,RY,6,4,10,12,,0.3758,1.5652817238656112
,,baseline,True,nan,,P_priority_worse,,,2,12,insufficient finite seeds (<3) -- underpowered/descriptive only,,
,,mean,True,nan,,P_priority_worse,,,2,12,insufficient finite seeds (<3) -- underpowered/descriptive only,,
0.9710144927536232,-1.0,ggi,True,-0.009661835748792277,0.0,P_priority_worse,1,1,3,12,,0.8112,0.9855427671916288
0.3333333333333333,0.0,maximin,True,0.1111111111111111,0.0,P_priority_worse,0,1,3,12,,0.591,0.19245008972987526
32.76496132431097,-1.8543893658805857,baseline,True,10.977689529187105,-0.14055888451763243,BC,5,3,9,12,,0.273,31.295568104725394
8.07335249481613,-0.6170278536573965,mean,True,2.7849866752968353,1.0850876406975072,BC,3,5,8,12,,0.212,7.282544520069068
0.5453929126891146,-4.152109841106215,ggi,True,-1.6398458916667005,-1.6870597870929525,BC,6,3,9,12,,0.158,3.847987115129229
1.73769870532774,-1.992220588467759,maximin,True,-0.23661033009058335,-0.45742090154014053,BC,7,3,10,12,,0.7616,3.1669748718994413
0.010035818132420245,-0.014329317038845532,baseline,True,-0.0021467494532126426,-0.0019631228850132644,GapClosure_k25,4,3,7,12,,0.7182,0.017549913152780598
0.007013094732085532,-0.004754230232148769,mean,True,0.001795249371642356,0.0031754328433530195,GapClosure_k25,2,6,8,12,,0.5272,0.009188442250860424
0.010068253184879439,-0.013921980275392133,ggi,True,0.00010280290224660499,0.009958088933563829,GapClosure_k25,3,6,9,12,,0.9124,0.020283024776777372
0.016503583136417723,-0.015979889524970488,maximin,True,-0.00015684329595375712,-4.376421505104203e-06,GapClosure_k25,5,4,9,12,,0.9798,0.02601758712547586
0.0022250181931842065,-0.008106514409330386,baseline,False,-0.0029095369630889757,-0.004668338195621681,GapClosure_k10,5,4,9,12,,0.2666,0.008423123473138476
0.001305284852543934,-0.0038205070868239733,mean,False,-0.0010658286970517178,0.0007082953618463,GapClosure_k10,3,5,8,12,,0.4588,0.0039746431852680396
0.003188412213220159,-0.007324353228266404,ggi,False,-0.0011776959406235483,0.0007349265321479239,GapClosure_k10,4,5,9,12,,0.7222,0.008941056994153495
0.007825018355416956,-0.00576803800425209,maximin,False,0.0004333852994597757,-0.00017960188494031421,GapClosure_k10,5,4,9,12,,0.9402,0.011107765835841199
,,baseline,False,nan,,GapClosure_k50,,,2,12,insufficient finite seeds (<3) -- underpowered/descriptive only,,
0.038657287611144245,-0.0676133146177981,mean,False,-0.00948199509881713,0.0005100417102024612,GapClosure_k50,1,2,3,12,,0.8084,0.05383531205649432
0.03230608870336379,-0.06438366969018203,ggi,False,-0.007063204552185954,0.010887967330260375,GapClosure_k50,1,3,4,12,,0.7478,0.059702121599439925
0.019580413389001294,-0.1151388713752835,maximin,False,-0.03798835090341796,-0.012782492097031868,GapClosure_k50,4,4,8,12,,0.2812,0.10692877808150397
0.003080332598161234,-0.008065676465856214,baseline,False,-0.0023165189061635384,-0.001130156172880178,Recovery_k10,5,4,9,12,,0.418,0.009086249015722686
0.0004914759556780643,-0.020202781274836882,mean,False,-0.00823650938428241,-0.0009975563859552156,Recovery_k10,4,4,8,12,,0.0808,0.016674566091549017
0.002465754564492304,-0.008704440256777907,ggi,False,-0.0023648551291414613,-9.715085403129648e-05,Recovery_k10,5,4,9,12,,0.4246,0.009292176541227933
0.017249491173834404,-0.006810166093724985,maximin,False,0.0045854669612185135,-0.00034290421339200935,Recovery_k10,5,4,9,12,,0.4904,0.019980771904221917
0.012362879026616078,-0.009568309138279493,baseline,False,0.0022071911971190605,0.004137689510080376,Recovery_k25,2,5,7,12,,0.6852,0.01598636919560515
0.0013356331006596565,-0.05044355792286939,mean,False,-0.021138018010799994,-0.002193041831118526,Recovery_k25,4,4,8,12,,0.0788,0.041074845860350304
0.0074449132797540524,-0.01696427178019708,ggi,False,-0.002918932605255451,0.0005239554218307071,Recovery_k25,4,5,9,12,,0.7006,0.020608458522079307
0.04344036194310138,-0.0175588400157907,maximin,False,0.01105192130634459,-0.0005461002481330312,Recovery_k25,5,4,9,12,,0.515,0.05029185678469503
,,baseline,False,nan,,Recovery_k50,,,2,12,insufficient finite seeds (<3) -- underpowered/descriptive only,,
-0.0008601110677972233,-0.23043091184484174,mean,False,-0.10323827324283918,-0.0784237968158786,Recovery_k50,3,0,3,12,,0.0,0.11677973635272304
0.04810523857665783,-0.07944533078123592,ggi,False,-0.0023344783677499968,0.025891832912477573,Recovery_k50,1,3,4,12,,0.9386,0.07973334526724685
0.08712276473339915,-0.08731836627305163,maximin,False,-0.0008468704862234951,-0.013257597261419675,Recovery_k50,5,3,8,12,,0.9728,0.13459261851333448
