seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,recv_opp_worse,recv_yield_worse,priority_pairs,priority_to_worse_off,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,worst_off_samples,recovery_n_k10,recovery_sum_k10,gapclosure_sum_k10,recovery_n_k25,recovery_sum_k25,gapclosure_sum_k25,recovery_n_k50,recovery_sum_k50,gapclosure_sum_k50
920104,ggi,original,mainline-fast,454.0,31683.0,60.0,1440.0,2214.0,156.0,12.0,0.0,454.0,31683.0,52.0,163.0,1610.0,1212.0,3.051896703319562,2.508386995607323,740.0,4.261120004125809,3.6025436109601587,44.0,0.6133807884206307,0.5846674826830246
920104,ggi,original,mainline-slow,241.0,32396.0,0.0,5816.0,0.0,0.0,0.0,0.0,241.0,32396.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920104,ggi,original,ramp-fast,1986.0,29829.0,156.0,1022.0,527.0,60.0,4.0,0.0,1986.0,29829.0,111.0,86.0,479.0,677.0,1.5673148183248111,1.2739660309499492,443.0,2.2835458131451905,1.9173700389454074,30.0,0.3534667546798764,0.33230988095444347
920104,ggi,original,ramp-slow,60.0,32920.0,0.0,5022.0,0.0,0.0,0.0,0.0,60.0,32920.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920104,ggi,wsc,ALL,29193.0,103877.0,1017.0,6967.0,29193.0,1017.0,276.0,268.0,29193.0,103877.0,217.0,1201.0,7492.0,7060.0,16.57808180103628,13.052216951004928,4214.0,25.520899757045143,19.50514037049314,51.0,1.3410685420301347,0.6724839256073544
920104,ggi,wsc,mainline-fast,11118.0,20343.0,166.0,1257.0,1388.0,167.0,7.0,0.0,11118.0,20343.0,63.0,165.0,402.0,370.0,1.2914440515070895,0.6341987410792673,214.0,1.9153666984764262,0.934031541692654,5.0,0.15967958007039607,0.08702038137452484
920104,ggi,wsc,mainline-slow,5913.0,27986.0,460.0,2203.0,10449.0,160.0,107.0,107.0,5913.0,27986.0,17.0,383.0,2677.0,2544.0,2.8495156952865375,3.8774652224031185,1490.0,4.889843718514086,6.003725969612448,0.0,0.0,0.0
920104,ggi,wsc,ramp-fast,7539.0,23437.0,197.0,1418.0,4057.0,213.0,1.0,0.0,7539.0,23437.0,115.0,175.0,1094.0,1057.0,4.251867496814556,2.2139410258973236,681.0,6.7395472263083125,3.4906715838026123,46.0,1.1813889619597386,0.5854635442328295
920104,ggi,wsc,ramp-slow,4623.0,32111.0,194.0,2089.0,13299.0,477.0,161.0,161.0,4623.0,32111.0,22.0,478.0,3319.0,3089.0,8.185254557428099,6.326611961625218,1829.0,11.976142113746318,9.076711275385426,0.0,0.0,0.0
920104,maximin,original,ALL,2062.0,100361.0,237.0,3774.0,2062.0,237.0,0,0,2062.0,100361.0,237.0,1281.0,1747.0,1376.0,-2.6951372385525385,0.9130270092283259,652.0,2.7006809073005065,3.96636646897821,36.0,1.9298673526233783,1.9298673526233783
