seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,P_yield_given_worse,P_yield_given_better,RY,priority_pairs,priority_to_worse_off,P_priority_worse,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,rate_burden_worse,rate_burden_better,BC,worst_off_samples,recovery_n_k10,Recovery_k10,GapClosure_k10,recovery_n_k25,Recovery_k25,GapClosure_k25,recovery_n_k50,Recovery_k50,GapClosure_k50
900101,ggi,original,mainline-slow,6835.0,24335.0,233.0,4857.0,0.034089246525237746,0.19958906924183276,0.17079716166186135,0.0,0.0,nan,6835.0,24335.0,154.0,429.0,0.02253108997805413,0.017628929525374974,1.278074766004539,1382.0,1382.0,0.0027288765877997146,0.002714389574979284,965.0,0.006867301697243309,0.006445213468014883,135.0,0.017217081272744263,0.018897004925198087
900101,ggi,original,ramp-fast,2495.0,28649.0,104.0,863.0,0.04168336673346693,0.03012321546999895,1.3837621941449527,50.0,0.0,0.0,2495.0,28649.0,101.0,72.0,0.040480961923847696,0.002513176725191106,16.107487196615452,2049.0,2042.0,0.00766467215944382,0.005912359904656177,1429.0,0.01738744582295492,0.013379854328755034,108.0,0.05004831668123103,0.04148104693859583
900101,ggi,original,ramp-slow,7030.0,25713.0,224.0,4707.0,0.031863442389758176,0.18305915295764788,0.17406090804500784,0.0,0.0,nan,7030.0,25713.0,169.0,472.0,0.024039829302987197,0.018356473379224518,1.3096104467536223,1114.0,1114.0,0.0037958911702006205,0.003960195691370072,802.0,0.009231546994144621,0.009180945727685713,155.0,0.019200899515616772,0.020544434336787563
900101,ggi,wsc,mainline-fast,17.0,26325.0,0.0,589.0,0.0,0.02237416904083571,0.0,0.0,0.0,nan,17.0,26325.0,0.0,34.0,0.0,0.001291547958214625,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900101,ggi,wsc,mainline-slow,0.0,30500.0,0.0,1572.0,nan,0.05154098360655738,nan,0.0,0.0,nan,0.0,30500.0,0.0,24.0,nan,0.0007868852459016393,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900101,ggi,wsc,ramp-fast,0.0,26528.0,0.0,430.0,nan,0.01620928829915561,nan,0.0,0.0,nan,0.0,26528.0,0.0,52.0,nan,0.0019601930036188178,nan,19.0,19.0,0.00017393886194502626,0.00017393886194502626,7.0,0.00036065689889308583,0.00036065689889308583,0.0,nan,nan
900101,ggi,wsc,ramp-slow,0.0,31248.0,0.0,1693.0,nan,0.0541794674859191,nan,0.0,0.0,nan,0.0,31248.0,0.0,51.0,nan,0.0016321044546850998,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900101,maximin,original,mainline-fast,3083.0,29816.0,102.0,350.0,0.03308465780084333,0.011738663804668634,2.8184347342569853,0.0,0.0,nan,3083.0,29816.0,20.0,42.0,0.006487187804086928,0.001408639656560236,4.605285513491807,384.0,368.0,0.0009110559737730429,0.00086061945365861,203.0,0.0021860325383648623,0.0020642297328126885,0.0,nan,nan
900101,maximin,original,mainline-slow,2431.0,30165.0,32.0,1882.0,0.01316330728095434,0.06239018730316592,0.2109836153719382,0.0,0.0,nan,2431.0,30165.0,8.0,176.0,0.003290826820238585,0.005834576495939002,0.5640215399573689,1162.0,1162.0,0.0009322933817780516,0.0008503228760400102,761.0,0.0020945648509609976,0.0018939002510194687,0.0,nan,nan
900101,maximin,original,ramp-fast,3153.0,29678.0,87.0,340.0,0.02759276879162702,0.011456297594177505,2.4085240946997257,11.0,0.0,0.0,3153.0,29678.0,6.0,39.0,0.0019029495718363464,0.001314104724038008,1.4480958305886946,628.0,614.0,0.000659833677470289,0.000659833677470289,397.0,0.0014491412538160456,0.0014491412538160456,2.0,0.0021385735186985055,0.0021385735186985055
900101,maximin,original,ramp-slow,3435.0,30030.0,51.0,1541.0,0.014847161572052401,0.05131535131535132,0.28933177288042417,0.0,0.0,nan,3435.0,30030.0,8.0,127.0,0.0023289665211062593,0.0042291042291042295,0.5506997214867793,607.0,607.0,0.0012807751480626028,0.0011762034120969675,390.0,0.002909690599494164,0.002660562904016509,0.0,nan,nan
900101,maximin,wsc,mainline-fast,747.0,29705.0,0.0,1608.0,0.0,0.054132300959434436,0.0,0.0,0.0,nan,747.0,29705.0,0.0,116.0,0.0,0.00390506648712338,0.0,269.0,231.0,0.0006715389643000832,0.0006715389643000832,126.0,0.0016110903153760095,0.0016110903153760095,0.0,nan,nan
