metric,condition,excluded_seed,leave_one_out_estimate,full_estimate,shift_from_full,is_seed_910102,is_seed_920102
RY,baseline,900102,-0.33609115994349326,-0.46403419442788735,0.1279430344843941,False,False
RY,baseline,900104,-0.39402663302263474,-0.46403419442788735,0.0700075614052526,False,False
RY,baseline,910101,-0.5220384687313733,-0.46403419442788735,-0.058004274303485925,False,False
RY,baseline,920101,-0.3762198530972143,-0.46403419442788735,0.08781434133067306,False,False
RY,baseline,920102,-0.6919185250857172,-0.46403419442788735,-0.22788433065782981,False,True
RY,baseline,920103,-0.7973908731191549,-0.46403419442788735,-0.33335667869126756,False,False
RY,baseline,920104,-0.1104339974078537,-0.46403419442788735,0.35360019702003365,False,False
RY,baseline,920105,-0.488319219626987,-0.46403419442788735,-0.02428502519909964,False,False
RY,baseline,920106,-0.4598690198165582,-0.46403419442788735,0.004165174611329148,False,False
RY,mean,900102,0.6913871712672284,0.7513212299438837,-0.059934058676655355,False,False
RY,mean,900103,0.2789951652447403,0.7513212299438837,-0.47232606469914346,False,False
RY,mean,910101,0.8721743612937526,0.7513212299438837,0.12085313134986886,False,False
RY,mean,910102,0.8078129463460034,0.7513212299438837,0.056491716402119696,True,False
RY,mean,920102,0.940679810457019,0.7513212299438837,0.18935858051313526,False,True
RY,mean,920104,0.6325859260762872,0.7513212299438837,-0.11873530386759656,False,False
RY,mean,920105,0.9020389392199721,0.7513212299438837,0.1507177092760884,False,False
RY,mean,920106,0.8848955196460674,0.7513212299438837,0.13357428970218366,False,False
RY,ggi,900101,0.02938351127979709,-0.005518850080491096,0.03490236136028819,False,False
RY,ggi,900102,-0.022930809686357218,-0.005518850080491096,-0.017411959605866122,False,False
RY,ggi,900103,-0.06717079442905877,-0.005518850080491096,-0.06165194434856767,False,False
RY,ggi,900104,0.021881114393867224,-0.005518850080491096,0.02739996447435832,False,False
RY,ggi,910101,0.07270254157663447,-0.005518850080491096,0.07822139165712556,False,False
RY,ggi,920101,0.07868924105163594,-0.005518850080491096,0.08420809113212703,False,False
RY,ggi,920102,-0.061463959472869416,-0.005518850080491096,-0.05594510939237832,False,True
RY,ggi,920104,0.022797228734748605,-0.005518850080491096,0.0283160788152397,False,False
RY,ggi,920105,-0.12355772417281774,-0.005518850080491096,-0.11803887409232665,False,False
RY,maximin,900101,-0.379990448751905,-0.4033660569601544,0.023375608208249354,False,False
RY,maximin,900102,-0.7575100951217757,-0.4033660569601544,-0.3541440381616213,False,False
RY,maximin,900103,-0.4740318702333308,-0.4033660569601544,-0.07066581327317645,False,False
RY,maximin,900104,-0.24900101834296284,-0.4033660569601544,0.15436503861719153,False,False
RY,maximin,910102,-0.3543169060378659,-0.4033660569601544,0.049049150922288454,True,False
RY,maximin,920101,-0.6078007293713141,-0.4033660569601544,-0.20443467241115976,False,False
RY,maximin,920102,-0.27916449520372955,-0.4033660569601544,0.12420156175642483,False,True
RY,maximin,920103,-0.19928611652149686,-0.4033660569601544,0.20407994043865751,False,False
RY,maximin,920104,-0.28435686570945673,-0.4033660569601544,0.11900919125069764,False,False
RY,maximin,920105,-0.4482020243077059,-0.4033660569601544,-0.04483596734755152,False,False
P_priority_worse,ggi,900102,0.4855072463768116,-0.009661835748792277,0.49516908212560384,False,False
P_priority_worse,ggi,920102,-0.014492753623188415,-0.009661835748792277,-0.004830917874396138,False,True
P_priority_worse,ggi,920104,-0.5,-0.009661835748792277,-0.49033816425120774,False,False
P_priority_worse,maximin,900103,0.16666666666666666,0.1111111111111111,0.05555555555555555,False,False
P_priority_worse,maximin,920101,0.16666666666666666,0.1111111111111111,0.05555555555555555,False,False
P_priority_worse,maximin,920105,0.0,0.1111111111111111,-0.1111111111111111,False,False
BC,baseline,900102,13.060012221508634,10.977689529187105,2.0823226923215294,False,False
BC,baseline,900104,12.43262996429651,10.977689529187105,1.454940435109405,False,False
BC,baseline,910101,12.34990072033549,10.977689529187105,1.372211191148386,False,False
BC,baseline,920101,12.80272844149987,10.977689529187105,1.825038912312765,False,False
BC,baseline,920102,12.038049886338094,10.977689529187105,1.060360357150989,False,True
BC,baseline,920103,0.7087809383958503,10.977689529187105,-10.268908590791254,False,False
BC,baseline,920104,10.607188320411094,10.977689529187105,-0.37050120877601067,False,False
BC,baseline,920105,12.432444688998196,10.977689529187105,1.454755159811091,False,False
BC,baseline,920106,12.367470580900196,10.977689529187105,1.3897810517130917,False,False
BC,mean,900102,3.2253472569656365,2.7849866752968353,0.4403605816688012,False,False
BC,mean,900103,0.2787151390447385,2.7849866752968353,-2.506271536252097,False,False
BC,mean,910101,3.595392034720225,2.7849866752968353,0.8104053594233895,False,False
