seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,recv_opp_worse,recv_yield_worse,priority_pairs,priority_to_worse_off,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,worst_off_samples,recovery_n_k10,recovery_sum_k10,gapclosure_sum_k10,recovery_n_k25,recovery_sum_k25,gapclosure_sum_k25,recovery_n_k50,recovery_sum_k50,gapclosure_sum_k50
900101,ggi,wsc,ramp-fast,0.0,26528.0,0.0,430.0,17.0,0.0,0.0,0.0,0.0,26528.0,0.0,52.0,19.0,19.0,0.003304838376955499,0.003304838376955499,7.0,0.002524598292251601,0.002524598292251601,0.0,0.0,0.0
900101,ggi,wsc,ramp-slow,0.0,31248.0,0.0,1693.0,0.0,0.0,0.0,0.0,0.0,31248.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,maximin,original,ALL,12102.0,119689.0,272.0,4113.0,12102.0,272.0,11.0,0,12102.0,119689.0,42.0,384.0,2781.0,2751.0,2.6011619008153333,2.423876490014477,1751.0,3.7478168684370803,3.4732253371182,2.0,0.004277147037397011,0.004277147037397011
900101,maximin,original,mainline-fast,3083.0,29816.0,102.0,350.0,3030.0,41.0,0.0,0.0,3083.0,29816.0,20.0,42.0,384.0,368.0,0.3352685983484798,0.3167079589463685,203.0,0.44376460528806705,0.4190386357609758,0.0,0.0,0.0
900101,maximin,original,mainline-slow,2431.0,30165.0,32.0,1882.0,4452.0,126.0,0.0,0.0,2431.0,30165.0,8.0,176.0,1162.0,1162.0,1.083324909626096,0.9880751819584919,761.0,1.5939638515813193,1.4412580910258157,0.0,0.0,0.0
900101,maximin,original,ramp-fast,3153.0,29678.0,87.0,340.0,2231.0,35.0,11.0,0.0,3153.0,29678.0,6.0,39.0,628.0,614.0,0.4051378779667575,0.4051378779667575,397.0,0.5753090777649701,0.5753090777649701,2.0,0.004277147037397011,0.004277147037397011
900101,maximin,original,ramp-slow,3435.0,30030.0,51.0,1541.0,2389.0,70.0,0.0,0.0,3435.0,30030.0,8.0,127.0,607.0,607.0,0.777430514874,0.7139554711428593,390.0,1.1347793338027239,1.0376195325664384,0.0,0.0,0.0
900101,maximin,wsc,ALL,3150.0,120306.0,4.0,3791.0,3150.0,4.0,0,0,3150.0,120306.0,5.0,277.0,1361.0,1222.0,0.7364126516698383,0.8572175437849392,756.0,1.205280452581864,1.3227102659450325,58.0,0.11942383161118975,0.20700916779061573
900101,maximin,wsc,mainline-fast,747.0,29705.0,0.0,1608.0,874.0,0.0,0.0,0.0,747.0,29705.0,0.0,116.0,269.0,231.0,0.1551255007533192,0.1551255007533192,126.0,0.2029973797373772,0.2029973797373772,0.0,0.0,0.0
900101,maximin,wsc,mainline-slow,1047.0,28908.0,1.0,529.0,58.0,0.0,0.0,0.0,1047.0,28908.0,2.0,29.0,184.5,39.0,0.05133141355544357,0.057378220929043766,27.0,0.0838334206048782,0.09290224955953508,2.0,0.010186892217671772,0.010453112292027944
900101,maximin,wsc,ramp-fast,348.0,30371.0,0.0,712.0,1999.0,3.0,0.0,0.0,348.0,30371.0,0.0,58.0,678.0,577.0,0.32308833508751056,0.31906999243022505,322.0,0.4308019984371706,0.42163614377215286,0.0,0.0,0.0
900101,maximin,wsc,ramp-slow,1008.0,31322.0,3.0,942.0,219.0,1.0,0.0,0.0,1008.0,31322.0,3.0,74.0,229.5,375.0,0.20686740227356493,0.32564382967235117,281.0,0.4876476538024379,0.6051744928759673,56.0,0.10923693939351797,0.1965560554985878
900102,baseline,original,ALL,14255.0,118542.0,1465.0,6842.0,14255.0,1465.0,210.0,0,14255.0,118542.0,1144.0,1633.0,3686.0,3592.0,8.153346275671254,19.269474190129852,2486.0,14.937627361077748,33.335519049227635,588.0,-2.7336761293435745,20.706128334291563
900102,baseline,original,mainline-fast,1611.0,31501.0,320.0,1961.0,5975.0,563.0,102.0,0.0,1611.0,31501.0,329.0,442.0,2036.0,1974.0,5.316612007535888,12.538342071973757,1444.0,8.178104439014504,19.401789286593928,325.0,-4.816554743568545,10.463428498967176
900102,baseline,original,mainline-slow,4984.0,28101.0,390.0,2060.0,1872.0,249.0,0.0,0.0,4984.0,28101.0,238.0,619.0,172.0,166.0,-0.6141904141105572,-0.5961414455734411,81.0,-0.29953708930768996,-0.01622542951181527,2.0,-0.05524138662854161,0.03934018853441967
900102,baseline,original,ramp-fast,2474.0,30475.0,274.0,1077.0,4791.0,529.0,108.0,0.0,2474.0,30475.0,287.0,297.0,1005.0,994.0,4.326801753097509,7.585321675183566,758.0,7.517624433817536,13.788084616163761,258.0,2.270450225371373,10.211037253410648
900102,baseline,original,ramp-slow,5186.0,28465.0,481.0,1744.0,1617.0,124.0,0.0,0.0,5186.0,28465.0,290.0,275.0,473.0,458.0,-0.8758770708515852,-0.2580481114540297,203.0,-0.4585644224466018,0.16187057598176346,3.0,-0.13233022451786036,-0.007677606620682176
900102,baseline,wsc,ALL,5727.0,132236.0,145.0,11427.0,5727.0,145.0,0,0,5727.0,132236.0,6.0,957.0,1708.0,1505.0,1.0478032027122612,1.0478032027122612,830.0,1.4049727932980705,1.4049727932980705,0,0,0
900102,baseline,wsc,mainline-fast,1242.0,33170.0,0.0,3355.0,2191.0,70.0,0.0,0.0,1242.0,33170.0,0.0,400.0,633.0,562.0,0.37131834066798397,0.37131834066798397,307.0,0.49221299241737204,0.49221299241737204,0.0,0.0,0.0
900102,baseline,wsc,mainline-slow,1742.0,32273.0,95.0,3228.0,0.0,0.0,0.0,0.0,1742.0,32273.0,4.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900102,baseline,wsc,ramp-fast,757.0,33637.0,0.0,2235.0,3536.0,75.0,0.0,0.0,757.0,33637.0,0.0,252.0,1075.0,943.0,0.6764848620442773,0.6764848620442773,523.0,0.9127598008806984,0.9127598008806984,0.0,0.0,0.0
900102,baseline,wsc,ramp-slow,1986.0,33156.0,50.0,2609.0,0.0,0.0,0.0,0.0,1986.0,33156.0,2.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900102,mean,original,ALL,12497.0,114861.0,542.0,5103.0,12497.0,542.0,47.0,22.0,12497.0,114861.0,206.0,710.0,4272.0,4208.0,52.98039185953982,43.842068922009325,2864.0,99.97490925630667,81.82146585667103,444.0,46.402646643561475,42.29216137401541
900102,mean,original,mainline-fast,3731.0,28160.0,278.0,854.0,2662.0,229.0,14.0,0.0,3731.0,28160.0,82.0,200.0,955.0,935.0,15.408455605024868,11.881878955791612,642.0,30.051281499008226,22.943608906132184,141.0,15.60120042568398,14.64921269282369
900102,mean,original,mainline-slow,4076.0,28115.0,1.0,1480.0,1658.0,63.0,12.0,12.0,4076.0,28115.0,1.0,159.0,104.0,100.0,0.6414517011129697,0.26794698105637194,59.0,0.9574928487228712,0.39445934907318025,1.0,0.002069044352994931,0.002069044352994931
900102,mean,original,ramp-fast,2416.0,28736.0,259.0,591.0,3408.0,120.0,10.0,0.0,2416.0,28736.0,119.0,152.0,1958.0,1943.0,35.78465486650274,30.871840418508157,1362.0,67.3898391073302,57.26558751257239,285.0,30.710861199877467,27.552363663191688
900102,mean,original,ramp-slow,2274.0,29850.0,4.0,2178.0,4769.0,130.0,11.0,10.0,2274.0,29850.0,4.0,199.0,1255.0,1230.0,1.14582968689924,0.8204025666531841,801.0,1.5762958012453798,1.217810088893271,17.0,0.08851597364703223,0.08851597364703223
900102,mean,wsc,ALL,16743.0,107813.0,2257.0,6769.0,16743.0,2257.0,56.0,0,16743.0,107813.0,390.0,1060.0,5752.0,5579.0,21.419949637058675,22.118106006501723,3824.0,44.8816804732486,43.04771459743346,639.0,16.66938123383326,17.661513396154596
900102,mean,wsc,mainline-fast,4193.0,27269.0,323.0,1965.0,6711.0,895.0,36.0,0.0,4193.0,27269.0,62.0,500.0,2159.0,2021.0,7.217777283446903,6.907642896849896,1340.0,16.30093096652668,14.568894932928329,230.0,8.731363866773057,9.127612256835585
900102,mean,wsc,mainline-slow,5031.0,25716.0,803.0,1075.0,1123.0,131.0,0.0,0.0,5031.0,25716.0,65.0,41.0,670.0,604.0,0.5742148983223955,0.5252929587858953,401.0,1.1521162616892182,1.0552479510728716,35.0,0.054024112111413225,0.0179350056043297
900102,mean,wsc,ramp-fast,3874.0,27170.0,483.0,1895.0,6065.0,837.0,20.0,0.0,3874.0,27170.0,161.0,395.0,2065.0,2038.0,13.643781979302583,14.154659526242716,1421.0,26.06689290997252,25.39899561083278,218.0,8.214084498047898,8.373561390691812
900102,mean,wsc,ramp-slow,3645.0,27658.0,648.0,1834.0,2844.0,394.0,0.0,0.0,3645.0,27658.0,102.0,124.0,858.0,916.0,-0.015824524013204888,0.5305106246232156,662.0,1.361740335060183,2.0245761025994815,156.0,-0.3300912430991063,0.14240474302286898
900102,ggi,original,ALL,1589.0,128598.0,79.0,10954.0,1589.0,79.0,8.0,8.0,1589.0,128598.0,21.0,616.0,891.0,890.0,-0.17252192168753255,-0.17252192168753255,412.0,-0.13845750512682342,-0.13845750512682342,0,0,0
900102,ggi,original,mainline-fast,339.0,31401.0,31.0,3450.0,540.0,0.0,0.0,0.0,339.0,31401.0,7.0,188.0,610.0,610.0,-0.2816004494075147,-0.2816004494075147,251.0,-0.2874487926698326,-0.2874487926698326,0.0,0.0,0.0
900102,ggi,original,mainline-slow,144.0,32869.0,29.0,1700.0,656.0,50.0,5.0,5.0,144.0,32869.0,8.0,124.0,176.0,175.0,0.07165088575940237,0.07165088575940237,100.0,0.09753133987290319,0.09753133987290319,0.0,0.0,0.0
900102,ggi,original,ramp-fast,869.0,30660.0,0.0,3616.0,0.0,0.0,0.0,0.0,869.0,30660.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900102,ggi,original,ramp-slow,237.0,33668.0,19.0,2188.0,393.0,29.0,3.0,3.0,237.0,33668.0,6.0,100.0,105.0,105.0,0.037427641960579794,0.037427641960579794,61.0,0.05145994767010598,0.05145994767010598,0.0,0.0,0.0
900102,ggi,wsc,ALL,24064.0,124437.0,1358.0,9788.0,24064.0,1358.0,200.0,0,24064.0,124437.0,764.0,1193.0,5518.0,5310.0,14.914927593524787,23.46312173193117,3553.0,37.28133616791608,45.216582312095056,505.0,-2.4258896710333917,10.667507080174639
900102,ggi,wsc,mainline-fast,2324.0,35128.0,181.0,3006.0,13883.0,838.0,99.0,0.0,2324.0,35128.0,132.0,703.0,3584.5,3404.0,13.18084673151428,17.753084319486177,2202.0,24.70624400017351,30.079889387057197,286.0,-0.7387790685777639,5.850005011503273
900102,ggi,wsc,mainline-slow,7981.0,29687.0,491.0,2355.0,2600.0,52.0,0.0,0.0,7981.0,29687.0,195.0,113.0,255.0,255.0,-2.401957074400972,0.8318383997166948,254.0,3.5927341075254913,4.415328592050404,58.0,0.5899132051869237,1.4805442638358937
900102,ggi,wsc,ramp-fast,5211.0,30987.0,348.0,1710.0,6383.0,419.0,101.0,0.0,5211.0,30987.0,271.0,275.0,1490.5,1463.0,4.584717203647479,4.31054013586987,976.0,8.51755841361169,8.189982279546248,148.0,-2.1393616014941585,1.0053630932731794
900102,ggi,wsc,ramp-slow,8548.0,28635.0,338.0,2717.0,1198.0,49.0,0.0,0.0,8548.0,28635.0,166.0,102.0,188.0,188.0,-0.44867926723599927,0.5676588768584284,121.0,0.4647996466053911,2.5313820534412095,13.0,-0.13766220614839308,2.331594711562293
900102,maximin,original,ALL,16602.0,110710.0,1609.0,16326.0,16602.0,1609.0,18.0,0,16602.0,110710.0,219.0,1154.0,4845.0,4673.0,9.508340186798431,9.774367987907842,2979.0,17.282599056688742,18.841362266686012,229.0,3.680111355241843,3.8987875562806766
900102,maximin,original,mainline-fast,4010.0,27645.0,417.0,4682.0,6926.0,733.0,13.0,0.0,4010.0,27645.0,145.0,264.0,1493.0,1431.0,4.496005795838978,4.82610284590761,885.0,6.936485301996877,8.005752233985737,45.0,1.365162640712252,1.3254002441518984
900102,maximin,original,mainline-slow,5361.0,26611.0,513.0,3491.0,234.0,8.0,0.0,0.0,5361.0,26611.0,25.0,254.0,235.0,210.0,-2.059112845673638,-1.8419603819325452,135.0,-1.9594174139106513,-1.5328762407213485,15.0,-0.7688822227888378,-0.5751459698862237
900102,maximin,original,ramp-fast,2034.0,29369.0,231.0,4160.0,9188.0,865.0,5.0,0.0,2034.0,29369.0,25.0,403.0,2819.0,2778.0,10.619340705967378,10.36501928886754,1795.0,16.435683181801704,16.536380549771774,151.0,4.503795070105738,4.5442497709933924
900102,maximin,original,ramp-slow,5197.0,27085.0,448.0,3993.0,254.0,3.0,0.0,0.0,5197.0,27085.0,24.0,233.0,298.0,254.0,-3.547893469334286,-3.5747937649347623,164.0,-4.130152013199186,-4.16789427635015,18.0,-1.4199641327873094,-1.3957164889783904
900102,maximin,wsc,ALL,6.0,123850.0,2.0,11997.0,6.0,2.0,0,0,6.0,123850.0,0,1222.0,6.0,0,0,0,0,0,0,0,0,0
900102,maximin,wsc,mainline-fast,6.0,30567.0,2.0,1143.0,0.0,0.0,0.0,0.0,6.0,30567.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900102,maximin,wsc,mainline-slow,0.0,31106.0,0.0,4951.0,0.0,0.0,0.0,0.0,0.0,31106.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900102,maximin,wsc,ramp-fast,0.0,30781.0,0.0,1331.0,6.0,2.0,0.0,0.0,0.0,30781.0,0.0,239.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
