master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,block_index,evaluation_seed,controller_A_role,controller_B_role,success,collision,terminated,truncated,termination_reason,episode_length,passing_order,first_exit_controller,first_exit_step,second_exit_step,merge_entry_step_A,merge_entry_step_B,final_progress_A,final_progress_B,final_speed_A,final_speed_B,minimum_TTC,minimum_bumper_gap,mean_stakeholder_utility,minimum_stakeholder_utility,utility_A,utility_B,roles0_A,roles0_B,evaluation_guard,condition
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_007,1,6,566014,ramp,mainline,False,False,False,True,truncation,400,,B,69.0,,,,94.40000000000002,260.6625000000005,0.0,0.0,,,0.6467363812497652,0.03487500000000001,0.03487500000000001,0.795652173913044,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_008,0,7,566015,mainline,ramp,False,False,False,True,truncation,400,,B,45.0,,,,81.06666666666655,260.6000000000005,0.0,0.0,,25.72592794157771,0.5162654925183038,0.02767499999999994,0.02767499999999994,0.9933333333333334,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61001,100000,e9628546d2aca735c119844c0c1bd18a01fffc3179f44b7ce903408b03f36b63,validation_008,1,7,566016,ramp,mainline,False,False,False,True,truncation,400,,,,,,,221.66666666666836,81.06666666666655,0.0,0.0,,25.72592794157771,0.2961821591849706,0.02767499999999994,0.11300000000000075,0.02767499999999994,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_001,0,0,566002,mainline,ramp,False,False,False,True,truncation,400,,B,49.0,,,,94.66666666666676,260.43000000000126,0.0,0.0,,22.36731185532004,0.524743167739905,0.042925000000000074,0.042925000000000074,1.0,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_001,1,0,566003,ramp,mainline,False,False,False,True,truncation,400,,,,,,,122.26666666666677,94.66666666666676,0.0,0.0,,6.527362455096636,0.29103691773990503,0.042925000000000074,0.06517500000000004,0.042925000000000074,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_002,0,1,566004,mainline,ramp,False,False,False,True,truncation,400,,B,56.0,,,,87.19999999999999,260.7300000000011,0.0,0.0,,25.575328685128653,0.4989939729199613,0.03487500000000001,0.03487500000000001,0.9169642857142896,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_002,1,1,566005,ramp,mainline,False,False,False,True,truncation,400,,A,51.0,,,,261.16000000000025,87.19999999999999,0.0,0.0,,26.416847395672505,0.5138705485502125,0.03487500000000001,0.9764705882352946,0.03487500000000001,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_003,0,2,566006,mainline,ramp,False,False,False,True,truncation,400,,B,51.0,,,,94.66666666666676,261.12,0.0,0.0,,23.274089571964552,0.51935101087716,0.042925000000000074,0.042925000000000074,0.9784313725490199,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_003,1,2,566007,ramp,mainline,False,False,False,True,truncation,400,,B,108.0,,,,125.54666666667346,260.35666666666634,0.7999999999999999,0.0,,,0.5327218908861013,0.055424999999999926,0.055424999999999926,0.5423148148148145,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_004,0,3,566008,mainline,ramp,False,False,False,True,truncation,400,,B,52.0,,,,87.79999999999998,261.00000000000153,0.0,0.0,,24.261866963179045,0.5205018629754276,0.035250000000000004,0.035250000000000004,0.9950000000000023,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_004,1,3,566009,ramp,mainline,False,False,False,True,truncation,400,,A,56.0,,,,260.62000000000177,87.19999999999999,0.0,0.0,,22.40700307148755,0.519912575078556,0.03487500000000001,0.9933928571428579,0.03487500000000001,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_005,0,4,566010,mainline,ramp,False,False,False,True,truncation,400,,B,58.0,,,,81.06666666666655,260.560000000002,0.0,0.0,,28.45347523860582,0.4945657295768818,0.02767499999999994,0.02767499999999994,0.9110344827586239,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_005,1,4,566011,ramp,mainline,False,False,False,True,truncation,400,,A,57.0,,,,261.2700000000007,81.06666666666655,0.0,0.0,,25.811167611886148,0.5090878106416123,0.02767499999999994,0.9691228070175462,0.02767499999999994,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_006,0,5,566012,mainline,ramp,False,False,False,True,truncation,400,,B,58.0,,,,81.06666666666655,260.76000000000033,0.0,0.0,,27.35347523860571,0.5004558712573082,0.02767499999999994,0.02767499999999994,0.9353448275862098,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_006,1,5,566013,ramp,mainline,False,False,False,True,truncation,400,,A,57.0,,,,261.20000000000067,81.06666666666655,0.0,0.0,,24.620351678469945,0.507584576641458,0.02767499999999994,0.9638596491228092,0.02767499999999994,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_007,0,6,566014,mainline,ramp,False,False,False,True,truncation,400,,B,49.0,,,,94.66666666666676,261.20000000000095,0.0,0.0,,24.732721637572453,0.5230084738623539,0.042925000000000074,0.042925000000000074,0.9930612244897962,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_007,1,6,566015,ramp,mainline,False,False,False,True,truncation,400,,A,45.0,,,,260.9800000000011,110.50666666666682,0.0,0.0,,22.986077409858837,0.5280265260432163,0.052825000000000094,0.9933333333333334,0.052825000000000094,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_008,0,7,566016,mainline,ramp,False,False,False,True,truncation,400,,B,56.0,,,,81.06666666666655,260.20000000000033,0.0,0.0,,24.733303698942365,0.5066821591849711,0.02767499999999994,0.02767499999999994,0.9550000000000028,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_008,1,7,566017,ramp,mainline,False,False,False,True,truncation,400,,A,57.0,,,,261.02000000000004,81.06666666666655,0.0,0.0,,24.317000248991278,0.5101690012902341,0.02767499999999994,0.9689473684210551,0.02767499999999994,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_001,0,0,566003,mainline,ramp,True,False,True,False,success,66,mainline_first,A,48.0,66.0,,,260.6399999999993,260.59999999999934,0.0,0.0,,25.50932717368869,0.947596466659638,0.8681131393658245,1.0,0.922272727272728,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_001,1,0,566004,ramp,mainline,False,False,False,True,truncation,400,,A,62.0,,,,260.5899999999987,99.98666666666686,0.0,0.0,,16.949317990373416,0.5182605127667945,0.04625000000000009,0.9674193548387107,0.04625000000000009,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_002,0,1,566005,mainline,ramp,True,False,True,False,success,72,ramp_first,B,54.0,72.0,,,260.11000000000155,260.51625000000143,0.0,0.0,18.00839063377195,7.334173914945765,0.8831283983219457,0.7822821118062956,0.7959722222222241,0.9542592592592629,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_002,1,1,566006,ramp,mainline,False,False,False,True,truncation,400,,A,57.0,,,,261.1399999999989,214.31999999999886,0.0,0.0,,13.531629576261054,0.5475821446928669,0.11555000000000006,0.9515789473684231,0.11555000000000006,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_003,0,2,566007,mainline,ramp,True,False,True,False,success,84,mainline_first,A,47.0,84.0,,,260.80000000000035,260.4800000000008,0.0,0.0,,32.02467131487161,0.8442861915314714,0.6622619047619038,1.0,0.6622619047619038,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_003,1,2,566008,ramp,mainline,False,False,False,True,truncation,400,,A,59.0,,,,260.6199999999989,216.40000000000077,0.0,0.799999999999999,,12.210378717192782,0.5510407790491136,0.12007500000000025,0.952542372881358,0.12007500000000025,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_004,0,3,566009,mainline,ramp,True,False,True,False,success,111,ramp_first,B,89.0,111.0,,,260.0000000000007,260.3125000000026,0.0,0.0,0.0,-0.36591042803540574,0.666222313360493,0.5148648648648666,0.5148648648648666,0.6046067415730398,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_004,1,3,566010,ramp,mainline,True,False,True,False,success,291,ramp_first,A,53.0,291.0,,,260.5599999999996,260.33583333333337,0.0,0.0,,9.447620607413455,0.6023626215008896,0.1976288659793815,1.0,0.1976288659793815,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_005,0,4,566011,mainline,ramp,True,False,True,False,success,83,ramp_first,B,50.0,83.0,,,260.04000000000076,260.74500000000126,0.0,0.0,,5.334173914945808,0.83379680775127,0.6724096385542192,0.6724096385542192,0.9898000000000015,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_005,1,4,566012,ramp,mainline,False,False,False,True,truncation,400,,,,,,,236.4666666666574,86.86666666666639,0.0,0.0,,20.172284107902072,0.3008821175878337,0.031299999999999925,0.12905000000000053,0.031299999999999925,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_006,0,5,566013,mainline,ramp,True,False,True,False,success,91,ramp_first,B,51.0,91.0,,,260.2399999999982,260.5450000000012,0.0,0.0,,3.658361680540196,0.8055302433600178,0.6138461538461556,0.6138461538461556,0.9890196078431381,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_006,1,5,566014,ramp,mainline,False,False,False,True,truncation,400,,,,,,,203.78000000000281,81.06666666666655,0.5999999999999918,0.0,,20.266346190127877,0.29354466436075555,0.02767499999999994,0.10769999999999964,0.02767499999999994,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_007,0,6,566015,mainline,ramp,True,False,True,False,success,70,ramp_first,B,52.0,70.0,,,260.48,261.0000000000011,0.0,0.0,27.91258595066006,10.679287816157185,0.9136929642814302,0.8355714285714301,0.8355714285714301,0.9821153846153869,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_007,1,6,566016,ramp,mainline,True,False,True,False,success,364,ramp_first,A,52.0,364.0,,,260.2999999999998,260.0558333333339,0.0,0.0,,15.888855215775166,0.5803429872673057,0.16184065934065955,0.9903846153846154,0.16184065934065955,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_008,0,7,566017,mainline,ramp,True,False,True,False,success,104,ramp_first,B,54.0,104.0,,,260.3499999999996,260.8362500000016,0.0,0.0,0.0,-0.9140720584224482,0.7706285942112746,0.5383653846153865,0.5383653846153865,0.9727777777777799,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61003,100000,cc41f916c31e5c28b10305f0b7ea9c2e7600a3bc2fc4ace025524984870e71eb,validation_008,1,7,566018,ramp,mainline,False,False,False,True,truncation,400,,,,,,,203.66000000000284,81.06666666666655,0.5999999999999918,0.0,,20.266346190127862,0.2954009091849703,0.02767499999999994,0.10987499999999965,0.02767499999999994,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
61004,100000,a52ed6d4bd69dfffdc07d6236d70fedaff01f555cd6e54ad45acbffe30216f7a,validation_001,0,0,566004,mainline,ramp,False,False,False,True,truncation,400,,A,86.0,,,,260.8125000000003,233.98666666666935,0.0,0.0,,39.36582608505422,0.6110190713377694,0.13499999999999984,0.669418604651163,0.13499999999999984,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline
