validation_block_id,assignment,script_id,episode_length,terminated,truncated,term_reason,G_A_undiscounted,G_B_undiscounted,G_A_discounted,G_B_discounted,progress_A,progress_B,exit_A,exit_B,collision_component_sum,hard_braking_component_sum,success
validation_001,0,maintain_only,61,True,False,success,0.956923076923077,0.969253229892909,0.7613852331238942,0.7638181872458981,0.3569230769230767,0.36925322989290926,0.6,0.6,0.0,0.0,True
validation_001,0,mutual_yield_decel,400,False,True,truncation,-0.184310897435897,-0.18438576630969597,-0.16709877563594194,-0.1671698192434283,0.10256410256410274,0.10248923369030374,0.0,0.0,0.0,-0.5737499999999991,False
validation_001,0,accelerate_insist,45,True,False,success,0.9569230769230769,0.969253229892909,0.8058096851784157,0.8108758080610234,0.3569230769230771,0.36925322989290904,0.6,0.6,0.0,0.0,True
validation_001,0,mainline_bias_success_attempt,107,True,False,success,0.9569230769230769,0.6823782298929093,0.8058096851784157,0.4320168022651515,0.3569230769230771,0.3692532298929088,0.6,0.6,0.0,-0.28687499999999955,True
validation_001,1,maintain_only,61,True,False,success,0.969253229892909,0.956923076923077,0.7638181872458981,0.7613852331238942,0.36925322989290926,0.3569230769230767,0.6,0.6,0.0,0.0,True
validation_001,1,mutual_yield_decel,400,False,True,truncation,-0.18438576630969597,-0.184310897435897,-0.1671698192434283,-0.16709877563594194,0.10248923369030374,0.10256410256410274,0.0,0.0,0.0,-0.5737499999999991,False
validation_001,1,accelerate_insist,45,True,False,success,0.969253229892909,0.9569230769230769,0.8108758080610234,0.8058096851784157,0.36925322989290904,0.3569230769230771,0.6,0.6,0.0,0.0,True
validation_001,1,mainline_bias_success_attempt,104,True,False,success,0.969253229892909,0.6700480769230772,0.8108758080610234,0.43012771171207764,0.36925322989290904,0.3569230769230769,0.6,0.6,0.0,-0.28687499999999955,True
validation_002,0,maintain_only,21,True,False,collision,-0.8850769230769228,-0.897920723244458,-0.7951906302761299,-0.8074193899418926,0.11492307692307727,0.10207927675554196,0.0,0.0,-2.0,0.0,False
validation_002,0,mutual_yield_decel,400,False,True,truncation,-0.17004807692307758,-0.16221939043820743,-0.15634089016308136,-0.15068242509166807,0.08307692307692308,0.06559310956179411,0.0,0.0,0.0,-0.4809375000000022,False
