validation_block_id,assignment,controller,success_minus_stall,success_minus_maintain,R_separation_stall,R_separation_maintain,weak_reward_separation
validation_001,0,A,0.9729084608143577,0.0444244520545215,1.2073675293754618,0.05513020297513969,False
validation_001,0,B,0.5991866215085798,-0.3318013849807466,1.3869520919033758,-0.7680288719345085,False
validation_001,1,A,0.9780456273044518,0.04705762081512532,1.2061595690979747,0.05803307950118688,False
validation_001,1,B,0.5972264873480195,-0.3312575214118165,1.3884863895096624,-0.770137577027775,False
validation_002,0,A,0.9510741707697828,1.5899239108828314,1.1967211918903389,2.0005754504999773,False
validation_002,0,B,0.5709541788667907,1.227691143717015,1.3585356621109923,2.921183980311186,False
validation_002,1,A,0.9262525016091357,1.5829894664593602,1.1942860067853769,2.0410656547720105,False
validation_002,1,B,0.5837527892375284,1.222602529350577,1.3657850351002967,2.8604783895659374,False
validation_003,0,A,0.9729084608143577,0.0444244520545215,1.2073675293754618,0.05513020297513969,False
validation_003,0,B,0.5731075070191598,-0.2909002067658719,1.35670801278427,-0.6886432939826507,False
validation_003,1,A,0.9317330026747535,0.06772528888972174,1.192922734438938,0.08671050245195207,False
validation_003,1,B,0.5972264873480195,-0.3312575214118165,1.3884863895096624,-0.770137577027775,False
validation_004,0,A,0.9510741707697828,1.5886713732947588,1.1967211918903389,1.9989994027832443,False
validation_004,0,B,0.5973336999263329,1.2118948055179417,1.3886188796043266,2.8172862291951195,False
validation_004,1,A,0.9755142854338407,1.5900753910254495,1.2068051606306147,1.967076460420933,False
validation_004,1,B,0.5837527892375284,1.2213499917625044,1.3657850351002967,2.85754787321513,False
validation_005,0,A,0.9316746088535848,0.06770868257755602,1.1928669545076978,0.08669062053692878,False
validation_005,0,B,0.5953733682467882,-0.3285533541286119,1.390397991162228,-0.7672830998726797,False
validation_005,1,A,0.9680007335843936,0.04407401120899346,1.2087454469631012,0.05503535124503797,False
validation_005,1,B,0.5730939132096158,-0.29087201306641286,1.3565718783906855,-0.6885237899786562,False
validation_006,0,A,0.9316746088535848,1.57942672047841,1.1928669545076978,2.0222145414518264,False
validation_006,0,B,0.58377125410658,1.2131322383398895,1.3659541324897257,2.8385827197896707,False
validation_006,1,A,0.9511403310787817,1.580501315312091,1.1967919380292915,1.988698376468623,False
validation_006,1,B,0.5730939132096158,1.220846024834441,1.3565718783906855,2.8898673445336303,False
validation_007,0,A,0.9729084608143577,1.5975634609450906,1.2073675293754618,1.9825567630969883,False
validation_007,0,B,0.5808356372400469,1.2280080437327152,1.368485253432191,2.8932641029562287,False
validation_007,1,A,0.9446343775103756,1.5918067840030439,1.1984162228849018,2.0194554835863334,False
validation_007,1,B,0.5972264873480195,1.2218814874787527,1.3884863895096624,2.8407410771274715,False
validation_008,0,A,0.9316746088535848,1.57942672047841,1.1928669545076978,2.0222145414518264,False
validation_008,0,B,0.5852254920728968,1.2145864763062064,1.3647131082563042,2.8323477151597594,False
validation_008,1,A,0.9531672946578208,1.5825282788911303,1.1962913031989626,1.9861831471919231,False
validation_008,1,B,0.5730939132096158,1.220846024834441,1.3565718783906855,2.8898673445336303,False
