from,to,delta,drop,ok
200000,225000,-0.006249999999999978,0.006249999999999978,True
225000,250000,0.018750000000000044,-0.018750000000000044,True
250000,275000,0.043749999999999956,-0.043749999999999956,True
275000,300000,-0.03125,0.03125,False
300000,325000,0.06874999999999998,-0.06874999999999998,True
325000,350000,-0.03437499999999993,0.03437499999999993,False
350000,375000,0.006249999999999978,-0.006249999999999978,True
375000,400000,-0.08125000000000004,0.08125000000000004,False
