checkpoint_step,n_episodes,success,collision,truncation,unilateral_stall,mutual_yielding,downstream_failure,collision_category
200000,1280,0.778125,0.05625,0.165625,0.0,0.03125,0.134375,0.05625
250000,1280,0.790625,0.053125,0.15625,0.0,0.0125,0.14375,0.053125
300000,1280,0.803125,0.025,0.171875,0.025,0.00625,0.140625,0.025
350000,1280,0.8375,0.04375,0.11875,0.0,0.015625,0.103125,0.04375
375000,1280,0.84375,0.040625,0.115625,0.0,0.0,0.115625,0.040625
400000,1280,0.7625,0.09375,0.14375,0.0,0.009375,0.134375,0.09375
