metric,baseline_mean,baseline_std,rawlsian_mean,rawlsian_std,difference_rawlsian_minus_baseline
total_reward,10.093748300862167,3.862228058444676,12.777154774651752,2.10474879795363,2.683406473789585
mean_reward,0.8664321187665689,0.03179703266849265,0.7565379352007489,0.12226476425734684,-0.10989418356582004
mean_min_experience,0.4891786044026508,0.08657663564559227,0.5200427985814225,0.07886155907211592,0.03086419417877173
final_min_experience,0.06036533857697028,0.6569912864902153,0.5782997672954509,0.18412254094337582,0.5179344287184806
mean_vehicle_experience,0.6579819772380364,0.014621171647968194,0.6321164200552639,0.019931004268530995,-0.025865557182772503
mean_gini_experience,0.0882670631703604,0.03717114057364671,0.06103750396923931,0.031173779025750487,-0.027229559201121092
final_gini_experience,0.18326427438436485,0.20107694203687312,0.03143562333085276,0.06748474562634599,-0.1518286510535121
total_collision_count,0.88,1.002853072844814,0.04,0.282842712474619,-0.84
final_collision_count,0.88,1.002853072844814,0.04,0.282842712474619,-0.84
mean_n_vehicles,5.0,0.0,5.0,0.0,0.0
mean_scoped_vehicle_count,3.921444444444445,0.10303415348846427,3.2236274509803917,0.20695828258735693,-0.6978169934640532
steps,11.58,4.300403398258715,16.9,0.7071067811865476,5.3199999999999985
least_advantaged_ego_steps,0.3,0.4629100498862757,0.9,0.8630747123996123,0.6000000000000001
least_advantaged_non_ego_steps,11.28,4.076012457171888,16.0,1.0301575072754257,4.720000000000001
least_advantaged_ego_ratio,0.02,0.03086066999241838,0.05294117647058823,0.05076910072938896,0.032941176470588224
mean_least_advantaged_speed,16.81202479874619,1.740026642609569,15.651283957442674,2.347491725101911,-1.1607408413035163
least_advantaged_crash_steps,0.44,0.501426536422407,0.02,0.1414213562373095,-0.42
mean_original_reward,0.0,0.0,0.8188908763772196,0.07358822655211131,0.8188908763772196
mean_rawlsian_reward,0.0,0.0,-0.06235294117647058,0.054731628530869846,-0.06235294117647058
rawlsian_reward_sum,0.0,0.0,-1.06,0.9304376850247874,-1.06
