master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,block_index,evaluation_seed,controller_A_role,controller_B_role,success,collision,terminated,truncated,termination_reason,episode_length,passing_order,first_exit_controller,first_exit_step,second_exit_step,merge_entry_step_A,merge_entry_step_B,final_progress_A,final_progress_B,final_speed_A,final_speed_B,minimum_TTC,minimum_bumper_gap,mean_stakeholder_utility,minimum_stakeholder_utility,utility_A,utility_B,utility_background_front,utility_background_rear,worst_off_stakeholder_ids_json,roles0_A,roles0_B,evaluation_guard,condition,evaluation_episode_index,classifiable_order,algorithm_mode,seed,checkpoint,role_assignment,mean_Q_margin,mean_abs_best_Q,max_abs_best_Q
63001,10000,a9a21ff21c173032e2817d69e3c874042e040162fb3fb19a4086c9754de50362,validation_006,0,5,564011,mainline,ramp,True,False,True,False,success,88,ramp_first,B,50.0,88.0,,,260.14499999999987,261.00000000000136,0.0,0.0,,27.698361680540515,0.815051276660897,0.6316596520981357,0.6345454545454527,0.994,1.0,0.6316596520981357,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,10,True,vanilla_dqn,63001,10000,mainline|ramp,0.0461085287917574,0.910594102757221,1.8298190832138064
63001,10000,a9a21ff21c173032e2817d69e3c874042e040162fb3fb19a4086c9754de50362,validation_006,1,5,564012,ramp,mainline,False,False,False,True,truncation,400,,B,46.0,,,,105.19999999999996,260.90000000000066,0.0,0.0,,,0.7370970267586663,0.046125,0.046125,0.9760869565217394,1.0,0.9261761505129258,"[""A""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,11,True,vanilla_dqn,63001,10000,ramp|mainline,0.0362508869357407,1.5505556428432463,3.0870285034179688
63001,10000,a9a21ff21c173032e2817d69e3c874042e040162fb3fb19a4086c9754de50362,validation_007,0,6,564013,mainline,ramp,True,False,True,False,success,84,ramp_first,B,47.0,84.0,,,260.26500000000084,261.07250000000124,0.0,0.0,,26.519287816157245,0.8480521204280783,0.6972619047619052,0.6972619047619052,0.9936170212765958,1.0,0.701329555673812,"[""A""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,12,True,vanilla_dqn,63001,10000,mainline|ramp,0.0496890580702927,0.9010831758025146,1.7533094882965088
63001,10000,a9a21ff21c173032e2817d69e3c874042e040162fb3fb19a4086c9754de50362,validation_007,1,6,564014,ramp,mainline,False,True,True,False,collision,17,,,,,,,111.24000000000026,107.46000000000018,22.400000000000063,25.800000000000097,0.0,-1.3237910213383373,0.4890817660721866,0.0,0.0,0.0,1.0,0.9563270642887464,"[""A"", ""B""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,13,True,vanilla_dqn,63001,10000,ramp|mainline,0.0524211613570942,0.2522130207542111,0.5779777765274048
63001,10000,a9a21ff21c173032e2817d69e3c874042e040162fb3fb19a4086c9754de50362,validation_008,0,7,564015,mainline,ramp,True,False,True,False,success,88,ramp_first,B,50.0,88.0,,,260.3162500000001,261.3525000000014,0.0,0.0,,24.82592794157773,0.819704004213746,0.6340909090909072,0.6340909090909072,0.994,1.0,0.6507251077640765,"[""A""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,14,True,vanilla_dqn,63001,10000,mainline|ramp,0.0488606447417458,0.9282583713594992,1.863615155220032
63001,10000,a9a21ff21c173032e2817d69e3c874042e040162fb3fb19a4086c9754de50362,validation_008,1,7,564016,ramp,mainline,False,False,False,True,truncation,400,,B,46.0,,,,97.99999999999996,260.90000000000066,0.0,0.0,,,0.7411994751568428,0.043875,0.043875,0.9760869565217394,1.0,0.9448359441056317,"[""A""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,15,True,vanilla_dqn,63001,10000,ramp|mainline,0.0314275102689862,1.6612726689875126,3.2062549591064453
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_001,0,0,570001,mainline,ramp,True,False,True,False,success,48,ramp_first,B,45.0,48.0,,,261.0400000000007,261.42000000000075,0.0,0.0,29.3251719013198,2.342370439752557,0.9760243496507882,0.9195140652698194,0.9845833333333336,1.0,1.0,0.9195140652698194,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,0,True,vanilla_dqn,63001,200000,mainline|ramp,0.0131273500931759,0.7950376194591323,0.984821319580078
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_001,1,0,570002,ramp,mainline,False,True,True,False,collision,45,,,,,,,225.9300000000004,230.72000000000065,30.0,25.60000000000008,0.0,-0.0200687605235998,0.4885932228059222,0.0,0.0,0.0,1.0,0.954372891223689,"[""A"", ""B""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,1,True,vanilla_dqn,63001,200000,ramp|mainline,0.0175856586959626,0.8127669451965226,1.081141471862793
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_002,0,1,570003,mainline,ramp,True,False,True,False,success,49,ramp_first,B,47.0,49.0,,,260.30000000000086,261.08250000000174,0.0,0.0,1.869463544590276,4.930068760524847,0.9496326690211698,0.8607104416079094,0.9612244897959188,0.9765957446808512,1.0,0.8607104416079094,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,2,True,vanilla_dqn,63001,200000,mainline|ramp,0.0083644809771557,0.8224818955878822,0.9927804470062256
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_002,1,1,570004,ramp,mainline,True,False,True,False,success,48,ramp_first,A,46.0,48.0,,,260.36000000000104,260.2400000000007,0.0,0.0,8.862585950657209,5.894173914945711,0.9663118726226048,0.900410533968679,0.9760869565217394,0.9887500000000004,1.0,0.900410533968679,"[""B_rear""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,3,True,vanilla_dqn,63001,200000,ramp|mainline,0.0431010403359929,0.3599288845434785,0.8402489423751831
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_003,0,2,570005,mainline,ramp,True,False,True,False,success,51,ramp_first,B,47.0,51.0,,,260.7900000000009,261.2000000000004,0.0,0.0,103.75034380260782,11.49378246571463,0.956344620573216,0.8866258748669139,0.9621568627450988,0.9765957446808512,1.0,0.8866258748669139,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,4,True,vanilla_dqn,63001,200000,mainline|ramp,0.0061968161779291,0.8154834625767726,0.9458497166633606
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_003,1,2,570006,ramp,mainline,True,False,True,False,success,53,mainline_first,B,47.0,53.0,,,260.9050000000008,261.18000000000006,0.0,0.0,70.77482809867924,18.603458434184816,0.9644538919317,0.9133962264150944,0.9133962264150944,1.0,1.0,0.9444193413117054,"[""A""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,5,True,vanilla_dqn,63001,200000,ramp|mainline,0.0056060431700832,0.7978902720617798,0.97235369682312
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_004,0,3,570007,mainline,ramp,True,False,True,False,success,51,ramp_first,B,44.0,51.0,,,260.45000000000084,261.50000000000034,0.0,0.0,,11.173782465714666,0.9522103689088124,0.8723708873999549,0.9364705882352946,1.0,1.0,0.8723708873999549,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,6,True,vanilla_dqn,63001,200000,mainline|ramp,0.0072875978315577,0.802351870081004,0.9991347789764404
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_004,1,3,570008,ramp,mainline,False,True,True,False,collision,44,,,,,,,212.3925000000003,217.0425000000004,27.700000000000152,23.100000000000072,0.0,-0.1600687605237851,0.4825452007983406,0.0,0.0,0.0,1.0,0.9301808031933624,"[""A"", ""B""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,7,True,vanilla_dqn,63001,200000,ramp|mainline,0.0139457779851826,0.7908784665844657,1.0509568452835083
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_005,0,4,570009,mainline,ramp,True,False,True,False,success,51,ramp_first,B,43.0,51.0,,,261.3400000000007,260.5000000000004,0.0,0.0,,11.69417391494585,0.9424373052771228,0.8381805936575103,0.9315686274509803,1.0,1.0,0.8381805936575103,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,8,True,vanilla_dqn,63001,200000,mainline|ramp,0.007293249462165,0.7922498864286086,1.016160488128662
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_005,1,4,570010,ramp,mainline,True,False,True,False,success,170,ramp_first,A,43.0,170.0,,,260.7850000000004,260.82666666666745,0.0,0.0,,26.934173914945944,0.6489977302147172,0.2753438620353393,1.0,0.320647058823529,1.0,0.2753438620353393,"[""B_rear""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,9,True,vanilla_dqn,63001,200000,ramp|mainline,0.0245596095919609,0.6642172669663149,1.7942123413085938
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_006,0,5,570011,mainline,ramp,True,False,True,False,success,51,ramp_first,B,44.0,51.0,,,260.53000000000065,260.3200000000013,0.0,0.0,,10.838361680540444,0.932990200471572,0.8185829052730967,0.9201960784313726,0.9931818181818184,1.0,0.8185829052730967,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,10,True,vanilla_dqn,63001,200000,mainline|ramp,0.0069582278237623,0.7994374250080071,0.9701902866363524
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_006,1,5,570012,ramp,mainline,True,False,True,False,success,59,mainline_first,B,54.0,59.0,,,260.34000000000106,260.42250000000155,0.0,0.0,28.61655206579311,14.597981817047526,0.9356703952358943,0.8471197479241165,0.9159322033898314,0.97962962962963,1.0,0.8471197479241165,"[""B_rear""]",ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,11,True,vanilla_dqn,63001,200000,ramp|mainline,0.003829603983184,0.7591129879830247,0.9951573014259338
63001,200000,e5ac0be1f5ee41a8feabc81d0b10ba505067ce494c732c2d3650c959aacc6f8f,validation_007,0,6,570013,mainline,ramp,True,False,True,False,success,49,ramp_first,B,44.0,49.0,,,260.3400000000007,261.0000000000008,0.0,0.0,30.16258595066084,15.159287816157216,0.9704935086936116,0.910016706388546,0.978775510204082,0.9931818181818184,1.0,0.910016706388546,"[""B_rear""]",mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",vanilla_dqn,12,True,vanilla_dqn,63001,200000,mainline|ramp,0.0061566951323528,0.8290747598725923,1.0466375350952148
