algorithm_mode,checkpoint_count,checkpoint_root,condition,config_hash,end_time,failure_reason,final_step,git_commit,protocol_hash,reward_condition,reward_shaping_enabled,seed,shaping_coefficient,start_time,success
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:19:59.909908+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63013,0.0,2026-07-31T10:47:52.261362+00:00,True
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:26:10.616685+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63014,0.0,2026-07-31T10:54:53.212637+00:00,True
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:28:44.968691+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63015,0.0,2026-07-31T10:55:02.126134+00:00,True
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:26:53.759316+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63016,0.0,2026-07-31T10:55:18.672008+00:00,True
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:41:12.851162+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63017,0.0,2026-07-31T11:17:39.217548+00:00,True
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:42:24.384397+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63018,0.0,2026-07-31T11:19:07.429054+00:00,True
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:41:48.174506+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63019,0.0,2026-07-31T11:20:04.449751+00:00,True
double_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,double_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T11:41:43.490659+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63020,0.0,2026-07-31T11:20:09.670258+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:16:51.718888+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63001,0.0,2026-07-31T09:46:03.380544+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:14:24.967536+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63002,0.0,2026-07-31T09:46:03.374084+00:00,True
