condition,seed,checkpoint,n_episodes,success,collision,truncation,mean_utility,mean_Q_margin,mean_abs_best_Q
double_dqn,63001,0,16,0.0,0.0,1.0,0.4318889323416353,0.09261639040108999,0.07833166955519115
double_dqn,63001,10000,16,0.625,0.0,0.375,0.6787884328982621,0.031879737826098035,0.8153667497308186
double_dqn,63001,25000,16,0.75,0.0,0.25,0.6973381318689441,0.017697841446210363,0.8888916525890297
double_dqn,63001,50000,16,1.0,0.0,0.0,0.9354818913327866,0.013153813144897431,0.7366242760705158
double_dqn,63001,75000,16,1.0,0.0,0.0,0.7090466086415982,0.011821075343049868,0.6439963113288358
double_dqn,63001,100000,16,0.8125,0.125,0.0625,0.8617242747798501,0.015238806192277375,0.7227652637291833
double_dqn,63001,150000,16,0.9375,0.0625,0.0,0.9055906485872858,0.03296347922952418,0.7391792476625316
double_dqn,63001,200000,16,0.9375,0.0625,0.0,0.8517409856832149,0.03568481854441625,0.7145008056791352
double_dqn,63001,250000,16,0.8125,0.1875,0.0,0.8710569029661364,0.016282409526772592,0.6791200764956872
double_dqn,63001,300000,16,0.875,0.125,0.0,0.8595666944443678,0.04057716189732929,0.7232835226863443
double_dqn,63002,0,16,0.0,0.0,1.0,0.6445973725036399,0.06141204359315447,0.027690172819857212
double_dqn,63002,10000,16,0.875,0.125,0.0,0.7833476216778175,0.03667363897199159,0.8629089413146825
double_dqn,63002,25000,16,0.5,0.0,0.5,0.6879369446952932,0.035987507543654214,0.8621345738427786
double_dqn,63002,50000,16,0.6875,0.25,0.0625,0.674545570293999,0.012721492402587463,0.7108449416273348
double_dqn,63002,75000,16,0.625,0.0,0.375,0.7643207765725737,0.01258853508324352,0.7342148683696749
double_dqn,63002,100000,16,0.5625,0.0,0.4375,0.7239156471607766,0.026342460071993763,0.7877783498317759
double_dqn,63002,150000,16,0.0,0.0,1.0,0.5647608989734635,0.013166352750267793,0.8448128451197409
double_dqn,63002,200000,16,0.5625,0.0,0.4375,0.7847191102655158,0.03054916227975374,1.0404382431918262
double_dqn,63002,250000,16,0.25,0.25,0.5,0.5599263123585814,0.005544681092634668,0.983079037120274
double_dqn,63002,300000,16,0.9375,0.0625,0.0,0.8922591009219288,0.008570403523623819,0.6262547397849527
double_dqn,63003,0,16,0.0,0.375,0.625,0.3910990876894025,0.03886202175844732,0.07564743854476384
double_dqn,63003,10000,16,0.6875,0.125,0.1875,0.673358405799736,0.02226024296622085,0.6765603970190359
double_dqn,63003,25000,16,0.8125,0.0,0.1875,0.8297394822469585,0.01833907245569653,0.8011978002045815
double_dqn,63003,50000,16,0.3125,0.25,0.4375,0.6079027507943525,0.013370562736162562,0.7201094944844211
double_dqn,63003,75000,16,0.9375,0.0625,0.0,0.9048978324697523,0.008570271672661419,0.7073310588932644
double_dqn,63003,100000,16,0.8125,0.1875,0.0,0.874454605696214,0.01844067317350829,0.720552193796695
double_dqn,63003,150000,16,0.875,0.125,0.0,0.8929789895258671,0.01315805923515475,0.7332228753710118
double_dqn,63003,200000,16,0.9375,0.0625,0.0,0.9183549820354341,0.012470299324047775,0.7792298422674113
double_dqn,63003,250000,16,1.0,0.0,0.0,0.9597777452817889,0.0403155993605132,0.6812065632890494
double_dqn,63003,300000,16,0.9375,0.0625,0.0,0.9376251905624331,0.0174717098231617,0.7383625698433046
double_dqn,63004,0,16,0.375,0.0,0.625,0.7112989821921546,0.1026031631852022,0.1192376671434249
double_dqn,63004,10000,16,0.875,0.125,0.0,0.7714781616810654,0.03457689424827125,0.6245582792473559
double_dqn,63004,25000,16,1.0,0.0,0.0,0.8528304209524896,0.01972017767779637,0.9163663958599126
double_dqn,63004,50000,16,0.6875,0.3125,0.0,0.7076314930800323,0.02034304716841383,0.7134472841569862
double_dqn,63004,75000,16,0.875,0.125,0.0,0.9029750472677656,0.012035707836653807,0.6968792022243182
double_dqn,63004,100000,16,1.0,0.0,0.0,0.9176595112717318,0.0249445255399793,0.7259467817498086
double_dqn,63004,150000,16,1.0,0.0,0.0,0.9152811892671423,0.010622210895287606,0.676915717839266
double_dqn,63004,200000,16,0.9375,0.0625,0.0,0.911722163320762,0.00869429227492435,0.7070748805626776
double_dqn,63004,250000,16,0.8125,0.1875,0.0,0.8776100517124312,0.00918680676421398,0.6461239093092908
double_dqn,63004,300000,16,1.0,0.0,0.0,0.9211246791464646,0.008774402394528376,0.6678832072889525
double_dqn,63005,0,16,1.0,0.0,0.0,0.9371979648085151,0.0916667584222005,0.0730087260744006
double_dqn,63005,10000,16,0.625,0.0625,0.3125,0.7388918586555795,0.03374122547558484,0.9077716942999916
double_dqn,63005,25000,16,0.625,0.125,0.25,0.7351344019040751,0.0233511034569223,0.9106433727874332
double_dqn,63005,50000,16,0.5625,0.1875,0.25,0.709965157537604,0.006002320455895306,0.7737647956400544
double_dqn,63005,75000,16,1.0,0.0,0.0,0.9007907016408492,0.006828913268119006,0.6555373355722075
double_dqn,63005,100000,16,0.9375,0.0,0.0625,0.8851189219441401,0.014601573422864176,0.6460906176228
double_dqn,63005,150000,16,1.0,0.0,0.0,0.9186324647387588,0.011637553123781806,0.7195292356454178
double_dqn,63005,200000,16,0.9375,0.0625,0.0,0.9225664943863514,0.020401118142324443,0.7627784281060426
double_dqn,63005,250000,16,0.9375,0.0625,0.0,0.9224996431727449,0.015570523284280007,0.7393991288414273
double_dqn,63005,300000,16,0.9375,0.0625,0.0,0.9154112392705926,0.013044485717698576,0.7472757800627117
double_dqn,63006,0,16,0.25,0.75,0.0,0.6040274001923807,0.12546513601674325,0.09159366933422249
double_dqn,63006,10000,16,0.0625,0.0625,0.875,0.5845366011287718,0.1306876032206165,1.5591328805860805
double_dqn,63006,25000,16,1.0,0.0,0.0,0.9031175402840005,0.046856509921775716,0.9342754766115331
double_dqn,63006,50000,16,1.0,0.0,0.0,0.8415103465989018,0.022732915010625694,0.7366951383419835
double_dqn,63006,75000,16,0.625,0.0,0.375,0.7522386109751805,0.016811289446673826,0.7185428299444131
double_dqn,63006,100000,16,0.9375,0.0,0.0625,0.9161106913209807,0.015792344350693793,0.8118912219412593
double_dqn,63006,150000,16,0.8125,0.0,0.1875,0.8152575349329786,0.02754075900753077,0.8459646106651806
double_dqn,63006,200000,16,0.875,0.0,0.125,0.8926806977377336,0.009313427041993243,0.6898341618167889
double_dqn,63006,250000,16,1.0,0.0,0.0,0.9698052640158487,0.021385636755147944,0.6968126305545758
double_dqn,63006,300000,16,1.0,0.0,0.0,0.9520218591648723,0.06566061552117494,0.7965371983760444
double_dqn,63007,0,16,0.1875,0.8125,0.0,0.5726106184135105,0.0946832552960356,0.1234956894631715
double_dqn,63007,10000,16,0.8125,0.125,0.0625,0.7194212656206953,0.06077988878225697,0.538106934812393
double_dqn,63007,25000,16,0.875,0.0625,0.0625,0.7790701528175159,0.027767356864240655,0.7609295851280863
double_dqn,63007,50000,16,1.0,0.0,0.0,0.9337511196468306,0.020211905500058344,0.7156307412802039
double_dqn,63007,75000,16,0.9375,0.0625,0.0,0.930184697380837,0.027279603768422474,0.776322024114854
