run_id,mode,seed,eval_merge_success_rate,eval_collision_rate,eval_non_merge_failure_rate,eval_mean_time_to_merge_success_only,eval_episode_length_mean,eval_min_experience,eval_final_min_experience,eval_gini_experience,eval_near_collision_steps,eval_mean_experience,eval_episode_reward,n_eval_seeds
egoistic_seed1_1782400896,egoistic,1,0.9,0.2,0.0,11.0,10.8,9.32852248373644,0.4975994178848743,0.17887484194722847,0.0,9.820610016664055,1.1283918305865823,10
rawlsian_seed1_1782400914,rawlsian,1,0.0,0.0,1.0,,100.0,-10.761526994892689,0.877312120640152,0.03807286282966922,0.0,-6.780462809755477,-1077.152699489269,10
rawlsian_seed1_1782400935,rawlsian,1,0.0,0.0,1.0,,100.0,-10.761526994892689,0.877312120640152,0.03807286282966922,0.0,-6.780462809755477,-1077.152699489269,10
egoistic_seed1_1782400957,egoistic,1,0.9,0.2,0.0,11.0,10.8,9.32852248373644,0.4975994178848743,0.17887484194722847,0.0,9.820610016664055,1.1283918305865823,10
